4294A REV1.11
"DATE:      6 -100"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 4"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	1.462009e+04	0.000000e+00
1.09488900000e+03	1.457386e+04	0.000000e+00
1.19878200000e+03	1.452856e+04	0.000000e+00
1.31253300000e+03	1.448775e+04	0.000000e+00
1.43707800000e+03	1.444561e+04	0.000000e+00
1.57344100000e+03	1.441004e+04	0.000000e+00
1.72274300000e+03	1.437310e+04	0.000000e+00
1.88621200000e+03	1.433943e+04	0.000000e+00
2.06519300000e+03	1.430544e+04	0.000000e+00
2.26115700000e+03	1.427397e+04	0.000000e+00
2.47571600000e+03	1.424544e+04	0.000000e+00
2.71063400000e+03	1.421621e+04	0.000000e+00
2.96784300000e+03	1.419068e+04	0.000000e+00
3.24945900000e+03	1.416573e+04	0.000000e+00
3.55779600000e+03	1.414473e+04	0.000000e+00
3.89539200000e+03	1.412304e+04	0.000000e+00
4.26502200000e+03	1.410262e+04	0.000000e+00
4.66972500000e+03	1.408662e+04	0.000000e+00
5.11283100000e+03	1.406811e+04	0.000000e+00
5.59798200000e+03	1.405269e+04	0.000000e+00
6.12916900000e+03	1.403923e+04	0.000000e+00
6.71075900000e+03	1.402646e+04	0.000000e+00
7.34753600000e+03	1.401430e+04	0.000000e+00
8.04473600000e+03	1.400666e+04	0.000000e+00
8.80809300000e+03	1.400107e+04	0.000000e+00
9.64388400000e+03	1.398855e+04	0.000000e+00
1.05589820000e+04	1.397874e+04	0.000000e+00
1.15609130000e+04	1.397084e+04	0.000000e+00
1.26579160000e+04	1.397192e+04	0.000000e+00
1.38590120000e+04	1.396055e+04	0.000000e+00
1.51740800000e+04	1.395676e+04	0.000000e+00
1.66139320000e+04	1.395068e+04	0.000000e+00
1.81904110000e+04	1.395125e+04	0.000000e+00
1.99164810000e+04	1.394838e+04	0.000000e+00
2.18063350000e+04	1.394324e+04	0.000000e+00
2.38755150000e+04	1.394034e+04	0.000000e+00
2.61410380000e+04	1.393690e+04	0.000000e+00
2.86215340000e+04	1.393596e+04	0.000000e+00
3.13374020000e+04	1.393184e+04	0.000000e+00
3.43109760000e+04	1.393282e+04	0.000000e+00
3.75667090000e+04	1.393117e+04	0.000000e+00
4.11313750000e+04	1.392879e+04	0.000000e+00
4.50342890000e+04	1.393026e+04	0.000000e+00
4.93075460000e+04	1.392691e+04	0.000000e+00
5.39862880000e+04	1.392746e+04	0.000000e+00
5.91089910000e+04	1.392535e+04	0.000000e+00
6.47177820000e+04	1.392437e+04	0.000000e+00
7.08587850000e+04	1.392677e+04	0.000000e+00
7.75825020000e+04	1.392518e+04	0.000000e+00
8.49442250000e+04	1.392422e+04	0.000000e+00
9.30044950000e+04	1.392175e+04	0.000000e+00
1.01829595000e+05	1.391981e+04	0.000000e+00
1.11492100000e+05	1.392034e+04	0.000000e+00
1.22071470000e+05	1.392055e+04	0.000000e+00
1.33654705000e+05	1.391743e+04	0.000000e+00
1.46337062000e+05	1.391756e+04	0.000000e+00
1.60222834000e+05	1.391803e+04	0.000000e+00
1.75426213000e+05	1.391573e+04	0.000000e+00
1.92072225000e+05	1.391418e+04	0.000000e+00
2.10297759000e+05	1.391408e+04	0.000000e+00
2.30252696000e+05	1.391066e+04	0.000000e+00
2.52101136000e+05	1.390905e+04	0.000000e+00
2.76022752000e+05	1.390780e+04	0.000000e+00
3.02214266000e+05	1.390662e+04	0.000000e+00
3.30891064000e+05	1.390225e+04	0.000000e+00
3.62288975000e+05	1.389886e+04	0.000000e+00
3.96666201000e+05	1.389475e+04	0.000000e+00
4.34305446000e+05	1.389301e+04	0.000000e+00
4.75516241000e+05	1.388709e+04	0.000000e+00
5.20637485000e+05	1.388191e+04	0.000000e+00
5.70040237000e+05	1.387509e+04	0.000000e+00
6.24130765000e+05	1.386762e+04	0.000000e+00
6.83353887000e+05	1.385899e+04	0.000000e+00
7.48196631000e+05	1.384975e+04	0.000000e+00
8.19192234000e+05	1.383845e+04	0.000000e+00
8.96924538000e+05	1.382357e+04	0.000000e+00
9.82032779000e+05	1.380645e+04	0.000000e+00
1.07521685300e+06	1.378652e+04	0.000000e+00
1.17724306800e+06	1.375651e+04	0.000000e+00
1.28895044400e+06	1.372895e+04	0.000000e+00
1.41125761800e+06	1.369616e+04	0.000000e+00
1.54517039300e+06	1.365386e+04	0.000000e+00
1.69179001200e+06	1.360991e+04	0.000000e+00
1.85232221600e+06	1.355256e+04	0.000000e+00
2.02808715400e+06	1.348626e+04	0.000000e+00
2.22053024500e+06	1.340290e+04	0.000000e+00
2.43123406200e+06	1.331188e+04	0.000000e+00
2.66193134600e+06	1.320116e+04	0.000000e+00
2.91451925700e+06	1.307386e+04	0.000000e+00
3.19107497300e+06	1.292191e+04	0.000000e+00
3.49387277500e+06	1.274498e+04	0.000000e+00
3.82540274700e+06	1.254454e+04	0.000000e+00
4.18839125400e+06	1.230832e+04	0.000000e+00
4.58582336600e+06	1.204300e+04	0.000000e+00
5.02096740000e+06	1.173856e+04	0.000000e+00
5.49740180000e+06	1.139632e+04	0.000000e+00
6.01904456800e+06	1.100970e+04	0.000000e+00
6.59018547800e+06	1.058337e+04	0.000000e+00
7.21552135800e+06	1.012123e+04	0.000000e+00
7.90019471200e+06	9.624572e+03	0.000000e+00
8.64983601300e+06	9.090055e+03	0.000000e+00
9.47061000100e+06	8.523793e+03	0.000000e+00
1.03692663830e+07	7.940401e+03	0.000000e+00
1.13531953390e+07	7.349604e+03	0.000000e+00
1.24304882960e+07	6.762731e+03	0.000000e+00
1.36100044660e+07	6.174054e+03	0.000000e+00
1.49014437050e+07	5.496644e+03	0.000000e+00
1.63154262770e+07	5.185986e+03	0.000000e+00
1.78635801920e+07	4.669371e+03	0.000000e+00
1.95586368300e+07	4.164080e+03	0.000000e+00
2.14145356390e+07	3.692022e+03	0.000000e+00
2.34465387640e+07	3.269718e+03	0.000000e+00
2.56713565630e+07	2.879419e+03	0.000000e+00
2.81072850210e+07	2.523121e+03	0.000000e+00
3.07743562090e+07	2.200622e+03	0.000000e+00
3.36945030220e+07	1.908367e+03	0.000000e+00
3.68917395440e+07	1.645664e+03	0.000000e+00
4.03923585320e+07	1.410052e+03	0.000000e+00
4.42251476320e+07	1.213498e+03	0.000000e+00
4.84216261230e+07	1.029191e+03	0.000000e+00
5.30163041160e+07	8.773074e+02	0.000000e+00
5.80469663480e+07	7.365527e+02	0.000000e+00
6.35549829140e+07	6.199011e+02	0.000000e+00
6.95856494710e+07	5.205166e+02	0.000000e+00
7.61885597370e+07	4.227786e+02	0.000000e+00
8.34180133250e+07	3.407975e+02	0.000000e+00
9.13334622820e+07	2.689231e+02	0.000000e+00
1.00000000000e+08	2.222764e+02	0.000000e+00


"TRACE: B"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	-1.427325e+03	0.000000e+00
1.09488900000e+03	-1.344139e+03	0.000000e+00
1.19878200000e+03	-1.265580e+03	0.000000e+00
1.31253300000e+03	-1.192997e+03	0.000000e+00
1.43707800000e+03	-1.122962e+03	0.000000e+00
1.57344100000e+03	-1.057782e+03	0.000000e+00
1.72274300000e+03	-9.968643e+02	0.000000e+00
1.88621200000e+03	-9.397927e+02	0.000000e+00
2.06519300000e+03	-8.836643e+02	0.000000e+00
2.26115700000e+03	-8.294807e+02	0.000000e+00
2.47571600000e+03	-7.817593e+02	0.000000e+00
2.71063400000e+03	-7.350702e+02	0.000000e+00
2.96784300000e+03	-6.899530e+02	0.000000e+00
3.24945900000e+03	-6.451520e+02	0.000000e+00
3.55779600000e+03	-6.059790e+02	0.000000e+00
3.89539200000e+03	-5.659781e+02	0.000000e+00
4.26502200000e+03	-5.337684e+02	0.000000e+00
4.66972500000e+03	-4.935225e+02	0.000000e+00
5.11283100000e+03	-4.655990e+02	0.000000e+00
5.59798200000e+03	-4.359248e+02	0.000000e+00
6.12916900000e+03	-4.044240e+02	0.000000e+00
6.71075900000e+03	-3.782753e+02	0.000000e+00
7.34753600000e+03	-3.507582e+02	0.000000e+00
8.04473600000e+03	-3.304355e+02	0.000000e+00
8.80809300000e+03	-3.066585e+02	0.000000e+00
9.64388400000e+03	-2.865446e+02	0.000000e+00
1.05589820000e+04	-2.641584e+02	0.000000e+00
1.15609130000e+04	-2.483888e+02	0.000000e+00
1.26579160000e+04	-2.316487e+02	0.000000e+00
1.38590120000e+04	-2.171163e+02	0.000000e+00
1.51740800000e+04	-2.039305e+02	0.000000e+00
1.66139320000e+04	-1.943909e+02	0.000000e+00
1.81904110000e+04	-1.814414e+02	0.000000e+00
1.99164810000e+04	-1.678496e+02	0.000000e+00
2.18063350000e+04	-1.606485e+02	0.000000e+00
2.38755150000e+04	-1.487494e+02	0.000000e+00
2.61410380000e+04	-1.446332e+02	0.000000e+00
2.86215340000e+04	-1.381962e+02	0.000000e+00
3.13374020000e+04	-1.317933e+02	0.000000e+00
3.43109760000e+04	-1.306025e+02	0.000000e+00
3.75667090000e+04	-1.291056e+02	0.000000e+00
4.11313750000e+04	-1.264518e+02	0.000000e+00
4.50342890000e+04	-1.273247e+02	0.000000e+00
4.93075460000e+04	-1.206993e+02	0.000000e+00
5.39862880000e+04	-1.238732e+02	0.000000e+00
5.91089910000e+04	-1.241785e+02	0.000000e+00
6.47177820000e+04	-1.271820e+02	0.000000e+00
7.08587850000e+04	-1.323366e+02	0.000000e+00
7.75825020000e+04	-1.362454e+02	0.000000e+00
8.49442250000e+04	-1.409779e+02	0.000000e+00
9.30044950000e+04	-1.481048e+02	0.000000e+00
1.01829595000e+05	-1.542496e+02	0.000000e+00
1.11492100000e+05	-1.665736e+02	0.000000e+00
1.22071470000e+05	-1.742939e+02	0.000000e+00
1.33654705000e+05	-1.897345e+02	0.000000e+00
1.46337062000e+05	-2.006782e+02	0.000000e+00
1.60222834000e+05	-2.146570e+02	0.000000e+00
1.75426213000e+05	-2.328491e+02	0.000000e+00
1.92072225000e+05	-2.495125e+02	0.000000e+00
2.10297759000e+05	-2.676346e+02	0.000000e+00
2.30252696000e+05	-2.938557e+02	0.000000e+00
2.52101136000e+05	-3.157294e+02	0.000000e+00
2.76022752000e+05	-3.419546e+02	0.000000e+00
3.02214266000e+05	-3.748037e+02	0.000000e+00
3.30891064000e+05	-4.050231e+02	0.000000e+00
3.62288975000e+05	-4.404962e+02	0.000000e+00
3.96666201000e+05	-4.812920e+02	0.000000e+00
4.34305446000e+05	-5.249410e+02	0.000000e+00
4.75516241000e+05	-5.725378e+02	0.000000e+00
5.20637485000e+05	-6.238083e+02	0.000000e+00
5.70040237000e+05	-6.797748e+02	0.000000e+00
6.24130765000e+05	-7.401775e+02	0.000000e+00
6.83353887000e+05	-8.121948e+02	0.000000e+00
7.48196631000e+05	-8.837883e+02	0.000000e+00
8.19192234000e+05	-9.643105e+02	0.000000e+00
8.96924538000e+05	-1.055938e+03	0.000000e+00
9.82032779000e+05	-1.151222e+03	0.000000e+00
1.07521685300e+06	-1.260748e+03	0.000000e+00
1.17724306800e+06	-1.371529e+03	0.000000e+00
1.28895044400e+06	-1.495429e+03	0.000000e+00
1.41125761800e+06	-1.634577e+03	0.000000e+00
1.54517039300e+06	-1.779414e+03	0.000000e+00
1.69179001200e+06	-1.939878e+03	0.000000e+00
1.85232221600e+06	-2.115511e+03	0.000000e+00
2.02808715400e+06	-2.303919e+03	0.000000e+00
2.22053024500e+06	-2.505085e+03	0.000000e+00
2.43123406200e+06	-2.719238e+03	0.000000e+00
2.66193134600e+06	-2.949839e+03	0.000000e+00
2.91451925700e+06	-3.194827e+03	0.000000e+00
3.19107497300e+06	-3.452952e+03	0.000000e+00
3.49387277500e+06	-3.724700e+03	0.000000e+00
3.82540274700e+06	-4.005965e+03	0.000000e+00
4.18839125400e+06	-4.297455e+03	0.000000e+00
4.58582336600e+06	-4.593124e+03	0.000000e+00
5.02096740000e+06	-4.891407e+03	0.000000e+00
5.49740180000e+06	-5.188723e+03	0.000000e+00
6.01904456800e+06	-5.475070e+03	0.000000e+00
