4294A REV1.11
"DATE:     11 -100"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	1.029366e+04	0.000000e+00
1.09488900000e+03	1.010187e+04	0.000000e+00
1.19878200000e+03	9.930166e+03	0.000000e+00
1.31253300000e+03	9.773734e+03	0.000000e+00
1.43707800000e+03	9.629277e+03	0.000000e+00
1.57344100000e+03	9.496176e+03	0.000000e+00
1.72274300000e+03	9.373105e+03	0.000000e+00
1.88621200000e+03	9.258260e+03	0.000000e+00
2.06519300000e+03	9.153436e+03	0.000000e+00
2.26115700000e+03	9.053418e+03	0.000000e+00
2.47571600000e+03	8.960941e+03	0.000000e+00
2.71063400000e+03	8.874000e+03	0.000000e+00
2.96784300000e+03	8.795562e+03	0.000000e+00
3.24945900000e+03	8.722277e+03	0.000000e+00
3.55779600000e+03	8.651846e+03	0.000000e+00
3.89539200000e+03	8.586439e+03	0.000000e+00
4.26502200000e+03	8.525332e+03	0.000000e+00
4.66972500000e+03	8.470566e+03	0.000000e+00
5.11283100000e+03	8.417586e+03	0.000000e+00
5.59798200000e+03	8.367979e+03	0.000000e+00
6.12916900000e+03	8.320902e+03	0.000000e+00
6.71075900000e+03	8.279312e+03	0.000000e+00
7.34753600000e+03	8.240523e+03	0.000000e+00
8.04473600000e+03	8.200932e+03	0.000000e+00
8.80809300000e+03	8.163057e+03	0.000000e+00
9.64388400000e+03	8.129351e+03	0.000000e+00
1.05589820000e+04	8.094450e+03	0.000000e+00
1.15609130000e+04	8.063870e+03	0.000000e+00
1.26579160000e+04	8.034046e+03	0.000000e+00
1.38590120000e+04	8.002763e+03	0.000000e+00
1.51740800000e+04	7.975132e+03	0.000000e+00
1.66139320000e+04	7.948154e+03	0.000000e+00
1.81904110000e+04	7.921189e+03	0.000000e+00
1.99164810000e+04	7.894769e+03	0.000000e+00
2.18063350000e+04	7.871351e+03	0.000000e+00
2.38755150000e+04	7.845388e+03	0.000000e+00
2.61410380000e+04	7.822146e+03	0.000000e+00
2.86215340000e+04	7.800136e+03	0.000000e+00
3.13374020000e+04	7.778725e+03	0.000000e+00
3.43109760000e+04	7.758132e+03	0.000000e+00
3.75667090000e+04	7.736897e+03	0.000000e+00
4.11313750000e+04	7.717702e+03	0.000000e+00
4.50342890000e+04	7.698857e+03	0.000000e+00
4.93075460000e+04	7.683168e+03	0.000000e+00
5.39862880000e+04	7.665732e+03	0.000000e+00
5.91089910000e+04	7.650247e+03	0.000000e+00
6.47177820000e+04	7.636653e+03	0.000000e+00
7.08587850000e+04	7.622465e+03	0.000000e+00
7.75825020000e+04	7.608189e+03	0.000000e+00
8.49442250000e+04	7.595079e+03	0.000000e+00
9.30044950000e+04	7.582946e+03	0.000000e+00
1.01829595000e+05	7.571854e+03	0.000000e+00
1.11492100000e+05	7.561269e+03	0.000000e+00
1.22071470000e+05	7.551127e+03	0.000000e+00
1.33654705000e+05	7.542731e+03	0.000000e+00
1.46337062000e+05	7.533587e+03	0.000000e+00
1.60222834000e+05	7.525448e+03	0.000000e+00
1.75426213000e+05	7.517807e+03	0.000000e+00
1.92072225000e+05	7.510765e+03	0.000000e+00
2.10297759000e+05	7.504309e+03	0.000000e+00
2.30252696000e+05	7.497554e+03	0.000000e+00
2.52101136000e+05	7.492034e+03	0.000000e+00
2.76022752000e+05	7.487119e+03	0.000000e+00
3.02214266000e+05	7.481592e+03	0.000000e+00
3.30891064000e+05	7.476254e+03	0.000000e+00
3.62288975000e+05	7.472248e+03	0.000000e+00
3.96666201000e+05	7.466788e+03	0.000000e+00
4.34305446000e+05	7.462640e+03	0.000000e+00
4.75516241000e+05	7.457924e+03	0.000000e+00
5.20637485000e+05	7.453883e+03	0.000000e+00
5.70040237000e+05	7.450188e+03	0.000000e+00
6.24130765000e+05	7.446083e+03	0.000000e+00
6.83353887000e+05	7.441626e+03	0.000000e+00
7.48196631000e+05	7.438153e+03	0.000000e+00
8.19192234000e+05	7.433470e+03	0.000000e+00
8.96924538000e+05	7.428779e+03	0.000000e+00
9.82032779000e+05	7.424619e+03	0.000000e+00
1.07521685300e+06	7.419091e+03	0.000000e+00
1.17724306800e+06	7.412382e+03	0.000000e+00
1.28895044400e+06	7.406523e+03	0.000000e+00
1.41125761800e+06	7.398678e+03	0.000000e+00
1.54517039300e+06	7.391275e+03	0.000000e+00
1.69179001200e+06	7.382249e+03	0.000000e+00
1.85232221600e+06	7.371714e+03	0.000000e+00
2.02808715400e+06	7.359958e+03	0.000000e+00
2.22053024500e+06	7.346683e+03	0.000000e+00
2.43123406200e+06	7.331174e+03	0.000000e+00
2.66193134600e+06	7.312153e+03	0.000000e+00
2.91451925700e+06	7.290645e+03	0.000000e+00
3.19107497300e+06	7.266768e+03	0.000000e+00
3.49387277500e+06	7.237405e+03	0.000000e+00
3.82540274700e+06	7.203454e+03	0.000000e+00
4.18839125400e+06	7.163476e+03	0.000000e+00
4.58582336600e+06	7.117207e+03	0.000000e+00
5.02096740000e+06	7.062596e+03	0.000000e+00
5.49740180000e+06	6.999825e+03	0.000000e+00
6.01904456800e+06	6.926954e+03	0.000000e+00
6.59018547800e+06	6.843006e+03	0.000000e+00
7.21552135800e+06	6.747950e+03	0.000000e+00
7.90019471200e+06	6.633769e+03	0.000000e+00
8.64983601300e+06	6.495753e+03	0.000000e+00
9.47061000100e+06	6.347228e+03	0.000000e+00
1.03692663830e+07	6.179842e+03	0.000000e+00
1.13531953390e+07	5.994996e+03	0.000000e+00
1.24304882960e+07	5.789333e+03	0.000000e+00
1.36100044660e+07	5.529509e+03	0.000000e+00
1.49014437050e+07	5.283114e+03	0.000000e+00
1.63154262770e+07	5.136672e+03	0.000000e+00
1.78635801920e+07	4.820677e+03	0.000000e+00
1.95586368300e+07	4.535912e+03	0.000000e+00
2.14145356390e+07	4.237648e+03	0.000000e+00
2.34465387640e+07	3.927572e+03	0.000000e+00
2.56713565630e+07	3.616709e+03	0.000000e+00
2.81072850210e+07	3.303971e+03	0.000000e+00
3.07743562090e+07	3.001314e+03	0.000000e+00
3.36945030220e+07	2.716573e+03	0.000000e+00
3.68917395440e+07	2.434846e+03	0.000000e+00
4.03923585320e+07	2.174801e+03	0.000000e+00
4.42251476320e+07	1.926318e+03	0.000000e+00
4.84216261230e+07	1.689293e+03	0.000000e+00
5.30163041160e+07	1.480385e+03	0.000000e+00
5.80469663480e+07	1.290119e+03	0.000000e+00
6.35549829140e+07	1.115275e+03	0.000000e+00
6.95856494710e+07	9.568295e+02	0.000000e+00
7.61885597370e+07	8.154010e+02	0.000000e+00
8.34180133250e+07	6.909709e+02	0.000000e+00
9.13334622820e+07	5.917833e+02	0.000000e+00
1.00000000000e+08	5.098575e+02	0.000000e+00


"TRACE: B"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	-1.079235e+04	0.000000e+00
1.09488900000e+03	-9.928445e+03	0.000000e+00
1.19878200000e+03	-9.198867e+03	0.000000e+00
1.31253300000e+03	-8.537715e+03	0.000000e+00
1.43707800000e+03	-7.932964e+03	0.000000e+00
1.57344100000e+03	-7.373572e+03	0.000000e+00
1.72274300000e+03	-6.857028e+03	0.000000e+00
1.88621200000e+03	-6.379523e+03	0.000000e+00
2.06519300000e+03	-5.938318e+03	0.000000e+00
2.26115700000e+03	-5.528216e+03	0.000000e+00
2.47571600000e+03	-5.146233e+03	0.000000e+00
2.71063400000e+03	-4.792836e+03	0.000000e+00
2.96784300000e+03	-4.463117e+03	0.000000e+00
3.24945900000e+03	-4.156025e+03	0.000000e+00
3.55779600000e+03	-3.870782e+03	0.000000e+00
3.89539200000e+03	-3.603621e+03	0.000000e+00
4.26502200000e+03	-3.355282e+03	0.000000e+00
4.66972500000e+03	-3.123155e+03	0.000000e+00
5.11283100000e+03	-2.909481e+03	0.000000e+00
5.59798200000e+03	-2.708092e+03	0.000000e+00
6.12916900000e+03	-2.524661e+03	0.000000e+00
6.71075900000e+03	-2.352966e+03	0.000000e+00
7.34753600000e+03	-2.192003e+03	0.000000e+00
8.04473600000e+03	-2.042237e+03	0.000000e+00
8.80809300000e+03	-1.907710e+03	0.000000e+00
9.64388400000e+03	-1.777820e+03	0.000000e+00
1.05589820000e+04	-1.660003e+03	0.000000e+00
1.15609130000e+04	-1.552645e+03	0.000000e+00
1.26579160000e+04	-1.450077e+03	0.000000e+00
1.38590120000e+04	-1.359073e+03	0.000000e+00
1.51740800000e+04	-1.274169e+03	0.000000e+00
1.66139320000e+04	-1.192479e+03	0.000000e+00
1.81904110000e+04	-1.118812e+03	0.000000e+00
1.99164810000e+04	-1.050026e+03	0.000000e+00
2.18063350000e+04	-9.838995e+02	0.000000e+00
2.38755150000e+04	-9.248071e+02	0.000000e+00
2.61410380000e+04	-8.685868e+02	0.000000e+00
2.86215340000e+04	-8.163208e+02	0.000000e+00
3.13374020000e+04	-7.678566e+02	0.000000e+00
3.43109760000e+04	-7.256705e+02	0.000000e+00
3.75667090000e+04	-6.831902e+02	0.000000e+00
4.11313750000e+04	-6.429629e+02	0.000000e+00
4.50342890000e+04	-6.060587e+02	0.000000e+00
4.93075460000e+04	-5.695398e+02	0.000000e+00
5.39862880000e+04	-5.392759e+02	0.000000e+00
5.91089910000e+04	-5.098713e+02	0.000000e+00
6.47177820000e+04	-4.828986e+02	0.000000e+00
7.08587850000e+04	-4.559808e+02	0.000000e+00
7.75825020000e+04	-4.322415e+02	0.000000e+00
8.49442250000e+04	-4.059526e+02	0.000000e+00
9.30044950000e+04	-3.883804e+02	0.000000e+00
1.01829595000e+05	-3.681857e+02	0.000000e+00
1.11492100000e+05	-3.524193e+02	0.000000e+00
1.22071470000e+05	-3.346097e+02	0.000000e+00
1.33654705000e+05	-3.195414e+02	0.000000e+00
1.46337062000e+05	-3.081636e+02	0.000000e+00
1.60222834000e+05	-2.951334e+02	0.000000e+00
1.75426213000e+05	-2.854727e+02	0.000000e+00
1.92072225000e+05	-2.768430e+02	0.000000e+00
2.10297759000e+05	-2.686840e+02	0.000000e+00
2.30252696000e+05	-2.637246e+02	0.000000e+00
2.52101136000e+05	-2.586851e+02	0.000000e+00
2.76022752000e+05	-2.559464e+02	0.000000e+00
3.02214266000e+05	-2.526606e+02	0.000000e+00
3.30891064000e+05	-2.514861e+02	0.000000e+00
3.62288975000e+05	-2.530265e+02	0.000000e+00
3.96666201000e+05	-2.561770e+02	0.000000e+00
4.34305446000e+05	-2.602393e+02	0.000000e+00
4.75516241000e+05	-2.653366e+02	0.000000e+00
5.20637485000e+05	-2.729633e+02	0.000000e+00
5.70040237000e+05	-2.815791e+02	0.000000e+00
6.24130765000e+05	-2.930549e+02	0.000000e+00
6.83353887000e+05	-3.067881e+02	0.000000e+00
7.48196631000e+05	-3.201389e+02	0.000000e+00
8.19192234000e+05	-3.392737e+02	0.000000e+00
8.96924538000e+05	-3.589971e+02	0.000000e+00
9.82032779000e+05	-3.798588e+02	0.000000e+00
1.07521685300e+06	-4.060661e+02	0.000000e+00
1.17724306800e+06	-4.356636e+02	0.000000e+00
1.28895044400e+06	-4.664471e+02	0.000000e+00
1.41125761800e+06	-5.009988e+02	0.000000e+00
1.54517039300e+06	-5.376876e+02	0.000000e+00
1.69179001200e+06	-5.806780e+02	0.000000e+00
1.85232221600e+06	-6.271329e+02	0.000000e+00
2.02808715400e+06	-6.783822e+02	0.000000e+00
2.22053024500e+06	-7.338313e+02	0.000000e+00
2.43123406200e+06	-7.945947e+02	0.000000e+00
2.66193134600e+06	-8.609386e+02	0.000000e+00
2.91451925700e+06	-9.332380e+02	0.000000e+00
3.19107497300e+06	-1.012047e+03	0.000000e+00
3.49387277500e+06	-1.097161e+03	0.000000e+00
3.82540274700e+06	-1.188497e+03	0.000000e+00
4.18839125400e+06	-1.288542e+03	0.000000e+00
4.58582336600e+06	-1.395800e+03	0.000000e+00
5.02096740000e+06	-1.510168e+03	0.000000e+00
5.49740180000e+06	-1.631821e+03	0.000000e+00
6.01904456800e+06	-1.760558e+03	0.000000e+00
6.59018547800e+06	-1.897362e+03	0.000000e+00
7.21552135800e+06	-2.041267e+03	0.000000e+00
7.90019471200e+06	-2.198064e+03	0.000000e+00
8.64983601300e+06	-2.350090e+03	0.000000e+00
9.47061000100e+06	-2.502311e+03	0.000000e+00
1.03692663830e+07	-2.657245e+03	0.000000e+00
1.13531953390e+07	-2.811477e+03	0.000000e+00
1.24304882960e+07	-2.967154e+03	0.000000e+00
1.36100044660e+07	-3.118486e+03	0.000000e+00
1.49014437050e+07	-3.235920e+03	0.000000e+00
1.63154262770e+07	-3.333946e+03	0.000000e+00
1.78635801920e+07	-3.401741e+03	0.000000e+00
1.95586368300e+07	-3.462250e+03	0.000000e+00
2.14145356390e+07	-3.510214e+03	0.000000e+00
2.34465387640e+07	-3.535892e+03	0.000000e+00
2.56713565630e+07	-3.532516e+03	0.000000e+00
2.81072850210e+07	-3.507156e+03	0.000000e+00
3.07743562090e+07	-3.449516e+03	0.000000e+00
3.36945030220e+07	-3.376373e+03	0.000000e+00
3.68917395440e+07	-3.285418e+03	0.000000e+00
4.03923585320e+07	-3.172721e+03	0.000000e+00
4.42251476320e+07	-3.059365e+03	0.000000e+00
4.84216261230e+07	-2.913029e+03	0.000000e+00
5.30163041160e+07	-2.764363e+03	0.000000e+00
5.80469663480e+07	-2.612756e+03	0.000000e+00
6.35549829140e+07	-2.453499e+03	0.000000e+00
6.95856494710e+07	-2.294119e+03	0.000000e+00
7.61885597370e+07	-2.132340e+03	0.000000e+00
8.34180133250e+07	-1.965212e+03	0.000000e+00
9.13334622820e+07	-1.800314e+03	0.000000e+00
1.00000000000e+08	-1.649391e+03	0.000000e+00
