4294A REV1.11
"DATE: May 12 2017"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	1.083091e+04	0.000000e+00
1.09488900000e+03	1.063171e+04	0.000000e+00
1.19878200000e+03	1.045432e+04	0.000000e+00
1.31253300000e+03	1.028913e+04	0.000000e+00
1.43707800000e+03	1.013215e+04	0.000000e+00
1.57344100000e+03	9.984906e+03	0.000000e+00
1.72274300000e+03	9.845473e+03	0.000000e+00
1.88621200000e+03	9.712924e+03	0.000000e+00
2.06519300000e+03	9.587135e+03	0.000000e+00
2.26115700000e+03	9.467049e+03	0.000000e+00
2.47571600000e+03	9.354010e+03	0.000000e+00
2.71063400000e+03	9.243855e+03	0.000000e+00
2.96784300000e+03	9.139746e+03	0.000000e+00
3.24945900000e+03	9.041809e+03	0.000000e+00
3.55779600000e+03	8.946938e+03	0.000000e+00
3.89539200000e+03	8.856090e+03	0.000000e+00
4.26502200000e+03	8.770393e+03	0.000000e+00
4.66972500000e+03	8.687824e+03	0.000000e+00
5.11283100000e+03	8.610004e+03	0.000000e+00
5.59798200000e+03	8.534828e+03	0.000000e+00
6.12916900000e+03	8.464766e+03	0.000000e+00
6.71075900000e+03	8.396049e+03	0.000000e+00
7.34753600000e+03	8.332592e+03	0.000000e+00
8.04473600000e+03	8.270684e+03	0.000000e+00
8.80809300000e+03	8.214027e+03	0.000000e+00
9.64388400000e+03	8.156334e+03	0.000000e+00
1.05589820000e+04	8.103839e+03	0.000000e+00
1.15609130000e+04	8.053354e+03	0.000000e+00
1.26579160000e+04	8.005497e+03	0.000000e+00
1.38590120000e+04	7.962002e+03	0.000000e+00
1.51740800000e+04	7.917589e+03	0.000000e+00
1.66139320000e+04	7.874829e+03	0.000000e+00
1.81904110000e+04	7.835104e+03	0.000000e+00
1.99164810000e+04	7.798087e+03	0.000000e+00
2.18063350000e+04	7.760149e+03	0.000000e+00
2.38755150000e+04	7.725063e+03	0.000000e+00
2.61410380000e+04	7.692150e+03	0.000000e+00
2.86215340000e+04	7.659262e+03	0.000000e+00
3.13374020000e+04	7.628545e+03	0.000000e+00
3.43109760000e+04	7.598183e+03	0.000000e+00
3.75667090000e+04	7.570180e+03	0.000000e+00
4.11313750000e+04	7.542623e+03	0.000000e+00
4.50342890000e+04	7.515900e+03	0.000000e+00
4.93075460000e+04	7.490852e+03	0.000000e+00
5.39862880000e+04	7.466614e+03	0.000000e+00
5.91089910000e+04	7.443094e+03	0.000000e+00
6.47177820000e+04	7.421134e+03	0.000000e+00
7.08587850000e+04	7.399979e+03	0.000000e+00
7.75825020000e+04	7.380342e+03	0.000000e+00
8.49442250000e+04	7.360793e+03	0.000000e+00
9.30044950000e+04	7.342955e+03	0.000000e+00
1.01829595000e+05	7.326496e+03	0.000000e+00
1.11492100000e+05	7.309611e+03	0.000000e+00
1.22071470000e+05	7.294217e+03	0.000000e+00
1.33654705000e+05	7.280011e+03	0.000000e+00
1.46337062000e+05	7.266615e+03	0.000000e+00
1.60222834000e+05	7.253694e+03	0.000000e+00
1.75426213000e+05	7.241302e+03	0.000000e+00
1.92072225000e+05	7.230449e+03	0.000000e+00
2.10297759000e+05	7.219533e+03	0.000000e+00
2.30252696000e+05	7.209266e+03	0.000000e+00
2.52101136000e+05	7.199732e+03	0.000000e+00
2.76022752000e+05	7.190511e+03	0.000000e+00
3.02214266000e+05	7.182038e+03	0.000000e+00
3.30891064000e+05	7.173609e+03	0.000000e+00
3.62288975000e+05	7.166183e+03	0.000000e+00
3.96666201000e+05	7.159175e+03	0.000000e+00
4.34305446000e+05	7.151844e+03	0.000000e+00
4.75516241000e+05	7.145409e+03	0.000000e+00
5.20637485000e+05	7.138847e+03	0.000000e+00
5.70040237000e+05	7.132855e+03	0.000000e+00
6.24130765000e+05	7.126774e+03	0.000000e+00
6.83353887000e+05	7.121134e+03	0.000000e+00
7.48196631000e+05	7.116072e+03	0.000000e+00
8.19192234000e+05	7.110454e+03	0.000000e+00
8.96924538000e+05	7.105117e+03	0.000000e+00
9.82032779000e+05	7.099795e+03	0.000000e+00
1.07521685300e+06	7.093921e+03	0.000000e+00
1.17724306800e+06	7.086086e+03	0.000000e+00
1.28895044400e+06	7.080024e+03	0.000000e+00
1.41125761800e+06	7.072410e+03	0.000000e+00
1.54517039300e+06	7.065697e+03	0.000000e+00
1.69179001200e+06	7.056954e+03	0.000000e+00
1.85232221600e+06	7.048225e+03	0.000000e+00
2.02808715400e+06	7.037706e+03	0.000000e+00
2.22053024500e+06	7.025717e+03	0.000000e+00
2.43123406200e+06	7.012188e+03	0.000000e+00
2.66193134600e+06	6.996664e+03	0.000000e+00
2.91451925700e+06	6.978998e+03	0.000000e+00
3.19107497300e+06	6.958698e+03	0.000000e+00
3.49387277500e+06	6.934910e+03	0.000000e+00
3.82540274700e+06	6.907141e+03	0.000000e+00
4.18839125400e+06	6.875167e+03	0.000000e+00
4.58582336600e+06	6.838029e+03	0.000000e+00
5.02096740000e+06	6.795014e+03	0.000000e+00
5.49740180000e+06	6.744068e+03	0.000000e+00
6.01904456800e+06	6.685041e+03	0.000000e+00
6.59018547800e+06	6.616785e+03	0.000000e+00
7.21552135800e+06	6.539484e+03	0.000000e+00
7.90019471200e+06	6.449702e+03	0.000000e+00
8.64983601300e+06	6.349443e+03	0.000000e+00
9.47061000100e+06	6.241273e+03	0.000000e+00
1.03692663830e+07	6.087802e+03	0.000000e+00
1.13531953390e+07	5.907577e+03	0.000000e+00
1.24304882960e+07	5.726045e+03	0.000000e+00
1.36100044660e+07	5.526386e+03	0.000000e+00
1.49014437050e+07	5.304673e+03	0.000000e+00
1.63154262770e+07	5.191773e+03	0.000000e+00
1.78635801920e+07	4.947500e+03	0.000000e+00
1.95586368300e+07	4.687514e+03	0.000000e+00
2.14145356390e+07	4.413188e+03	0.000000e+00
2.34465387640e+07	4.127126e+03	0.000000e+00
2.56713565630e+07	3.836295e+03	0.000000e+00
