Bottle Number:0
11/27/2017 3:32:04 PM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,10489.1064709,-11859.1618504
1059.254,10392.9620305,-11239.2885797
1122.018,10300.6597386,-10673.3233469
1188.502,10213.327998,-10144.3709529
1258.925,10130.4409076,-9645.9732592
1333.521,10052.1247847,-9174.14449532
1412.538,9977.61479877,-8727.69725848
1496.236,9907.37001662,-8304.20673172
1584.893,9840.94253908,-7901.82705149
1678.804,9778.16539023,-7519.71188747
1778.279,9718.7291627,-7155.76262452
1883.649,9662.63262961,-6810.33465297
1995.262,9609.59520761,-6481.42306701
2113.489,9559.46987019,-6168.10309442
2238.721,9512.14752553,-5869.7509292
2371.374,9467.40263425,-5585.74165921
2511.886,9425.07378289,-5315.25407999
2660.725,9385.12548223,-5057.41387605
2818.383,9347.32294902,-4812.49154754
2985.383,9311.57964954,-4579.22057462
3162.278,9277.83272452,-4357.45702921
3349.654,9245.87311301,-4146.3382165
3548.134,9215.6364117,-3945.29659729
3758.374,9187.13743379,-3753.9914541
3981.072,9159.98525679,-3572.09188597
4216.965,9134.29240951,-3399.3461661
4466.836,9109.78586311,-3235.24285203
4731.513,9086.50412315,-3079.43587869
5011.872,9064.28582685,-2931.33488398
5308.844,9043.03276806,-2790.69783692
5623.413,9022.77666415,-2657.17401048
5956.621,9003.25881999,-2530.68165908
6309.573,8984.51317091,-2410.7216923
6683.439,8966.4470533,-2297.06329928
7079.458,8949.0025806,-2189.48772778
7498.942,8932.00854345,-2087.61517516
7943.282,8915.53571525,-1991.11520333
8413.951,8899.37146992,-1899.73443236
8912.509,8883.62812103,-1813.11217358
9440.609,8868.14844052,-1731.1863883
10000,8852.87740104,-1653.5992026
10592.537,8837.85112652,-1580.22577298
11220.185,8822.96350977,-1510.80300584
11885.022,8808.22186281,-1445.01241152
12589.254,8793.61299023,-1382.66222444
13335.214,8779.03409278,-1323.61503259
14125.375,8764.56681173,-1267.54547707
14962.357,8750.16126593,-1214.39147397
15848.932,8735.81920158,-1163.8478927
16788.04,8721.56702577,-1115.79949041
17782.794,8707.33974497,-1070.1461017
18836.491,8693.23708826,-1026.6126588
19952.623,8679.23192887,-985.138217037
21134.89,8665.41415356,-945.615471602
22387.211,8651.68892979,-907.879189542
23713.737,8638.18845923,-871.813996503
25118.864,8624.85002912,-837.290038234
26607.251,8611.75512391,-804.200170695
28183.829,8598.9550208,-772.532817126
29853.826,8586.42748889,-742.204119333
31622.777,8574.17584389,-713.086823331
33496.544,8562.28935641,-685.128446399
35481.339,8550.7554882,-658.305676256
37583.74,8539.60298774,-632.567997486
39810.717,8528.76023808,-607.905092241
42169.65,8518.32535377,-584.234738163
44668.359,8508.24946887,-561.543821848
47315.126,8498.62585019,-539.843567304
50118.723,8489.26927403,-518.994505778
53088.444,8480.34717565,-499.11710451
56234.133,8471.81731598,-480.059378169
59566.214,8463.57681175,-461.903580831
63095.734,8455.76352502,-444.496556939
66834.392,8448.28312881,-428.004541649
70794.578,8441.15419635,-412.236106578
74989.421,8434.34554152,-397.323630581
79432.823,8427.90134451,-383.124460656
84139.514,8421.70026574,-369.718958774
89125.094,8415.93301405,-357.013307215
94406.088,8410.26901942,-345.048086641
100000,8404.9061518,-333.780454008
105925.373,8399.8021469,-323.244619445
112201.845,8394.94778336,-313.316462302
118850.223,8390.28087933,-304.09634195
125892.541,8385.88881459,-295.504969393
133352.143,8381.7038858,-287.57561001
141253.754,8377.65170907,-280.229742004
149623.566,8373.8015828,-273.574707557
158489.319,8370.15806294,-267.534415424
167880.402,8366.66428539,-262.07157674
177827.941,8363.28822265,-257.208992833
188364.909,8360.04564197,-253.006972329
199526.231,8356.95974834,-249.344467961
211348.904,8353.9284778,-246.220103216
223872.114,8351.0354718,-243.730828516
237137.371,8348.32347357,-241.846119014
251188.643,8345.6216579,-240.564448652
266072.506,8343.05034484,-239.887515235
281838.293,8340.53117823,-239.84502801
298538.262,8338.09850571,-240.374606053
316227.766,8335.72897577,-241.580955592
334965.439,8333.42318462,-243.366489237
354813.389,8331.17420204,-245.836992795
375837.404,8329.00205502,-249.027719595
398107.171,8326.79004242,-252.871428105
421696.503,8324.61540707,-257.405732662
446683.592,8322.47175086,-262.624955741
473151.259,8320.39079519,-268.605214467
501187.234,8318.31073799,-275.404654487
530884.444,8316.46208682,-283.121879415
562341.325,8314.43488758,-291.640430064
595662.144,8312.32939352,-300.943676673
630957.344,8310.21907503,-311.026588926
668343.918,8307.95726612,-322.018522219
707945.784,8305.54244489,-333.870523383
749894.209,8302.88887727,-346.647464957
794328.235,8300.21971628,-360.334423993
841395.142,8297.38822338,-374.944517772
891250.938,8294.35617693,-390.728272889
944060.876,8290.59728196,-407.743579193
1000000,8286.91727483,-426.039477975
1059253.725,8283.68584993,-446.071441928
1122018.454,8279.597541,-466.855175475
1188502.227,8274.91087507,-488.860265734
1258925.412,8271.19935083,-512.802436618
1333521.432,8266.46656731,-538.253362957
1412537.545,8260.98539724,-565.067400465
1496235.656,8253.79663132,-593.985866537
1584893.192,8246.11613046,-624.030760568
1678804.018,8240.51836872,-654.981963828
1778279.41,8232.68002592,-687.930311173
1883649.089,8225.61858536,-723.952465918
1995262.315,8214.22497569,-762.200577294
2113489.04,8206.72858572,-802.898190228
2238721.139,8195.58677667,-848.503741029
2371373.706,8186.27452918,-892.384220051
2511886.432,8173.02722489,-942.807677357
2660725.06,8158.36865919,-992.333655446
2818382.931,8141.23242161,-1045.67153931
2985382.619,8122.07870462,-1100.17891716
3162277.66,8102.50195399,-1159.97373727
3349654.392,8080.36424397,-1222.39573544
3548133.892,8055.54350188,-1285.67681347
3758374.043,8028.74392887,-1355.36585425
3981071.706,8000.63334113,-1425.87577007
4216965.034,7969.21777773,-1497.01565423
4466835.922,7933.13013978,-1574.84041014
4731512.59,7891.93507496,-1655.03586827
5011872.336,7849.7952964,-1739.10697037
5308844.442,7802.51713979,-1828.09492674
5623413.252,7749.43472637,-1917.69370421
5956621.435,7694.0653191,-2011.13012666
6309573.445,7629.06319268,-2108.11365104
6683439.176,7564.87339159,-2205.89902266
7079457.844,7489.20205549,-2307.81894912
7498942.093,7406.01961315,-2411.33113815
7943282.347,7316.19457224,-2520.70919341
8413951.416,7219.26670432,-2625.73075495
8912509.381,7115.17213169,-2733.7302711
9440608.763,7002.26379677,-2841.00488616
10000000,6880.31315095,-2949.91934
10592537.252,6748.80952991,-3056.55470735
11220184.543,6608.70541086,-3160.67090386
11885022.274,6457.75070983,-3261.51141597
12589254.118,6299.51732071,-3360.69979687
13335214.322,6131.9768806,-3454.89471467
14125375.446,5955.97917419,-3540.41690942
14962356.561,5770.60092217,-3623.14320301
15848931.925,5702.08937537,-3633.15978231
16788040.181,5509.1033597,-3702.23948702
17782794.1,5306.14200021,-3766.22464521
18836490.895,5099.4546258,-3812.43115499
19952623.15,4891.32557198,-3862.9888595
21134890.398,4664.26051045,-3895.86396822
22387211.386,4438.60839958,-3906.6811254
23713737.057,4221.4806766,-3916.00713544
25118864.315,3983.75227911,-3912.46600769
26607250.598,3762.0246966,-3877.81206179
28183829.313,3556.34570113,-3842.09291875
29853826.189,3323.55098681,-3813.78553026
31622776.602,3126.90705724,-3749.52824295
33496543.916,2891.35382392,-3714.70703691
35481338.923,2672.74288689,-3587.95996612
37583740.429,2510.63823956,-3488.34540339
39810717.055,2343.9958125,-3396.45526477
42169650.343,2181.59829317,-3300.80552435
44668359.215,2025.56577806,-3204.91838095
47315125.896,1871.73216543,-3098.63866292
50118723.363,1731.78402873,-2990.92373306
53088444.423,1600.10439602,-2882.16062294
56234132.519,1473.97884953,-2771.4232264
59566214.353,1356.52304068,-2658.81904833
63095734.448,1246.03091038,-2548.23204752
66834391.757,1142.97359132,-2434.7488922
70794578.438,1046.30189957,-2322.77212568
74989420.933,955.71696874,-2210.0780378
79432823.472,872.509860071,-2100.58636509
84139514.165,792.092796137,-1987.80184958
89125093.813,720.189570825,-1881.79885904
94406087.629,648.154346487,-1771.5851579
