Bottle Number:0
11/27/2017 11:34:27 AM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,10810.1997335,-11666.5077163
1059.254,10712.4726827,-11057.7768951
1122.018,10619.7510423,-10502.038159
1188.502,10532.1544984,-9982.6243619
1258.925,10449.353583,-9493.28552484
1333.521,10371.1799572,-9030.1647034
1412.538,10297.1537096,-8591.58723399
1496.236,10227.126565,-8175.74513548
1584.893,10160.7939978,-7780.54865251
1678.804,10098.169888,-7405.26220249
1778.279,10038.8320122,-7047.98332465
1883.649,9982.73985631,-6708.65214855
1995.262,9929.75580668,-6385.60157853
2113.489,9879.70282383,-6077.85542449
2238.721,9832.31774687,-5784.73722741
2371.374,9787.50092985,-5505.70847496
2511.886,9745.07107915,-5239.95776249
2660.725,9704.86990517,-4986.70231443
2818.383,9666.94094891,-4746.00500341
2985.383,9630.96120807,-4516.93170018
3162.278,9596.94735071,-4298.93889067
3349.654,9564.69189462,-4091.57441231
3548.134,9534.21600892,-3894.00078481
3758.374,9505.28485269,-3706.06382312
3981.072,9477.7871592,-3527.3700744
4216.965,9451.66422668,-3357.62549378
4466.836,9426.82110647,-3196.47403194
4731.513,9403.13690379,-3043.38522425
5011.872,9380.45467341,-2897.9021516
5308.844,9358.77094627,-2759.76396406
5623.413,9337.86685134,-2628.68040171
5956.621,9317.95044723,-2504.37187365
6309.573,9298.67140201,-2386.59028473
6683.439,9280.05972054,-2275.05301443
7079.458,9262.00346737,-2169.40055513
7498.942,9244.50456704,-2069.37044498
7943.282,9227.42968698,-1974.6080268
8413.951,9210.73870756,-1884.85470771
8912.509,9194.37164474,-1799.80223075
9440.609,9178.29058639,-1719.32387069
10000,9162.38850465,-1643.07299595
10592.537,9146.69154259,-1571.01188366
11220.185,9131.16924337,-1502.74360577
11885.022,9115.81931333,-1438.08946817
12589.254,9100.56571427,-1376.78475773
13335.214,9085.37087264,-1318.59469516
14125.375,9070.29477838,-1263.45485725
14962.357,9055.22225342,-1211.03603858
15848.932,9040.31153742,-1161.17684595
16788.04,9025.47803723,-1113.8054895
17782.794,9010.68310702,-1068.68703903
18836.491,8996.01892438,-1025.67593934
19952.623,8981.50839375,-984.587761564
21134.89,8967.17672287,-945.462942373
22387.211,8952.94958484,-908.115432987
23713.737,8939.01848989,-872.337653212
25118.864,8925.25765542,-838.103330737
26607.251,8911.7735025,-805.247535414
28183.829,8898.57368789,-773.832473713
29853.826,8885.72024258,-743.610491468
31622.777,8873.16797893,-714.612618724
33496.544,8860.98863335,-686.845741877
35481.339,8849.18831491,-660.112643228
37583.74,8837.75959748,-634.530477781
39810.717,8826.71304662,-609.965316339
42169.65,8816.05402572,-586.36825815
44668.359,8805.80803597,-563.759109548
47315.126,8795.94831914,-542.119800219
50118.723,8786.48145522,-521.368997943
53088.444,8777.42285452,-501.60024344
56234.133,8768.73231209,-482.625618621
59566.214,8760.39658688,-464.54005914
63095.734,8752.47981705,-447.242655692
66834.392,8744.89557716,-430.785136887
70794.578,8737.64094485,-415.154710155
74989.421,8730.7501852,-400.319496742
79432.823,8724.14359174,-386.277019293
84139.514,8717.89366754,-372.898921915
89125.094,8711.89966782,-360.24807495
94406.088,8706.30220232,-348.459754168
100000,8700.87263038,-337.313857253
105925.373,8695.61117613,-326.90092279
112201.845,8690.72298246,-317.148157137
118850.223,8686.012122,-308.047562923
125892.541,8681.52643392,-299.631227281
133352.143,8677.29389408,-291.883082536
141253.754,8673.21821732,-284.737582533
149623.566,8669.30435772,-278.231974072
158489.319,8665.56788579,-272.377182168
167880.402,8662.06512416,-267.159218847
177827.941,8658.62365042,-262.505365316
188364.909,8655.34238451,-258.527456594
199526.231,8652.17984868,-255.129788215
211348.904,8649.11536702,-252.296184599
223872.114,8646.15805251,-250.071855818
237137.371,8643.44807555,-248.472879859
