Bottle Number:0
11/27/2017 10:57:31 AM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,12115.8647072,-11919.6925896
1059.254,12006.2867317,-11288.4030067
1122.018,11901.9375908,-10724.6868597
1188.502,11803.2838889,-10202.2684111
1258.925,11709.9605566,-9711.79093951
1333.521,11621.9852922,-9248.27893925
1412.538,11538.7844705,-8809.40014397
1496.236,11460.3387146,-8393.08143497
1584.893,11386.3128021,-7996.75048536
1678.804,11316.5815989,-7619.95124219
1778.279,11250.5964129,-7260.68148171
1883.649,11188.537463,-6918.72309823
1995.262,11129.9177569,-6592.62275822
2113.489,11074.5677469,-6281.34748834
2238.721,11022.4443219,-5984.34384084
2371.374,10973.0210707,-5701.06440592
2511.886,10926.3798417,-5430.84844755
2660.725,10882.2416919,-5172.85393296
2818.383,10840.5226068,-4927.37505643
2985.383,10801.055803,-4693.47195939
3162.278,10763.5996566,-4470.63533617
3349.654,10728.176935,-4258.3977806
3548.134,10694.5958332,-4055.95357307
3758.374,10662.7201516,-3863.15000253
3981.072,10632.3641323,-3679.73591597
4216.965,10603.4972979,-3505.38230763
4466.836,10575.928869,-3339.64912008
4731.513,10549.5529899,-3182.21719856
5011.872,10524.4173234,-3032.50457457
5308.844,10500.1997641,-2890.19775529
5623.413,10476.9013707,-2755.12965359
5956.621,10454.4989229,-2626.9170304
6309.573,10432.8086969,-2505.39599296
6683.439,10411.8919962,-2390.25910031
7079.458,10391.4426134,-2281.20929322
7498.942,10371.5564264,-2177.83135793
7943.282,10352.1609459,-2079.90199619
8413.951,10333.1636071,-1986.96231573
8912.509,10314.4717355,-1898.96268445
9440.609,10296.1177711,-1815.48307107
10000,10277.9194039,-1736.4790969
10592.537,10259.9877312,-1661.64617153
11220.185,10242.2784018,-1590.77035419
11885.022,10224.7044231,-1523.493796
12589.254,10207.248429,-1459.57233276
13335.214,10189.952709,-1399.01124044
14125.375,10172.7050121,-1341.32268565
14962.357,10155.6861611,-1286.53661191
15848.932,10138.7615414,-1234.3358478
16788.04,10121.9089852,-1184.62083219
17782.794,10105.2873936,-1137.14544506
18836.491,10088.7704014,-1091.9058239
19952.623,10072.463045,-1048.6013989
21134.89,10056.478272,-1007.32623631
22387.211,10040.6333198,-967.85768539
23713.737,10025.1603399,-930.010072614
25118.864,10009.8863482,-893.673455392
26607.251,9995.06871864,-858.895701509
28183.829,9980.53919343,-825.507640048
29853.826,9966.40012234,-793.459390089
31622.777,9952.70977434,-762.67552372
33496.544,9939.38613703,-733.189630719
35481.339,9926.52222657,-704.750378318
37583.74,9914.1211995,-677.572178062
39810.717,9902.10185975,-651.432283783
42169.65,9890.62546144,-626.362113689
44668.359,9879.52288446,-602.360179469
47315.126,9868.93069891,-579.441788304
50118.723,9858.72002331,-557.416981315
53088.444,9848.94304259,-536.359259992
56234.133,9839.6016626,-516.298755151
59566.214,9830.6728542,-497.08419929
63095.734,9822.17567426,-478.774465919
66834.392,9814.04530464,-461.41113324
70794.578,9806.32361962,-444.867294048
74989.421,9798.97467748,-429.159681157
79432.823,9791.9826512,-414.370762968
84139.514,9785.25038457,-400.348385377
89125.094,9778.89503611,-387.127433997
94406.088,9772.95545395,-374.606637877
100000,9767.10664217,-362.966515933
105925.373,9761.64420867,-352.107627033
112201.845,9756.42017508,-341.968929328
118850.223,9751.49118124,-332.552584651
125892.541,9746.77576955,-323.817836948
133352.143,9742.28163921,-315.893703866
141253.754,9737.96763443,-308.629352691
149623.566,9733.93077269,-301.972559663
158489.319,9730.05728716,-296.093508773
167880.402,9726.31639967,-290.927671548
177827.941,9722.78874875,-286.505678142
188364.909,9719.40163185,-282.640718871
199526.231,9716.14576217,-279.576258928
211348.904,9712.98354599,-277.110172856
223872.114,9709.99957595,-275.297699798
237137.371,9707.14788854,-274.26079163
251188.643,9704.36519002,-273.942947134
266072.506,9701.67121545,-274.311035336
281838.293,9699.1378831,-275.439473699
298538.262,9696.60752862,-277.270549274
316227.766,9694.16420344,-279.909481171
334965.439,9691.82472481,-283.282793965
354813.389,9689.50770956,-287.525927403
375837.404,9687.31968421,-292.603608279
398107.171,9685.02558316,-298.450487737
421696.503,9682.77302649,-305.227096134
446683.592,9680.62973008,-312.933063748
473151.259,9678.5024643,-321.446462535
501187.234,9676.38032757,-331.044128383
530884.444,9674.47836981,-341.867430315
562341.325,9672.42124223,-353.585073026
595662.144,9670.23785748,-366.276094486
