4294A REV1.11
"DATE:     15 -100"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	7.867600e+03	0.000000e+00
1.09488900000e+03	7.825368e+03	0.000000e+00
1.19878200000e+03	7.785646e+03	0.000000e+00
1.31253300000e+03	7.747624e+03	0.000000e+00
1.43707800000e+03	7.710263e+03	0.000000e+00
1.57344100000e+03	7.675089e+03	0.000000e+00
1.72274300000e+03	7.640230e+03	0.000000e+00
1.88621200000e+03	7.606479e+03	0.000000e+00
2.06519300000e+03	7.574815e+03	0.000000e+00
2.26115700000e+03	7.541038e+03	0.000000e+00
2.47571600000e+03	7.508603e+03	0.000000e+00
2.71063400000e+03	7.477377e+03	0.000000e+00
2.96784300000e+03	7.446327e+03	0.000000e+00
3.24945900000e+03	7.414236e+03	0.000000e+00
3.55779600000e+03	7.382423e+03	0.000000e+00
3.89539200000e+03	7.349267e+03	0.000000e+00
4.26502200000e+03	7.318276e+03	0.000000e+00
4.66972500000e+03	7.287271e+03	0.000000e+00
5.11283100000e+03	7.256590e+03	0.000000e+00
5.59798200000e+03	7.224675e+03	0.000000e+00
6.12916900000e+03	7.195096e+03	0.000000e+00
6.71075900000e+03	7.166036e+03	0.000000e+00
7.34753600000e+03	7.140363e+03	0.000000e+00
8.04473600000e+03	7.112014e+03	0.000000e+00
8.80809300000e+03	7.087910e+03	0.000000e+00
9.64388400000e+03	7.064700e+03	0.000000e+00
1.05589820000e+04	7.041052e+03	0.000000e+00
1.15609130000e+04	7.019307e+03	0.000000e+00
1.26579160000e+04	7.000353e+03	0.000000e+00
1.38590120000e+04	6.982412e+03	0.000000e+00
1.51740800000e+04	6.966417e+03	0.000000e+00
1.66139320000e+04	6.949386e+03	0.000000e+00
1.81904110000e+04	6.934831e+03	0.000000e+00
1.99164810000e+04	6.921234e+03	0.000000e+00
2.18063350000e+04	6.910262e+03	0.000000e+00
2.38755150000e+04	6.899356e+03	0.000000e+00
2.61410380000e+04	6.888370e+03	0.000000e+00
2.86215340000e+04	6.879054e+03	0.000000e+00
3.13374020000e+04	6.870666e+03	0.000000e+00
3.43109760000e+04	6.863792e+03	0.000000e+00
3.75667090000e+04	6.856440e+03	0.000000e+00
4.11313750000e+04	6.850257e+03	0.000000e+00
4.50342890000e+04	6.845290e+03	0.000000e+00
4.93075460000e+04	6.839212e+03	0.000000e+00
5.39862880000e+04	6.835303e+03	0.000000e+00
5.91089910000e+04	6.831376e+03	0.000000e+00
6.47177820000e+04	6.827629e+03	0.000000e+00
7.08587850000e+04	6.823886e+03	0.000000e+00
7.75825020000e+04	6.820004e+03	0.000000e+00
8.49442250000e+04	6.817573e+03	0.000000e+00
9.30044950000e+04	6.814073e+03	0.000000e+00
1.01829595000e+05	6.812443e+03	0.000000e+00
1.11492100000e+05	6.810073e+03	0.000000e+00
1.22071470000e+05	6.807857e+03	0.000000e+00
1.33654705000e+05	6.805814e+03	0.000000e+00
1.46337062000e+05	6.804318e+03	0.000000e+00
1.60222834000e+05	6.803046e+03	0.000000e+00
1.75426213000e+05	6.801680e+03	0.000000e+00
1.92072225000e+05	6.800329e+03	0.000000e+00
2.10297759000e+05	6.799451e+03	0.000000e+00
2.30252696000e+05	6.797755e+03	0.000000e+00
2.52101136000e+05	6.796515e+03	0.000000e+00
2.76022752000e+05	6.795520e+03	0.000000e+00
3.02214266000e+05	6.793987e+03	0.000000e+00
3.30891064000e+05	6.793053e+03	0.000000e+00
3.62288975000e+05	6.791708e+03	0.000000e+00
3.96666201000e+05	6.790771e+03	0.000000e+00
4.34305446000e+05	6.789209e+03	0.000000e+00
4.75516241000e+05	6.788235e+03	0.000000e+00
5.20637485000e+05	6.787213e+03	0.000000e+00
5.70040237000e+05	6.785558e+03	0.000000e+00
6.24130765000e+05	6.784236e+03	0.000000e+00
6.83353887000e+05	6.782296e+03	0.000000e+00
7.48196631000e+05	6.781155e+03	0.000000e+00
8.19192234000e+05	6.778577e+03	0.000000e+00
8.96924538000e+05	6.777356e+03	0.000000e+00
9.82032779000e+05	6.774087e+03	0.000000e+00
1.07521685300e+06	6.770971e+03	0.000000e+00
1.17724306800e+06	6.766549e+03	0.000000e+00
1.28895044400e+06	6.762812e+03	0.000000e+00
1.41125761800e+06	6.757724e+03	0.000000e+00
1.54517039300e+06	6.752871e+03	0.000000e+00
1.69179001200e+06	6.746737e+03	0.000000e+00
1.85232221600e+06	6.739005e+03	0.000000e+00
2.02808715400e+06	6.730733e+03	0.000000e+00
2.22053024500e+06	6.720594e+03	0.000000e+00
2.43123406200e+06	6.709808e+03	0.000000e+00
2.66193134600e+06	6.696090e+03	0.000000e+00
2.91451925700e+06	6.679857e+03	0.000000e+00
3.19107497300e+06	6.661104e+03	0.000000e+00
3.49387277500e+06	6.639427e+03	0.000000e+00
3.82540274700e+06	6.614016e+03	0.000000e+00
4.18839125400e+06	6.583500e+03	0.000000e+00
4.58582336600e+06	6.547844e+03	0.000000e+00
5.02096740000e+06	6.506500e+03	0.000000e+00
5.49740180000e+06	6.458171e+03	0.000000e+00
