4294A REV1.11
"DATE: May 16 2017"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	8.506977e+03	0.000000e+00
1.09488900000e+03	8.435383e+03	0.000000e+00
1.19878200000e+03	8.369770e+03	0.000000e+00
1.31253300000e+03	8.308305e+03	0.000000e+00
1.43707800000e+03	8.250945e+03	0.000000e+00
1.57344100000e+03	8.198033e+03	0.000000e+00
1.72274300000e+03	8.148995e+03	0.000000e+00
1.88621200000e+03	8.103245e+03	0.000000e+00
2.06519300000e+03	8.059625e+03	0.000000e+00
2.26115700000e+03	8.018991e+03	0.000000e+00
2.47571600000e+03	7.981108e+03	0.000000e+00
2.71063400000e+03	7.944462e+03	0.000000e+00
2.96784300000e+03	7.909744e+03	0.000000e+00
3.24945900000e+03	7.875778e+03	0.000000e+00
3.55779600000e+03	7.844752e+03	0.000000e+00
3.89539200000e+03	7.814550e+03	0.000000e+00
4.26502200000e+03	7.784935e+03	0.000000e+00
4.66972500000e+03	7.755810e+03	0.000000e+00
5.11283100000e+03	7.728128e+03	0.000000e+00
5.59798200000e+03	7.700798e+03	0.000000e+00
6.12916900000e+03	7.672673e+03	0.000000e+00
6.71075900000e+03	7.644466e+03	0.000000e+00
7.34753600000e+03	7.618409e+03	0.000000e+00
8.04473600000e+03	7.593825e+03	0.000000e+00
8.80809300000e+03	7.568380e+03	0.000000e+00
9.64388400000e+03	7.539747e+03	0.000000e+00
1.05589820000e+04	7.515783e+03	0.000000e+00
1.15609130000e+04	7.491997e+03	0.000000e+00
1.26579160000e+04	7.470323e+03	0.000000e+00
1.38590120000e+04	7.446102e+03	0.000000e+00
1.51740800000e+04	7.424277e+03	0.000000e+00
1.66139320000e+04	7.402187e+03	0.000000e+00
1.81904110000e+04	7.382523e+03	0.000000e+00
1.99164810000e+04	7.363130e+03	0.000000e+00
2.18063350000e+04	7.344229e+03	0.000000e+00
2.38755150000e+04	7.328042e+03	0.000000e+00
2.61410380000e+04	7.311670e+03	0.000000e+00
2.86215340000e+04	7.296695e+03	0.000000e+00
3.13374020000e+04	7.283008e+03	0.000000e+00
3.43109760000e+04	7.269735e+03	0.000000e+00
3.75667090000e+04	7.257658e+03	0.000000e+00
4.11313750000e+04	7.246630e+03	0.000000e+00
4.50342890000e+04	7.236676e+03	0.000000e+00
4.93075460000e+04	7.226533e+03	0.000000e+00
5.39862880000e+04	7.218386e+03	0.000000e+00
5.91089910000e+04	7.210373e+03	0.000000e+00
6.47177820000e+04	7.202893e+03	0.000000e+00
7.08587850000e+04	7.195709e+03	0.000000e+00
7.75825020000e+04	7.189244e+03	0.000000e+00
8.49442250000e+04	7.183873e+03	0.000000e+00
9.30044950000e+04	7.178043e+03	0.000000e+00
1.01829595000e+05	7.173661e+03	0.000000e+00
1.11492100000e+05	7.168369e+03	0.000000e+00
1.22071470000e+05	7.163741e+03	0.000000e+00
1.33654705000e+05	7.159851e+03	0.000000e+00
1.46337062000e+05	7.155634e+03	0.000000e+00
1.60222834000e+05	7.151935e+03	0.000000e+00
1.75426213000e+05	7.148419e+03	0.000000e+00
1.92072225000e+05	7.145384e+03	0.000000e+00
2.10297759000e+05	7.141993e+03	0.000000e+00
2.30252696000e+05	7.138884e+03	0.000000e+00
2.52101136000e+05	7.135857e+03	0.000000e+00
2.76022752000e+05	7.133205e+03	0.000000e+00
3.02214266000e+05	7.130538e+03	0.000000e+00
3.30891064000e+05	7.127451e+03	0.000000e+00
3.62288975000e+05	7.124940e+03	0.000000e+00
3.96666201000e+05	7.122261e+03	0.000000e+00
4.34305446000e+05	7.119287e+03	0.000000e+00
4.75516241000e+05	7.116548e+03	0.000000e+00
5.20637485000e+05	7.114201e+03	0.000000e+00
5.70040237000e+05	7.111399e+03	0.000000e+00
6.24130765000e+05	7.108103e+03	0.000000e+00
6.83353887000e+05	7.105432e+03	0.000000e+00
7.48196631000e+05	7.102698e+03	0.000000e+00
8.19192234000e+05	7.099403e+03	0.000000e+00
8.96924538000e+05	7.096083e+03	0.000000e+00
9.82032779000e+05	7.092530e+03	0.000000e+00
1.07521685300e+06	7.088131e+03	0.000000e+00
1.17724306800e+06	7.081650e+03	0.000000e+00
1.28895044400e+06	7.076349e+03	0.000000e+00
1.41125761800e+06	7.070759e+03	0.000000e+00
1.54517039300e+06	7.063835e+03	0.000000e+00
1.69179001200e+06	7.056266e+03	0.000000e+00
1.85232221600e+06	7.047006e+03	0.000000e+00
2.02808715400e+06	7.036860e+03	0.000000e+00
2.22053024500e+06	7.025092e+03	0.000000e+00
2.43123406200e+06	7.011520e+03	0.000000e+00
2.66193134600e+06	6.995926e+03	0.000000e+00
