4294A REV1.11
"DATE:     22 -100"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	8.110520e+03	0.000000e+00
1.09488900000e+03	8.049994e+03	0.000000e+00
1.19878200000e+03	7.993685e+03	0.000000e+00
1.31253300000e+03	7.940786e+03	0.000000e+00
1.43707800000e+03	7.890523e+03	0.000000e+00
1.57344100000e+03	7.844466e+03	0.000000e+00
1.72274300000e+03	7.800684e+03	0.000000e+00
1.88621200000e+03	7.759840e+03	0.000000e+00
2.06519300000e+03	7.722253e+03	0.000000e+00
2.26115700000e+03	7.685261e+03	0.000000e+00
2.47571600000e+03	7.650752e+03	0.000000e+00
2.71063400000e+03	7.617032e+03	0.000000e+00
2.96784300000e+03	7.586488e+03	0.000000e+00
3.24945900000e+03	7.555708e+03	0.000000e+00
3.55779600000e+03	7.525969e+03	0.000000e+00
3.89539200000e+03	7.497049e+03	0.000000e+00
4.26502200000e+03	7.468575e+03	0.000000e+00
4.66972500000e+03	7.439990e+03	0.000000e+00
5.11283100000e+03	7.412576e+03	0.000000e+00
5.59798200000e+03	7.384301e+03	0.000000e+00
6.12916900000e+03	7.357118e+03	0.000000e+00
6.71075900000e+03	7.332306e+03	0.000000e+00
7.34753600000e+03	7.306027e+03	0.000000e+00
8.04473600000e+03	7.281256e+03	0.000000e+00
8.80809300000e+03	7.253836e+03	0.000000e+00
9.64388400000e+03	7.228856e+03	0.000000e+00
1.05589820000e+04	7.204931e+03	0.000000e+00
1.15609130000e+04	7.180389e+03	0.000000e+00
1.26579160000e+04	7.157353e+03	0.000000e+00
1.38590120000e+04	7.135839e+03	0.000000e+00
