4294A REV1.11
"DATE: May 23 2017"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	8.345016e+03	0.000000e+00
1.09488900000e+03	8.291557e+03	0.000000e+00
1.19878200000e+03	8.242277e+03	0.000000e+00
1.31253300000e+03	8.196311e+03	0.000000e+00
1.43707800000e+03	8.152009e+03	0.000000e+00
1.57344100000e+03	8.110759e+03	0.000000e+00
1.72274300000e+03	8.072755e+03	0.000000e+00
1.88621200000e+03	8.036849e+03	0.000000e+00
2.06519300000e+03	8.002218e+03	0.000000e+00
2.26115700000e+03	7.968649e+03	0.000000e+00
2.47571600000e+03	7.937139e+03	0.000000e+00
2.71063400000e+03	7.905538e+03	0.000000e+00
2.96784300000e+03	7.874896e+03	0.000000e+00
3.24945900000e+03	7.844996e+03	0.000000e+00
3.55779600000e+03	7.817144e+03	0.000000e+00
3.89539200000e+03	7.786473e+03	0.000000e+00
4.26502200000e+03	7.758203e+03	0.000000e+00
4.66972500000e+03	7.729567e+03	0.000000e+00
5.11283100000e+03	7.700582e+03	0.000000e+00
5.59798200000e+03	7.671176e+03	0.000000e+00
6.12916900000e+03	7.644006e+03	0.000000e+00
6.71075900000e+03	7.614718e+03	0.000000e+00
7.34753600000e+03	7.587811e+03	0.000000e+00
8.04473600000e+03	7.559681e+03	0.000000e+00
8.80809300000e+03	7.530632e+03	0.000000e+00
9.64388400000e+03	7.503958e+03	0.000000e+00
1.05589820000e+04	7.476340e+03	0.000000e+00
1.15609130000e+04	7.452275e+03	0.000000e+00
1.26579160000e+04	7.426405e+03	0.000000e+00
1.38590120000e+04	7.404041e+03	0.000000e+00
1.51740800000e+04	7.382069e+03	0.000000e+00
1.66139320000e+04	7.359069e+03	0.000000e+00
1.81904110000e+04	7.339924e+03	0.000000e+00
1.99164810000e+04	7.321076e+03	0.000000e+00
2.18063350000e+04	7.303253e+03	0.000000e+00
2.38755150000e+04	7.287221e+03	0.000000e+00
2.61410380000e+04	7.270766e+03	0.000000e+00
2.86215340000e+04	7.257234e+03	0.000000e+00
3.13374020000e+04	7.243844e+03	0.000000e+00
3.43109760000e+04	7.231849e+03	0.000000e+00
3.75667090000e+04	7.220835e+03	0.000000e+00
4.11313750000e+04	7.211112e+03	0.000000e+00
4.50342890000e+04	7.201717e+03	0.000000e+00
4.93075460000e+04	7.193301e+03	0.000000e+00
5.39862880000e+04	7.186048e+03	0.000000e+00
5.91089910000e+04	7.177847e+03	0.000000e+00
6.47177820000e+04	7.172029e+03	0.000000e+00
7.08587850000e+04	7.166378e+03	0.000000e+00
7.75825020000e+04	7.161220e+03	0.000000e+00
8.49442250000e+04	7.155970e+03	0.000000e+00
9.30044950000e+04	7.151207e+03	0.000000e+00
1.01829595000e+05	7.147458e+03	0.000000e+00
1.11492100000e+05	7.143457e+03	0.000000e+00
1.22071470000e+05	7.140379e+03	0.000000e+00
1.33654705000e+05	7.136981e+03	0.000000e+00
1.46337062000e+05	7.134156e+03	0.000000e+00
1.60222834000e+05	7.131755e+03	0.000000e+00
1.75426213000e+05	7.128882e+03	0.000000e+00
1.92072225000e+05	7.126744e+03	0.000000e+00
2.10297759000e+05	7.124955e+03	0.000000e+00
2.30252696000e+05	7.123054e+03	0.000000e+00
2.52101136000e+05	7.120743e+03	0.000000e+00
2.76022752000e+05	7.118647e+03	0.000000e+00
3.02214266000e+05	7.117058e+03	0.000000e+00
3.30891064000e+05	7.115120e+03	0.000000e+00
3.62288975000e+05	7.113360e+03	0.000000e+00
3.96666201000e+05	7.111467e+03	0.000000e+00
4.34305446000e+05	7.110146e+03	0.000000e+00
4.75516241000e+05	7.107729e+03	0.000000e+00
5.20637485000e+05	7.105974e+03	0.000000e+00
5.70040237000e+05	7.104391e+03	0.000000e+00
