4294A REV1.11
"DATE:     34 -100"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	1.392196e+04	0.000000e+00
1.09488900000e+03	1.383010e+04	0.000000e+00
1.19878200000e+03	1.374200e+04	0.000000e+00
1.31253300000e+03	1.365713e+04	0.000000e+00
1.43707800000e+03	1.357476e+04	0.000000e+00
1.57344100000e+03	1.349743e+04	0.000000e+00
1.72274300000e+03	1.342093e+04	0.000000e+00
1.88621200000e+03	1.334713e+04	0.000000e+00
2.06519300000e+03	1.327730e+04	0.000000e+00
2.26115700000e+03	1.320824e+04	0.000000e+00
2.47571600000e+03	1.314198e+04	0.000000e+00
2.71063400000e+03	1.307728e+04	0.000000e+00
2.96784300000e+03	1.301443e+04	0.000000e+00
3.24945900000e+03	1.295406e+04	0.000000e+00
3.55779600000e+03	1.289730e+04	0.000000e+00
3.89539200000e+03	1.283775e+04	0.000000e+00
4.26502200000e+03	1.278295e+04	0.000000e+00
4.66972500000e+03	1.272798e+04	0.000000e+00
5.11283100000e+03	1.267797e+04	0.000000e+00
5.59798200000e+03	1.262841e+04	0.000000e+00
6.12916900000e+03	1.258019e+04	0.000000e+00
6.71075900000e+03	1.253659e+04	0.000000e+00
7.34753600000e+03	1.249090e+04	0.000000e+00
8.04473600000e+03	1.245152e+04	0.000000e+00
8.80809300000e+03	1.241340e+04	0.000000e+00
9.64388400000e+03	1.237386e+04	0.000000e+00
1.05589820000e+04	1.234174e+04	0.000000e+00
1.15609130000e+04	1.230600e+04	0.000000e+00
1.26579160000e+04	1.227667e+04	0.000000e+00
1.38590120000e+04	1.224580e+04	0.000000e+00
1.51740800000e+04	1.222214e+04	0.000000e+00
1.66139320000e+04	1.219496e+04	0.000000e+00
1.81904110000e+04	1.217086e+04	0.000000e+00
1.99164810000e+04	1.214763e+04	0.000000e+00
2.18063350000e+04	1.212722e+04	0.000000e+00
2.38755150000e+04	1.211048e+04	0.000000e+00
2.61410380000e+04	1.209293e+04	0.000000e+00
2.86215340000e+04	1.207793e+04	0.000000e+00
3.13374020000e+04	1.206309e+04	0.000000e+00
3.43109760000e+04	1.205089e+04	0.000000e+00
3.75667090000e+04	1.203932e+04	0.000000e+00
4.11313750000e+04	1.202829e+04	0.000000e+00
4.50342890000e+04	1.201773e+04	0.000000e+00
4.93075460000e+04	1.200846e+04	0.000000e+00
5.39862880000e+04	1.200120e+04	0.000000e+00
5.91089910000e+04	1.199431e+04	0.000000e+00
6.47177820000e+04	1.198788e+04	0.000000e+00
7.08587850000e+04	1.198055e+04	0.000000e+00
7.75825020000e+04	1.197450e+04	0.000000e+00
8.49442250000e+04	1.196763e+04	0.000000e+00
9.30044950000e+04	1.196434e+04	0.000000e+00
1.01829595000e+05	1.196000e+04	0.000000e+00
1.11492100000e+05	1.195557e+04	0.000000e+00
1.22071470000e+05	1.195207e+04	0.000000e+00
1.33654705000e+05	1.194893e+04	0.000000e+00
1.46337062000e+05	1.194531e+04	0.000000e+00
1.60222834000e+05	1.194442e+04	0.000000e+00
1.75426213000e+05	1.193973e+04	0.000000e+00
1.92072225000e+05	1.193844e+04	0.000000e+00
2.10297759000e+05	1.193603e+04	0.000000e+00
2.30252696000e+05	1.193290e+04	0.000000e+00
2.52101136000e+05	1.193093e+04	0.000000e+00
2.76022752000e+05	1.192894e+04	0.000000e+00
3.02214266000e+05	1.192646e+04	0.000000e+00
3.30891064000e+05	1.192281e+04	0.000000e+00
3.62288975000e+05	1.192050e+04	0.000000e+00
