4294A REV1.11
"DATE:     34 -100"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	1.079035e+04	0.000000e+00
1.09488900000e+03	1.072776e+04	0.000000e+00
1.19878200000e+03	1.066755e+04	0.000000e+00
1.31253300000e+03	1.060934e+04	0.000000e+00
1.43707800000e+03	1.055248e+04	0.000000e+00
1.57344100000e+03	1.049830e+04	0.000000e+00
1.72274300000e+03	1.044650e+04	0.000000e+00
1.88621200000e+03	1.039628e+04	0.000000e+00
2.06519300000e+03	1.034757e+04	0.000000e+00
2.26115700000e+03	1.029864e+04	0.000000e+00
2.47571600000e+03	1.025122e+04	0.000000e+00
2.71063400000e+03	1.020555e+04	0.000000e+00
2.96784300000e+03	1.016183e+04	0.000000e+00
3.24945900000e+03	1.011719e+04	0.000000e+00
3.55779600000e+03	1.007599e+04	0.000000e+00
3.89539200000e+03	1.003182e+04	0.000000e+00
4.26502200000e+03	9.990668e+03	0.000000e+00
4.66972500000e+03	9.949994e+03	0.000000e+00
5.11283100000e+03	9.909887e+03	0.000000e+00
5.59798200000e+03	9.871572e+03	0.000000e+00
6.12916900000e+03	9.834387e+03	0.000000e+00
6.71075900000e+03	9.798314e+03	0.000000e+00
7.34753600000e+03	9.765160e+03	0.000000e+00
8.04473600000e+03	9.733627e+03	0.000000e+00
8.80809300000e+03	9.701619e+03	0.000000e+00
9.64388400000e+03	9.671537e+03	0.000000e+00
1.05589820000e+04	9.646365e+03	0.000000e+00
1.15609130000e+04	9.619311e+03	0.000000e+00
1.26579160000e+04	9.593508e+03	0.000000e+00
1.38590120000e+04	9.573006e+03	0.000000e+00
1.51740800000e+04	9.550873e+03	0.000000e+00
1.66139320000e+04	9.532627e+03	0.000000e+00
1.81904110000e+04	9.516373e+03	0.000000e+00
1.99164810000e+04	9.499055e+03	0.000000e+00
2.18063350000e+04	9.486281e+03	0.000000e+00
2.38755150000e+04	9.471391e+03	0.000000e+00
2.61410380000e+04	9.459350e+03	0.000000e+00
2.86215340000e+04	9.448422e+03	0.000000e+00
3.13374020000e+04	9.439053e+03	0.000000e+00
3.43109760000e+04	9.430666e+03	0.000000e+00
3.75667090000e+04	9.423168e+03	0.000000e+00
4.11313750000e+04	9.415912e+03	0.000000e+00
4.50342890000e+04	9.408639e+03	0.000000e+00
4.93075460000e+04	9.403840e+03	0.000000e+00
5.39862880000e+04	9.398191e+03	0.000000e+00
5.91089910000e+04	9.394527e+03	0.000000e+00
6.47177820000e+04	9.389186e+03	0.000000e+00
7.08587850000e+04	9.386152e+03	0.000000e+00
7.75825020000e+04	9.381701e+03	0.000000e+00
8.49442250000e+04	9.379910e+03	0.000000e+00
9.30044950000e+04	9.375639e+03	0.000000e+00
1.01829595000e+05	9.372314e+03	0.000000e+00
1.11492100000e+05	9.369934e+03	0.000000e+00
1.22071470000e+05	9.368918e+03	0.000000e+00
1.33654705000e+05	9.366975e+03	0.000000e+00
1.46337062000e+05	9.364621e+03	0.000000e+00
1.60222834000e+05	9.363170e+03	0.000000e+00
1.75426213000e+05	9.361189e+03	0.000000e+00
1.92072225000e+05	9.360338e+03	0.000000e+00
2.10297759000e+05	9.359047e+03	0.000000e+00
2.30252696000e+05	9.356660e+03	0.000000e+00
2.52101136000e+05	9.354852e+03	0.000000e+00
2.76022752000e+05	9.354521e+03	0.000000e+00
3.02214266000e+05	9.351332e+03	0.000000e+00
3.30891064000e+05	9.350020e+03	0.000000e+00
3.62288975000e+05	9.348508e+03	0.000000e+00
3.96666201000e+05	9.346365e+03	0.000000e+00
4.34305446000e+05	9.344455e+03	0.000000e+00
4.75516241000e+05	9.342350e+03	0.000000e+00
5.20637485000e+05	9.339098e+03	0.000000e+00
5.70040237000e+05	9.336715e+03	0.000000e+00
6.24130765000e+05	9.333555e+03	0.000000e+00
6.83353887000e+05	9.329398e+03	0.000000e+00
7.48196631000e+05	9.325389e+03	0.000000e+00
8.19192234000e+05	9.319820e+03	0.000000e+00
8.96924538000e+05	9.313586e+03	0.000000e+00
9.82032779000e+05	9.307535e+03	0.000000e+00
1.07521685300e+06	9.298354e+03	0.000000e+00
1.17724306800e+06	9.286797e+03	0.000000e+00
1.28895044400e+06	9.275074e+03	0.000000e+00
1.41125761800e+06	9.262070e+03	0.000000e+00
1.54517039300e+06	9.245863e+03	0.000000e+00
1.69179001200e+06	9.228082e+03	0.000000e+00
1.85232221600e+06	9.204912e+03	0.000000e+00
2.02808715400e+06	9.178301e+03	0.000000e+00
2.22053024500e+06	9.147488e+03	0.000000e+00
2.43123406200e+06	9.111758e+03	0.000000e+00
2.66193134600e+06	9.069207e+03	0.000000e+00
2.91451925700e+06	9.019211e+03	0.000000e+00
3.19107497300e+06	8.961559e+03	0.000000e+00
3.49387277500e+06	8.892213e+03	0.000000e+00
3.82540274700e+06	8.811195e+03	0.000000e+00
4.18839125400e+06	8.717301e+03	0.000000e+00
4.58582336600e+06	8.607496e+03	0.000000e+00
5.02096740000e+06	8.480234e+03	0.000000e+00
5.49740180000e+06	8.334977e+03	0.000000e+00
6.01904456800e+06	8.167450e+03	0.000000e+00
6.59018547800e+06	7.977883e+03	0.000000e+00
7.21552135800e+06	7.766047e+03	0.000000e+00
7.90019471200e+06	7.518707e+03	0.000000e+00
8.64983601300e+06	7.237551e+03	0.000000e+00
9.47061000100e+06	6.940560e+03	0.000000e+00
1.03692663830e+07	6.617464e+03	0.000000e+00
1.13531953390e+07	6.271952e+03	0.000000e+00
1.24304882960e+07	5.906246e+03	0.000000e+00
1.36100044660e+07	5.477992e+03	0.000000e+00
1.49014437050e+07	5.089112e+03	0.000000e+00
1.63154262770e+07	4.823854e+03	0.000000e+00
1.78635801920e+07	4.409402e+03	0.000000e+00
1.95586368300e+07	4.022965e+03	0.000000e+00
2.14145356390e+07	3.642170e+03	0.000000e+00
2.34465387640e+07	3.275475e+03	0.000000e+00
2.56713565630e+07	2.926718e+03	0.000000e+00
2.81072850210e+07	2.595922e+03	0.000000e+00
3.07743562090e+07	2.294628e+03	0.000000e+00
3.36945030220e+07	2.021798e+03	0.000000e+00
3.68917395440e+07	1.769723e+03	0.000000e+00
4.03923585320e+07	1.543723e+03	0.000000e+00
4.42251476320e+07	1.339289e+03	0.000000e+00
4.84216261230e+07	1.155478e+03	0.000000e+00
5.30163041160e+07	9.925632e+02	0.000000e+00
5.80469663480e+07	8.435551e+02	0.000000e+00
6.35549829140e+07	7.138486e+02	0.000000e+00
6.95856494710e+07	6.058156e+02	0.000000e+00
7.61885597370e+07	5.086199e+02	0.000000e+00
8.34180133250e+07	4.271597e+02	0.000000e+00
9.13334622820e+07	3.620956e+02	0.000000e+00
1.00000000000e+08	3.103730e+02	0.000000e+00


"TRACE: B"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	-2.782025e+03	0.000000e+00
1.09488900000e+03	-2.605967e+03	0.000000e+00
1.19878200000e+03	-2.446512e+03	0.000000e+00
1.31253300000e+03	-2.297541e+03	0.000000e+00
1.43707800000e+03	-2.160020e+03	0.000000e+00
1.57344100000e+03	-2.032532e+03	0.000000e+00
1.72274300000e+03	-1.915610e+03	0.000000e+00
1.88621200000e+03	-1.806035e+03	0.000000e+00
2.06519300000e+03	-1.704107e+03	0.000000e+00
2.26115700000e+03	-1.612270e+03	0.000000e+00
2.47571600000e+03	-1.524240e+03	0.000000e+00
2.71063400000e+03	-1.443899e+03	0.000000e+00
2.96784300000e+03	-1.368230e+03	0.000000e+00
3.24945900000e+03	-1.297377e+03	0.000000e+00
3.55779600000e+03	-1.231127e+03	0.000000e+00
3.89539200000e+03	-1.169315e+03	0.000000e+00
4.26502200000e+03	-1.110555e+03	0.000000e+00
4.66972500000e+03	-1.056545e+03	0.000000e+00
5.11283100000e+03	-1.003386e+03	0.000000e+00
5.59798200000e+03	-9.538098e+02	0.000000e+00
6.12916900000e+03	-9.047594e+02	0.000000e+00
6.71075900000e+03	-8.609985e+02	0.000000e+00
7.34753600000e+03	-8.131647e+02	0.000000e+00
8.04473600000e+03	-7.687845e+02	0.000000e+00
8.80809300000e+03	-7.273719e+02	0.000000e+00
9.64388400000e+03	-6.902817e+02	0.000000e+00
1.05589820000e+04	-6.508132e+02	0.000000e+00
1.15609130000e+04	-6.136354e+02	0.000000e+00
1.26579160000e+04	-5.804199e+02	0.000000e+00
1.38590120000e+04	-5.451603e+02	0.000000e+00
1.51740800000e+04	-5.128933e+02	0.000000e+00
1.66139320000e+04	-4.811750e+02	0.000000e+00
1.81904110000e+04	-4.520332e+02	0.000000e+00
1.99164810000e+04	-4.248226e+02	0.000000e+00
2.18063350000e+04	-3.988820e+02	0.000000e+00
2.38755150000e+04	-3.727783e+02	0.000000e+00
2.61410380000e+04	-3.516476e+02	0.000000e+00
2.86215340000e+04	-3.297540e+02	0.000000e+00
3.13374020000e+04	-3.083413e+02	0.000000e+00
3.43109760000e+04	-2.901551e+02	0.000000e+00
3.75667090000e+04	-2.725566e+02	0.000000e+00
