4294A REV1.11
"DATE: Jun  4 2017"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	1.596030e+04	0.000000e+00
1.09488900000e+03	1.571767e+04	0.000000e+00
1.19878200000e+03	1.550150e+04	0.000000e+00
1.31253300000e+03	1.530227e+04	0.000000e+00
1.43707800000e+03	1.511643e+04	0.000000e+00
1.57344100000e+03	1.494576e+04	0.000000e+00
1.72274300000e+03	1.479158e+04	0.000000e+00
1.88621200000e+03	1.464279e+04	0.000000e+00
2.06519300000e+03	1.450706e+04	0.000000e+00
2.26115700000e+03	1.438044e+04	0.000000e+00
2.47571600000e+03	1.426349e+04	0.000000e+00
2.71063400000e+03	1.415254e+04	0.000000e+00
2.96784300000e+03	1.405064e+04	0.000000e+00
3.24945900000e+03	1.395502e+04	0.000000e+00
3.55779600000e+03	1.386841e+04	0.000000e+00
3.89539200000e+03	1.378382e+04	0.000000e+00
4.26502200000e+03	1.370603e+04	0.000000e+00
4.66972500000e+03	1.363345e+04	0.000000e+00
5.11283100000e+03	1.356247e+04	0.000000e+00
5.59798200000e+03	1.349672e+04	0.000000e+00
6.12916900000e+03	1.343398e+04	0.000000e+00
6.71075900000e+03	1.337379e+04	0.000000e+00
7.34753600000e+03	1.331700e+04	0.000000e+00
8.04473600000e+03	1.325990e+04	0.000000e+00
8.80809300000e+03	1.320854e+04	0.000000e+00
9.64388400000e+03	1.315732e+04	0.000000e+00
1.05589820000e+04	1.310515e+04	0.000000e+00
1.15609130000e+04	1.305656e+04	0.000000e+00
1.26579160000e+04	1.300798e+04	0.000000e+00
1.38590120000e+04	1.296684e+04	0.000000e+00
1.51740800000e+04	1.291967e+04	0.000000e+00
1.66139320000e+04	1.287630e+04	0.000000e+00
1.81904110000e+04	1.283521e+04	0.000000e+00
1.99164810000e+04	1.279530e+04	0.000000e+00
2.18063350000e+04	1.275395e+04	0.000000e+00
2.38755150000e+04	1.271686e+04	0.000000e+00
2.61410380000e+04	1.267992e+04	0.000000e+00
2.86215340000e+04	1.264608e+04	0.000000e+00
3.13374020000e+04	1.261386e+04	0.000000e+00
3.43109760000e+04	1.258183e+04	0.000000e+00
3.75667090000e+04	1.255324e+04	0.000000e+00
4.11313750000e+04	1.252685e+04	0.000000e+00
4.50342890000e+04	1.250021e+04	0.000000e+00
4.93075460000e+04	1.247645e+04	0.000000e+00
5.39862880000e+04	1.245379e+04	0.000000e+00
5.91089910000e+04	1.243341e+04	0.000000e+00
6.47177820000e+04	1.241439e+04	0.000000e+00
7.08587850000e+04	1.239749e+04	0.000000e+00
7.75825020000e+04	1.238091e+04	0.000000e+00
8.49442250000e+04	1.236570e+04	0.000000e+00
9.30044950000e+04	1.235188e+04	0.000000e+00
1.01829595000e+05	1.233893e+04	0.000000e+00
1.11492100000e+05	1.232768e+04	0.000000e+00
1.22071470000e+05	1.231737e+04	0.000000e+00
1.33654705000e+05	1.230776e+04	0.000000e+00
1.46337062000e+05	1.229870e+04	0.000000e+00
1.60222834000e+05	1.229162e+04	0.000000e+00
1.75426213000e+05	1.228299e+04	0.000000e+00
1.92072225000e+05	1.227556e+04	0.000000e+00
2.10297759000e+05	1.227026e+04	0.000000e+00
2.30252696000e+05	1.226378e+04	0.000000e+00
2.52101136000e+05	1.225800e+04	0.000000e+00
2.76022752000e+05	1.225261e+04	0.000000e+00
3.02214266000e+05	1.224711e+04	0.000000e+00
3.30891064000e+05	1.224242e+04	0.000000e+00
3.62288975000e+05	1.223773e+04	0.000000e+00
3.96666201000e+05	1.223246e+04	0.000000e+00
4.34305446000e+05	1.222762e+04	0.000000e+00
4.75516241000e+05	1.222285e+04	0.000000e+00
5.20637485000e+05	1.221865e+04	0.000000e+00
5.70040237000e+05	1.221318e+04	0.000000e+00
6.24130765000e+05	1.220750e+04	0.000000e+00
6.83353887000e+05	1.220195e+04	0.000000e+00
7.48196631000e+05	1.219639e+04	0.000000e+00
8.19192234000e+05	1.218892e+04	0.000000e+00
8.96924538000e+05	1.218105e+04	0.000000e+00
9.82032779000e+05	1.217252e+04	0.000000e+00
1.07521685300e+06	1.216166e+04	0.000000e+00
1.17724306800e+06	1.214700e+04	0.000000e+00
1.28895044400e+06	1.213485e+04	0.000000e+00
1.41125761800e+06	1.211704e+04	0.000000e+00
1.54517039300e+06	1.209700e+04	0.000000e+00
1.69179001200e+06	1.207305e+04	0.000000e+00
1.85232221600e+06	1.204657e+04	0.000000e+00
2.02808715400e+06	1.201366e+04	0.000000e+00
2.22053024500e+06	1.197672e+04	0.000000e+00
2.43123406200e+06	1.193152e+04	0.000000e+00
2.66193134600e+06	1.187776e+04	0.000000e+00
2.91451925700e+06	1.181556e+04	0.000000e+00
3.19107497300e+06	1.174110e+04	0.000000e+00
3.49387277500e+06	1.165381e+04	0.000000e+00
3.82540274700e+06	1.155211e+04	0.000000e+00
4.18839125400e+06	1.143294e+04	0.000000e+00
4.58582336600e+06	1.129370e+04	0.000000e+00
5.02096740000e+06	1.113178e+04	0.000000e+00
5.49740180000e+06	1.094456e+04	0.000000e+00
6.01904456800e+06	1.072989e+04	0.000000e+00
6.59018547800e+06	1.048462e+04	0.000000e+00
7.21552135800e+06	1.020988e+04	0.000000e+00
7.90019471200e+06	9.899854e+03	0.000000e+00
8.64983601300e+06	9.561568e+03	0.000000e+00
9.47061000100e+06	9.196357e+03	0.000000e+00
1.03692663830e+07	8.720828e+03	0.000000e+00
1.13531953390e+07	8.228117e+03	0.000000e+00
1.24304882960e+07	7.747945e+03	0.000000e+00
1.36100044660e+07	7.243210e+03	0.000000e+00
1.49014437050e+07	6.723983e+03	0.000000e+00
1.63154262770e+07	6.487241e+03	0.000000e+00
1.78635801920e+07	5.973788e+03	0.000000e+00
1.95586368300e+07	5.465985e+03	0.000000e+00
2.14145356390e+07	4.969646e+03	0.000000e+00
2.34465387640e+07	4.493992e+03	0.000000e+00
2.56713565630e+07	4.034763e+03	0.000000e+00
2.81072850210e+07	3.606524e+03	0.000000e+00
3.07743562090e+07	3.209783e+03	0.000000e+00
3.36945030220e+07	2.843292e+03	0.000000e+00
3.68917395440e+07	2.504818e+03	0.000000e+00
4.03923585320e+07	2.195938e+03	0.000000e+00
4.42251476320e+07	1.916084e+03	0.000000e+00
4.84216261230e+07	1.665643e+03	0.000000e+00
5.30163041160e+07	1.442508e+03	0.000000e+00
5.80469663480e+07	1.245407e+03	0.000000e+00
6.35549829140e+07	1.068306e+03	0.000000e+00
6.95856494710e+07	9.121655e+02	0.000000e+00
7.61885597370e+07	7.743982e+02	0.000000e+00
