4294A REV1.11
"DATE: Jun  4 2017"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	1.237981e+04	0.000000e+00
1.09488900000e+03	1.221239e+04	0.000000e+00
1.19878200000e+03	1.205735e+04	0.000000e+00
1.31253300000e+03	1.191427e+04	0.000000e+00
1.43707800000e+03	1.178228e+04	0.000000e+00
1.57344100000e+03	1.166105e+04	0.000000e+00
1.72274300000e+03	1.155221e+04	0.000000e+00
1.88621200000e+03	1.145021e+04	0.000000e+00
2.06519300000e+03	1.135677e+04	0.000000e+00
2.26115700000e+03	1.127032e+04	0.000000e+00
2.47571600000e+03	1.119325e+04	0.000000e+00
2.71063400000e+03	1.111802e+04	0.000000e+00
2.96784300000e+03	1.105170e+04	0.000000e+00
3.24945900000e+03	1.098996e+04	0.000000e+00
3.55779600000e+03	1.093246e+04	0.000000e+00
3.89539200000e+03	1.087952e+04	0.000000e+00
4.26502200000e+03	1.083059e+04	0.000000e+00
4.66972500000e+03	1.078308e+04	0.000000e+00
5.11283100000e+03	1.073881e+04	0.000000e+00
5.59798200000e+03	1.069843e+04	0.000000e+00
6.12916900000e+03	1.065736e+04	0.000000e+00
6.71075900000e+03	1.061904e+04	0.000000e+00
7.34753600000e+03	1.058237e+04	0.000000e+00
8.04473600000e+03	1.054784e+04	0.000000e+00
8.80809300000e+03	1.051166e+04	0.000000e+00
9.64388400000e+03	1.047354e+04	0.000000e+00
1.05589820000e+04	1.043785e+04	0.000000e+00
1.15609130000e+04	1.040699e+04	0.000000e+00
1.26579160000e+04	1.037157e+04	0.000000e+00
