Bottle Number:0
12/20/2017 10:49:19 AM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,11740.1312966,-6756.58455441
1094.889,11662.9533644,-6240.66524594
1198.782,11591.1589589,-5771.1136705
1312.533,11524.8779164,-5339.89784309
1437.078,11463.7583411,-4942.70777577
1573.441,11407.0700809,-4576.49169715
1722.743,11354.4589284,-4239.36618083
1886.212,11305.6510818,-3928.63935375
2065.193,11259.9049653,-3642.50615975
2261.157,11217.1351026,-3379.41249164
2475.716,11176.2382991,-3137.45060552
2710.634,11137.2806928,-2915.36246346
2967.843,11099.9149988,-2711.70302037
3249.459,11063.6682733,-2525.08730438
3557.796,11028.367671,-2353.95381556
3895.392,10993.6873025,-2197.27941471
4265.022,10959.279649,-2053.76946335
4669.725,10924.9595112,-1922.55845827
5112.831,10890.6033162,-1802.13776856
5597.982,10856.0871042,-1691.45334744
6129.169,10821.3723963,-1589.67880185
6710.759,10786.4461621,-1495.97131345
7347.536,10751.3696529,-1409.38846984
8044.736,10716.1123078,-1328.89503375
8808.093,10680.9671739,-1253.78283922
9643.884,10645.9864441,-1183.33750017
10558.982,10611.4707766,-1117.3360466
11560.913,10577.5152243,-1055.10987542
12657.916,10544.4306637,-996.263451687
13859.012,10512.3246775,-940.389119266
15174.08,10481.4047026,-887.302019442
16613.932,10451.8858287,-836.827079102
18190.411,10423.8437512,-788.79647797
19916.481,10397.2578775,-743.133394152
21806.335,10372.2058781,-700.02528951
23875.515,10348.8707667,-659.062749627
26141.038,10326.9675431,-620.408516973
28621.534,10306.6894318,-583.821843293
31337.402,10287.8304807,-549.378909231
34310.976,10270.3858279,-517.03462652
37566.709,10254.2882896,-486.699257206
41131.375,10239.4101972,-458.291377155
45034.289,10225.7462637,-431.91808258
49307.546,10213.1727054,-407.435678909
53986.288,10201.5427546,-384.779802362
59108.991,10190.8395115,-363.947290721
64717.782,10180.9811576,-344.717452447
70858.785,10171.9062457,-327.378524003
77582.502,10163.5904293,-311.572468391
84944.225,10155.9034669,-297.358351375
93004.495,10148.7863849,-284.809098556
101829.595,10142.1628442,-273.842039596
111492.1,10136.0148051,-264.297983545
122071.47,10130.3950086,-256.257216125
133654.705,10125.051812,-249.679514832
146337.062,10120.1259704,-244.60461566
160222.834,10115.5059934,-240.981593438
175426.213,10111.1078841,-238.766921015
192072.225,10107.0170848,-238.038525399
210297.759,10103.0820771,-238.791231402
230252.696,10099.2961634,-241.01284702
252101.136,10095.7579565,-244.805908104
276022.752,10092.2440533,-250.317774634
302214.266,10088.8585181,-257.438887857
330891.064,10085.4783746,-266.384360914
362288.975,10082.2343091,-277.136624593
396666.201,10079.0029117,-290.018558576
434305.446,10075.68389,-304.769724854
475516.241,10072.2936926,-321.878309276
520637.485,10069.1191655,-341.559927784
570040.237,10065.8758472,-363.955085026
624130.765,10062.0933749,-388.825093291
683353.887,10058.0094827,-416.523993457
748196.631,10053.1731842,-447.002650142
819192.234,10047.9712432,-480.688907993
896924.538,10041.8688477,-517.818724134
982032.779,10034.2872685,-559.013816301
1075216.853,10027.1618297,-605.297228147
1177243.068,10017.5433165,-654.934538079
1288950.444,10008.6788266,-710.455923521
1411257.618,9996.84402173,-770.977811899
1545170.393,9981.01710521,-837.915546542
1691790.012,9965.52220004,-908.234438946
1852322.216,9946.40927832,-989.624420935
2028087.154,9926.43782221,-1074.29755139
2220530.245,9906.95611731,-1165.06586096
2431234.062,9875.10266576,-1271.34844929
2661931.346,9838.92295464,-1381.94317912
2914519.257,9797.51753977,-1504.41818518
3191074.973,9751.08318153,-1633.40765445
3493872.775,9697.28753789,-1768.6784589
3825402.747,9626.18326435,-1917.97188262
4188391.254,9552.79009018,-2077.90637641
4585823.366,9462.56665449,-2247.81610325
5020967.4,9359.11144996,-2424.02374303
5497401.8,9238.01276094,-2612.57525485
6019044.568,9100.21958906,-2808.09526135
6590185.478,8940.89469359,-3011.78747629
7215521.358,8760.04673356,-3220.05354737
7900194.712,8552.1371208,-3432.22812489
8649836.013,8314.61392319,-3645.17343814
9470610.001,8057.54487879,-3847.94701958
10369266.383,7762.44987908,-4044.97935395
11353195.339,7443.26385659,-4228.81960922
12430488.296,7098.7616116,-4395.52419449
13610004.466,6725.33783751,-4539.54704725
14901443.705,6335.43417553,-4657.57360823
16315426.277,6104.86006567,-4690.02869583
17863580.192,5693.27851074,-4758.81646596
19558636.83,5280.90626333,-4792.81618345
21414535.639,4843.72856207,-4799.47298091
23446538.764,4425.39037936,-4752.71688493
25671356.563,3992.78293247,-4682.1394174
28107285.021,3613.18064681,-4563.03457385
30774356.209,3221.24401543,-4425.61212767
33694503.022,2873.73543041,-4308.44351834
36891739.544,2508.90790513,-4055.81038743
40392358.532,2241.19026664,-3856.62276578
44225147.632,1988.12947618,-3659.37798793
48421626.123,1747.63600878,-3455.188565
53016304.116,1537.29655714,-3250.93862251
58046966.348,1344.63244165,-3048.25278721
63554982.914,1172.66038636,-2849.10503733
69585649.471,1019.7431901,-2651.72932644
76188559.737,883.271465007,-2461.23913196
83418013.325,762.162498599,-2276.36276278
91333462.282,653.777253818,-2100.09978704
