4294A REV1.11
"DATE: May 30 2017"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	1.149694e+04	0.000000e+00
1.09488900000e+03	1.142401e+04	0.000000e+00
1.19878200000e+03	1.135800e+04	0.000000e+00
1.31253300000e+03	1.129502e+04	0.000000e+00
1.43707800000e+03	1.123504e+04	0.000000e+00
1.57344100000e+03	1.118033e+04	0.000000e+00
1.72274300000e+03	1.112988e+04	0.000000e+00
1.88621200000e+03	1.108115e+04	0.000000e+00
2.06519300000e+03	1.103574e+04	0.000000e+00
2.26115700000e+03	1.099152e+04	0.000000e+00
2.47571600000e+03	1.094935e+04	0.000000e+00
2.71063400000e+03	1.090755e+04	0.000000e+00
2.96784300000e+03	1.086839e+04	0.000000e+00
3.24945900000e+03	1.082916e+04	0.000000e+00
3.55779600000e+03	1.079111e+04	0.000000e+00
3.89539200000e+03	1.075227e+04	0.000000e+00
4.26502200000e+03	1.071430e+04	0.000000e+00
4.66972500000e+03	1.067717e+04	0.000000e+00
5.11283100000e+03	1.063938e+04	0.000000e+00
5.59798200000e+03	1.060229e+04	0.000000e+00
6.12916900000e+03	1.056579e+04	0.000000e+00
6.71075900000e+03	1.052930e+04	0.000000e+00
7.34753600000e+03	1.048967e+04	0.000000e+00
8.04473600000e+03	1.045496e+04	0.000000e+00
8.80809300000e+03	1.041939e+04	0.000000e+00
9.64388400000e+03	1.038474e+04	0.000000e+00
1.05589820000e+04	1.035111e+04	0.000000e+00
1.15609130000e+04	1.031752e+04	0.000000e+00
1.26579160000e+04	1.028717e+04	0.000000e+00
1.38590120000e+04	1.025959e+04	0.000000e+00
1.51740800000e+04	1.023309e+04	0.000000e+00
1.66139320000e+04	1.020515e+04	0.000000e+00
