Bottle Number:0
12/15/2017 3:12:56 PM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,12439.5528888,-6912.1705844
1094.889,12339.3342324,-6401.61929488
1198.782,12245.6427411,-5938.05442119
1312.533,12158.4234881,-5512.0171086
1437.078,12077.3986717,-5118.93908903
1573.441,12001.7903559,-4755.52688573
1722.743,11931.3413315,-4420.05125393
1886.212,11865.400278,-4110.15674392
2065.193,11803.5943589,-3823.6701707
2261.157,11745.2785988,-3559.71298143
2475.716,11689.6786968,-3315.88471662
2710.634,11636.5077438,-3091.48146735
2967.843,11585.4790295,-2884.64334739
3249.459,11536.1620406,-2694.29447781
3557.796,11488.2969487,-2518.86164185
3895.392,11441.5574938,-2357.09412162
4265.022,11395.5915934,-2208.12045479
4669.725,11350.39182,-2070.85679902
5112.831,11305.781903,-1943.7364901
5597.982,11261.7036066,-1825.97759332
6129.169,11218.2262272,-1716.74269627
6710.759,11175.436488,-1615.18123272
7347.536,11133.3702554,-1520.70155637
8044.736,11092.165213,-1432.17978352
8808.093,11051.7726806,-1349.09095682
9643.884,11012.5506753,-1271.03022468
10558.982,10974.5166148,-1197.60033063
11560.913,10937.862683,-1128.43894885
12657.916,10902.5946966,-1063.04573866
13859.012,10868.9936745,-1001.12588853
15174.08,10836.902864,-942.585235901
16613.932,10806.5644014,-887.230250862
18190.411,10777.9394636,-834.841298343
19916.481,10751.0283475,-785.209207987
21806.335,10725.8204227,-738.631095175
23875.515,10702.2204528,-694.681248625
26141.038,10680.2590341,-653.327360916
28621.534,10659.865212,-614.497319919
31337.402,10640.9018596,-578.012220014
34310.976,10623.2142243,-543.94664273
37566.709,10606.941639,-512.160638379
41131.375,10591.8261967,-482.640860661
45034.289,10577.9517044,-455.07601515
49307.546,10565.0099274,-429.692201733
53986.288,10552.9742348,-406.300255438
59108.991,10541.8180887,-384.682370646
64717.782,10531.5535859,-364.946603832
70858.785,10521.9948265,-347.095667909
77582.502,10513.0865383,-330.930933233
84944.225,10504.9601822,-316.500588676
93004.495,10497.2369729,-303.588817923
101829.595,10490.0063633,-292.5103898
111492.1,10483.3495013,-282.84036497
122071.47,10477.0709422,-274.732948065
133654.705,10471.1865626,-268.245378817
146337.062,10465.6630144,-263.279318648
160222.834,10460.4542078,-259.734020498
175426.213,10455.5667208,-257.802506659
192072.225,10450.9007074,-257.381949198
210297.759,10446.3523154,-258.58677757
230252.696,10442.1580567,-261.269550249
252101.136,10438.0883273,-265.774921959
276022.752,10434.0368294,-271.991538769
302214.266,10430.1604916,-279.995268032
330891.064,10426.3468941,-289.929352181
362288.975,10422.6547177,-301.790222533
396666.201,10418.8255634,-316.003118734
434305.446,10414.9106414,-332.438270579
475516.241,10411.0152352,-351.060036814
520637.485,10407.1575012,-372.594902355
570040.237,10403.2537532,-397.033232933
624130.765,10398.7852502,-424.171939377
683353.887,10393.9003025,-454.379948976
748196.631,10388.2053301,-487.629327011
819192.234,10381.9242709,-524.245148972
896924.538,10374.8542949,-564.712461099
982032.779,10365.9270135,-609.376848728
1075216.853,10357.3347897,-659.598584209
1177243.068,10346.099167,-713.322045592
1288950.444,10335.4503124,-773.378861276
1411257.618,10321.5246362,-838.623603193
1545170.393,10304.4064931,-909.914726023
1691790.012,10284.8695012,-988.168902633
1852322.216,10261.9094404,-1072.52529719
2028087.154,10235.9440492,-1164.03751702
2220530.245,10212.4891619,-1264.73954751
2431234.062,10179.5264557,-1371.0191238
2661931.346,10143.2875463,-1499.58524391
2914519.257,10091.4627827,-1626.72794091
3191074.973,10037.7742818,-1759.70500781
3493872.775,9972.26449122,-1908.30293997
3825402.747,9899.73611615,-2069.91880456
4188391.254,9813.66417147,-2237.00308719
4585823.366,9714.26930069,-2414.75740464
5020967.4,9593.70838244,-2602.60285614
5497401.8,9464.32987827,-2801.25102779
6019044.568,9311.39462192,-3005.82380985
6590185.478,9135.14772583,-3215.26228069
7215521.358,8935.84249066,-3434.52912329
7900194.712,8705.08547375,-3645.7571724
8649836.013,8453.03591153,-3863.11429754
9470610.001,8167.37709913,-4068.39700304
10369266.383,7854.00228546,-4266.74776552
11353195.339,7512.44969273,-4446.98758126
12430488.296,7142.58583973,-4608.52418208
13610004.466,6750.91136353,-4740.33472322
14901443.705,6336.34612545,-4846.03292645
16315426.277,6098.67059916,-4873.0744249
17863580.192,5666.74281285,-4925.19172597
19558636.83,5239.44947981,-4943.55831916
21414535.639,4789.5330778,-4933.5785138
23446538.764,4363.70110852,-4866.63063613
25671356.563,3929.41559826,-4781.62306539
28107285.021,3540.01898411,-4641.43694176
30774356.209,3152.09128892,-4488.97322394
33694503.022,2806.27669819,-4356.7815022
36891739.544,2440.90360136,-4090.10925206
40392358.532,2185.82798218,-3882.01989405
44225147.632,1934.71781904,-3678.21532535
48421626.123,1698.2124128,-3465.98814339
53016304.116,1493.43653093,-3256.45837455
58046966.348,1306.38619282,-3049.28859666
63554982.914,1138.77382777,-2847.30844285
69585649.471,991.094971661,-2647.37213137
76188559.737,858.936957923,-2455.39616995
83418013.325,741.02219144,-2269.81252186
91333462.282,635.623285557,-2093.12412843
