4294A REV1.11
"DATE:     63 -100"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	7.071045e+03	0.000000e+00
1.05925400000e+03	7.044009e+03	0.000000e+00
1.12201800000e+03	7.016940e+03	0.000000e+00
1.18850200000e+03	6.991323e+03	0.000000e+00
1.25892500000e+03	6.966053e+03	0.000000e+00
1.33352100000e+03	6.941649e+03	0.000000e+00
1.41253800000e+03	6.917712e+03	0.000000e+00
1.49623600000e+03	6.894258e+03	0.000000e+00
1.58489300000e+03	6.871784e+03	0.000000e+00
1.67880400000e+03	6.849518e+03	0.000000e+00
1.77827900000e+03	6.828099e+03	0.000000e+00
1.88364900000e+03	6.806582e+03	0.000000e+00
1.99526200000e+03	6.786549e+03	0.000000e+00
2.11348900000e+03	6.766090e+03	0.000000e+00
2.23872100000e+03	6.745745e+03	0.000000e+00
2.37137400000e+03	6.725848e+03	0.000000e+00
2.51188600000e+03	6.706621e+03	0.000000e+00
2.66072500000e+03	6.687624e+03	0.000000e+00
2.81838300000e+03	6.669269e+03	0.000000e+00
2.98538300000e+03	6.651742e+03	0.000000e+00
3.16227800000e+03	6.632924e+03	0.000000e+00
3.34965400000e+03	6.616732e+03	0.000000e+00
3.54813400000e+03	6.598896e+03	0.000000e+00
3.75837400000e+03	6.581083e+03	0.000000e+00
3.98107200000e+03	6.563853e+03	0.000000e+00
4.21696500000e+03	6.547245e+03	0.000000e+00
4.46683600000e+03	6.531723e+03	0.000000e+00
4.73151300000e+03	6.515238e+03	0.000000e+00
5.01187200000e+03	6.498512e+03	0.000000e+00
5.30884400000e+03	6.482414e+03	0.000000e+00
5.62341300000e+03	6.467040e+03	0.000000e+00
5.95662100000e+03	6.451667e+03	0.000000e+00
6.30957300000e+03	6.437491e+03	0.000000e+00
6.68343900000e+03	6.422413e+03	0.000000e+00
7.07945800000e+03	6.408278e+03	0.000000e+00
7.49894200000e+03	6.394070e+03	0.000000e+00
7.94328200000e+03	6.378654e+03	0.000000e+00
8.41395100000e+03	6.365709e+03	0.000000e+00
8.91250900000e+03	6.352754e+03	0.000000e+00
9.44060900000e+03	6.338609e+03	0.000000e+00
1.00000000000e+04	6.325384e+03	0.000000e+00
1.05925370000e+04	6.313357e+03	0.000000e+00
1.12201850000e+04	6.301271e+03	0.000000e+00
1.18850220000e+04	6.288969e+03	0.000000e+00
1.25892540000e+04	6.276419e+03	0.000000e+00
1.33352140000e+04	6.265714e+03	0.000000e+00
1.41253750000e+04	6.255438e+03	0.000000e+00
1.49623570000e+04	6.243901e+03	0.000000e+00
1.58489320000e+04	6.233015e+03	0.000000e+00
1.67880400000e+04	6.224383e+03	0.000000e+00
1.77827940000e+04	6.214237e+03	0.000000e+00
1.88364910000e+04	6.205709e+03	0.000000e+00
1.99526230000e+04	6.196099e+03	0.000000e+00
2.11348900000e+04	6.187831e+03	0.000000e+00
2.23872110000e+04	6.180753e+03	0.000000e+00
2.37137370000e+04	6.173436e+03	0.000000e+00
2.51188640000e+04	6.166583e+03	0.000000e+00
2.66072510000e+04	6.158465e+03	0.000000e+00
2.81838290000e+04	6.151959e+03	0.000000e+00
2.98538260000e+04	6.146208e+03	0.000000e+00
3.16227770000e+04	6.140737e+03	0.000000e+00
3.34965440000e+04	6.136314e+03	0.000000e+00
3.54813390000e+04	6.129068e+03	0.000000e+00
3.75837400000e+04	6.124411e+03	0.000000e+00
3.98107170000e+04	6.120157e+03	0.000000e+00
4.21696500000e+04	6.115010e+03	0.000000e+00
4.46683590000e+04	6.111175e+03	0.000000e+00
4.73151260000e+04	6.107654e+03	0.000000e+00
5.01187230000e+04	6.104153e+03	0.000000e+00
5.30884440000e+04	6.100034e+03	0.000000e+00
5.62341330000e+04	6.096833e+03	0.000000e+00
5.95662140000e+04	6.093128e+03	0.000000e+00
6.30957340000e+04	6.090368e+03	0.000000e+00
6.68343920000e+04	6.087852e+03	0.000000e+00
7.07945780000e+04	6.085893e+03	0.000000e+00
7.49894210000e+04	6.082258e+03	0.000000e+00
7.94328230000e+04	6.079473e+03	0.000000e+00
8.41395140000e+04	6.076770e+03	0.000000e+00
8.91250940000e+04	6.074763e+03	0.000000e+00
9.44060880000e+04	6.072898e+03	0.000000e+00
1.00000000000e+05	6.071334e+03	0.000000e+00
1.05925373000e+05	6.068608e+03	0.000000e+00
1.12201845000e+05	6.066510e+03	0.000000e+00
1.18850223000e+05	6.064950e+03	0.000000e+00
1.25892541000e+05	6.063681e+03	0.000000e+00
1.33352143000e+05	6.062062e+03	0.000000e+00
1.41253754000e+05	6.059773e+03	0.000000e+00
1.49623566000e+05	6.058411e+03	0.000000e+00
1.58489319000e+05	6.057167e+03	0.000000e+00
1.67880402000e+05	6.055429e+03	0.000000e+00
1.77827941000e+05	6.054407e+03	0.000000e+00
1.88364909000e+05	6.052971e+03	0.000000e+00
1.99526231000e+05	6.052144e+03	0.000000e+00
2.11348904000e+05	6.050681e+03	0.000000e+00
2.23872114000e+05	6.049012e+03	0.000000e+00
2.37137371000e+05	6.047370e+03	0.000000e+00
2.51188643000e+05	6.046810e+03	0.000000e+00
2.66072506000e+05	6.045330e+03	0.000000e+00
2.81838293000e+05	6.045195e+03	0.000000e+00
2.98538262000e+05	6.043133e+03	0.000000e+00
3.16227766000e+05	6.041624e+03	0.000000e+00
3.34965439000e+05	6.040992e+03	0.000000e+00
3.54813389000e+05	6.039570e+03	0.000000e+00
3.75837404000e+05	6.038177e+03	0.000000e+00
3.98107171000e+05	6.036727e+03	0.000000e+00
4.21696503000e+05	6.035818e+03	0.000000e+00
4.46683592000e+05	6.034877e+03	0.000000e+00
4.73151259000e+05	6.032892e+03	0.000000e+00
5.01187234000e+05	6.031568e+03	0.000000e+00
5.30884444000e+05	6.030885e+03	0.000000e+00
5.62341325000e+05	6.029363e+03	0.000000e+00
5.95662144000e+05	6.027783e+03	0.000000e+00
6.30957344000e+05	6.025969e+03	0.000000e+00
6.68343918000e+05	6.025251e+03	0.000000e+00
7.07945784000e+05	6.023192e+03	0.000000e+00
7.49894209000e+05	6.021740e+03	0.000000e+00
7.94328235000e+05	6.020789e+03	0.000000e+00
8.41395142000e+05	6.018807e+03	0.000000e+00
8.91250938000e+05	6.016728e+03	0.000000e+00
9.44060876000e+05	6.015008e+03	0.000000e+00
1.00000000000e+06	6.013135e+03	0.000000e+00
1.05925372500e+06	6.010408e+03	0.000000e+00
1.12201845400e+06	6.006764e+03	0.000000e+00
1.18850222700e+06	6.004496e+03	0.000000e+00
1.25892541200e+06	6.001742e+03	0.000000e+00
1.33352143200e+06	5.998488e+03	0.000000e+00
1.41253754500e+06	5.995104e+03	0.000000e+00
1.49623565600e+06	5.991854e+03	0.000000e+00
1.58489319200e+06	5.988169e+03	0.000000e+00
1.67880401800e+06	5.984064e+03	0.000000e+00
1.77827941000e+06	5.979232e+03	0.000000e+00
1.88364908900e+06	5.974340e+03	0.000000e+00
1.99526231500e+06	5.968823e+03	0.000000e+00
2.11348904000e+06	5.962895e+03	0.000000e+00
2.23872113900e+06	5.956410e+03	0.000000e+00
2.37137370600e+06	5.949097e+03	0.000000e+00
2.51188643200e+06	5.941604e+03	0.000000e+00
2.66072506000e+06	5.932374e+03	0.000000e+00
2.81838293100e+06	5.922744e+03	0.000000e+00
2.98538261900e+06	5.912338e+03	0.000000e+00
3.16227766000e+06	5.900395e+03	0.000000e+00
3.34965439200e+06	5.887831e+03	0.000000e+00
3.54813389200e+06	5.873890e+03	0.000000e+00
3.75837404300e+06	5.857717e+03	0.000000e+00
3.98107170600e+06	5.840460e+03	0.000000e+00
4.21696503400e+06	5.821568e+03	0.000000e+00
4.46683592200e+06	5.800586e+03	0.000000e+00
4.73151259000e+06	5.777121e+03	0.000000e+00
5.01187233600e+06	5.751221e+03	0.000000e+00
5.30884444200e+06	5.722965e+03	0.000000e+00
5.62341325200e+06	5.691822e+03	0.000000e+00
5.95662143500e+06	5.657599e+03	0.000000e+00
6.30957344500e+06	5.619729e+03	0.000000e+00
6.68343917600e+06	5.578778e+03	0.000000e+00
7.07945784400e+06	5.533750e+03	0.000000e+00
7.49894209300e+06	5.485159e+03	0.000000e+00
7.94328234700e+06	5.431973e+03	0.000000e+00
8.41395141600e+06	5.366948e+03	0.000000e+00
8.91250938100e+06	5.300085e+03	0.000000e+00
