4294A REV1.11
"DATE: Apr 30 2017"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	8.233621e+03	0.000000e+00
1.05925400000e+03	8.180657e+03	0.000000e+00
1.12201800000e+03	8.131334e+03	0.000000e+00
1.18850200000e+03	8.083722e+03	0.000000e+00
1.25892500000e+03	8.039138e+03	0.000000e+00
1.33352100000e+03	7.996444e+03	0.000000e+00
1.41253800000e+03	7.954951e+03	0.000000e+00
1.49623600000e+03	7.916021e+03	0.000000e+00
1.58489300000e+03	7.879402e+03	0.000000e+00
1.67880400000e+03	7.843998e+03	0.000000e+00
1.77827900000e+03	7.810593e+03	0.000000e+00
1.88364900000e+03	7.778147e+03	0.000000e+00
1.99526200000e+03	7.746870e+03	0.000000e+00
2.11348900000e+03	7.716875e+03	0.000000e+00
2.23872100000e+03	7.688521e+03	0.000000e+00
2.37137400000e+03	7.661197e+03	0.000000e+00
2.51188600000e+03	7.634944e+03	0.000000e+00
2.66072500000e+03	7.609811e+03	0.000000e+00
2.81838300000e+03	7.584886e+03	0.000000e+00
2.98538300000e+03	7.561588e+03	0.000000e+00
3.16227800000e+03	7.538934e+03	0.000000e+00
3.34965400000e+03	7.517394e+03	0.000000e+00
3.54813400000e+03	7.495450e+03	0.000000e+00
3.75837400000e+03	7.475562e+03	0.000000e+00
3.98107200000e+03	7.455427e+03	0.000000e+00
4.21696500000e+03	7.435577e+03	0.000000e+00
4.46683600000e+03	7.416332e+03	0.000000e+00
4.73151300000e+03	7.398056e+03	0.000000e+00
5.01187200000e+03	7.379206e+03	0.000000e+00
5.30884400000e+03	7.361720e+03	0.000000e+00
5.62341300000e+03	7.343941e+03	0.000000e+00
5.95662100000e+03	7.326515e+03	0.000000e+00
6.30957300000e+03	7.310520e+03	0.000000e+00
6.68343900000e+03	7.292475e+03	0.000000e+00
7.07945800000e+03	7.274604e+03	0.000000e+00
7.49894200000e+03	7.259197e+03	0.000000e+00
7.94328200000e+03	7.242136e+03	0.000000e+00
8.41395100000e+03	7.225721e+03	0.000000e+00
8.91250900000e+03	7.209027e+03	0.000000e+00
9.44060900000e+03	7.193122e+03	0.000000e+00
1.00000000000e+04	7.177730e+03	0.000000e+00
1.05925370000e+04	7.159603e+03	0.000000e+00
1.12201850000e+04	7.144161e+03	0.000000e+00
1.18850220000e+04	7.127415e+03	0.000000e+00
1.25892540000e+04	7.113219e+03	0.000000e+00
1.33352140000e+04	7.097521e+03	0.000000e+00
1.41253750000e+04	7.082234e+03	0.000000e+00
1.49623570000e+04	7.067400e+03	0.000000e+00
1.58489320000e+04	7.052316e+03	0.000000e+00
1.67880400000e+04	7.038050e+03	0.000000e+00
1.77827940000e+04	7.024292e+03	0.000000e+00
1.88364910000e+04	7.010949e+03	0.000000e+00
1.99526230000e+04	6.996215e+03	0.000000e+00
2.11348900000e+04	6.984241e+03	0.000000e+00
2.23872110000e+04	6.971040e+03	0.000000e+00
2.37137370000e+04	6.959821e+03	0.000000e+00
2.51188640000e+04	6.947891e+03	0.000000e+00
2.66072510000e+04	6.936381e+03	0.000000e+00
2.81838290000e+04	6.925686e+03	0.000000e+00
2.98538260000e+04	6.915184e+03	0.000000e+00
3.16227770000e+04	6.906027e+03	0.000000e+00
3.34965440000e+04	6.896037e+03	0.000000e+00
3.54813390000e+04	6.888087e+03	0.000000e+00
3.75837400000e+04	6.878444e+03	0.000000e+00
3.98107170000e+04	6.870830e+03	0.000000e+00
4.21696500000e+04	6.862778e+03	0.000000e+00
4.46683590000e+04	6.854944e+03	0.000000e+00
4.73151260000e+04	6.848024e+03	0.000000e+00
5.01187230000e+04	6.840865e+03	0.000000e+00
5.30884440000e+04	6.833965e+03	0.000000e+00
5.62341330000e+04	6.828713e+03	0.000000e+00
5.95662140000e+04	6.822168e+03	0.000000e+00
