4294A REV1.11
"DATE: Apr 30 2017"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Real"	"Data Imag"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	8.282766e+03	-6.561043e+03	8.282766e+03	0.000000e+00
1.05925400000e+03	8.228133e+03	-6.227311e+03	8.228133e+03	0.000000e+00
1.12201800000e+03	8.177370e+03	-5.923470e+03	8.177370e+03	0.000000e+00
1.18850200000e+03	8.128783e+03	-5.639372e+03	8.128783e+03	0.000000e+00
1.25892500000e+03	8.083291e+03	-5.371047e+03	8.083291e+03	0.000000e+00
1.33352100000e+03	8.038418e+03	-5.116681e+03	8.038418e+03	0.000000e+00
1.41253800000e+03	7.996435e+03	-4.874041e+03	7.996435e+03	0.000000e+00
1.49623600000e+03	7.956434e+03	-4.643594e+03	7.956434e+03	0.000000e+00
1.58489300000e+03	7.918436e+03	-4.425220e+03	7.918436e+03	0.000000e+00
1.67880400000e+03	7.881929e+03	-4.218111e+03	7.881929e+03	0.000000e+00
1.77827900000e+03	7.847252e+03	-4.020386e+03	7.847252e+03	0.000000e+00
1.88364900000e+03	7.814575e+03	-3.832111e+03	7.814575e+03	0.000000e+00
1.99526200000e+03	7.782112e+03	-3.652836e+03	7.782112e+03	0.000000e+00
2.11348900000e+03	7.751229e+03	-3.482275e+03	7.751229e+03	0.000000e+00
2.23872100000e+03	7.722047e+03	-3.320309e+03	7.722047e+03	0.000000e+00
2.37137400000e+03	7.694735e+03	-3.166065e+03	7.694735e+03	0.000000e+00
2.51188600000e+03	7.667544e+03	-3.018911e+03	7.667544e+03	0.000000e+00
2.66072500000e+03	7.641565e+03	-2.880582e+03	7.641565e+03	0.000000e+00
2.81838300000e+03	7.615527e+03	-2.748485e+03	7.615527e+03	0.000000e+00
2.98538300000e+03	7.591955e+03	-2.622353e+03	7.591955e+03	0.000000e+00
3.16227800000e+03	7.568833e+03	-2.502086e+03	7.568833e+03	0.000000e+00
3.34965400000e+03	7.546015e+03	-2.387615e+03	7.546015e+03	0.000000e+00
3.54813400000e+03	7.524886e+03	-2.279145e+03	7.524886e+03	0.000000e+00
3.75837400000e+03	7.503465e+03	-2.176951e+03	7.503465e+03	0.000000e+00
3.98107200000e+03	7.483284e+03	-2.079930e+03	7.483284e+03	0.000000e+00
4.21696500000e+03	7.462262e+03	-1.987984e+03	7.462262e+03	0.000000e+00
4.46683600000e+03	7.443503e+03	-1.900875e+03	7.443503e+03	0.000000e+00
4.73151300000e+03	7.425170e+03	-1.817153e+03	7.425170e+03	0.000000e+00
5.01187200000e+03	7.406127e+03	-1.738614e+03	7.406127e+03	0.000000e+00
5.30884400000e+03	7.387409e+03	-1.663105e+03	7.387409e+03	0.000000e+00
5.62341300000e+03	7.369301e+03	-1.592950e+03	7.369301e+03	0.000000e+00
5.95662100000e+03	7.352320e+03	-1.525543e+03	7.352320e+03	0.000000e+00
6.30957300000e+03	7.333641e+03	-1.461541e+03	7.333641e+03	0.000000e+00
6.68343900000e+03	7.316813e+03	-1.400610e+03	7.316813e+03	0.000000e+00
7.07945800000e+03	7.300600e+03	-1.344096e+03	7.300600e+03	0.000000e+00
7.49894200000e+03	7.282229e+03	-1.287556e+03	7.282229e+03	0.000000e+00
7.94328200000e+03	7.265941e+03	-1.235988e+03	7.265941e+03	0.000000e+00
8.41395100000e+03	7.249694e+03	-1.186313e+03	7.249694e+03	0.000000e+00
8.91250900000e+03	7.232895e+03	-1.140993e+03	7.232895e+03	0.000000e+00
9.44060900000e+03	7.216655e+03	-1.096999e+03	7.216655e+03	0.000000e+00
1.00000000000e+04	7.200770e+03	-1.051990e+03	7.200770e+03	0.000000e+00
1.05925370000e+04	7.182340e+03	-1.010946e+03	7.182340e+03	0.000000e+00
1.12201850000e+04	7.166862e+03	-9.732588e+02	7.166862e+03	0.000000e+00
1.18850220000e+04	7.150216e+03	-9.375916e+02	7.150216e+03	0.000000e+00
1.25892540000e+04	7.136854e+03	-9.008433e+02	7.136854e+03	0.000000e+00
1.33352140000e+04	7.120342e+03	-8.659863e+02	7.120342e+03	0.000000e+00
1.41253750000e+04	7.105511e+03	-8.338989e+02	7.105511e+03	0.000000e+00
1.49623570000e+04	7.091030e+03	-8.013280e+02	7.091030e+03	0.000000e+00
1.58489320000e+04	7.076425e+03	-7.725970e+02	7.076425e+03	0.000000e+00
1.67880400000e+04	7.061338e+03	-7.417257e+02	7.061338e+03	0.000000e+00
1.77827940000e+04	7.047965e+03	-7.143328e+02	7.047965e+03	0.000000e+00
1.88364910000e+04	7.034853e+03	-6.872273e+02	7.034853e+03	0.000000e+00
1.99526230000e+04	7.020852e+03	-6.615532e+02	7.020852e+03	0.000000e+00
2.11348900000e+04	7.007503e+03	-6.360804e+02	7.007503e+03	0.000000e+00
2.23872110000e+04	6.994684e+03	-6.116401e+02	6.994684e+03	0.000000e+00
2.37137370000e+04	6.983105e+03	-5.889846e+02	6.983105e+03	0.000000e+00
2.51188640000e+04	6.970745e+03	-5.657319e+02	6.970745e+03	0.000000e+00
2.66072510000e+04	6.960024e+03	-5.434514e+02	6.960024e+03	0.000000e+00
2.81838290000e+04	6.949236e+03	-5.218230e+02	6.949236e+03	0.000000e+00
2.98538260000e+04	6.938463e+03	-5.021209e+02	6.938463e+03	0.000000e+00
3.16227770000e+04	6.929172e+03	-4.835273e+02	6.929172e+03	0.000000e+00
3.34965440000e+04	6.919013e+03	-4.646496e+02	6.919013e+03	0.000000e+00
3.54813390000e+04	6.910386e+03	-4.456047e+02	6.910386e+03	0.000000e+00
3.75837400000e+04	6.901622e+03	-4.288903e+02	6.901622e+03	0.000000e+00
3.98107170000e+04	6.893482e+03	-4.125450e+02	6.893482e+03	0.000000e+00
4.21696500000e+04	6.885368e+03	-3.959072e+02	6.885368e+03	0.000000e+00
4.46683590000e+04	6.878267e+03	-3.818753e+02	6.878267e+03	0.000000e+00
4.73151260000e+04	6.870151e+03	-3.664722e+02	6.870151e+03	0.000000e+00
5.01187230000e+04	6.863617e+03	-3.511389e+02	6.863617e+03	0.000000e+00
5.30884440000e+04	6.857785e+03	-3.388990e+02	6.857785e+03	0.000000e+00
5.62341330000e+04	6.850458e+03	-3.264839e+02	6.850458e+03	0.000000e+00
5.95662140000e+04	6.844745e+03	-3.130213e+02	6.844745e+03	0.000000e+00
6.30957340000e+04	6.839547e+03	-3.016053e+02	6.839547e+03	0.000000e+00
6.68343920000e+04	6.833856e+03	-2.909102e+02	6.833856e+03	0.000000e+00
7.07945780000e+04	6.829078e+03	-2.811057e+02	6.829078e+03	0.000000e+00
7.49894210000e+04	6.824206e+03	-2.705405e+02	6.824206e+03	0.000000e+00
7.94328230000e+04	6.819863e+03	-2.606288e+02	6.819863e+03	0.000000e+00
8.41395140000e+04	6.815765e+03	-2.508120e+02	6.815765e+03	0.000000e+00
8.91250940000e+04	6.811471e+03	-2.437849e+02	6.811471e+03	0.000000e+00
9.44060880000e+04	6.807346e+03	-2.349881e+02	6.807346e+03	0.000000e+00
1.00000000000e+05	6.803797e+03	-2.277767e+02	6.803797e+03	0.000000e+00
1.05925373000e+05	6.799573e+03	-2.216085e+02	6.799573e+03	0.000000e+00
1.12201845000e+05	6.796049e+03	-2.157660e+02	6.796049e+03	0.000000e+00
1.18850223000e+05	6.792776e+03	-2.091574e+02	6.792776e+03	0.000000e+00
1.25892541000e+05	6.789504e+03	-2.021938e+02	6.789504e+03	0.000000e+00
1.33352143000e+05	6.786858e+03	-1.984464e+02	6.786858e+03	0.000000e+00
1.41253754000e+05	6.784020e+03	-1.938225e+02	6.784020e+03	0.000000e+00
1.49623566000e+05	6.780954e+03	-1.898347e+02	6.780954e+03	0.000000e+00
1.58489319000e+05	6.778637e+03	-1.858977e+02	6.778637e+03	0.000000e+00
1.67880402000e+05	6.775858e+03	-1.810029e+02	6.775858e+03	0.000000e+00
1.77827941000e+05	6.773275e+03	-1.790756e+02	6.773275e+03	0.000000e+00
1.88364909000e+05	6.770487e+03	-1.750711e+02	6.770487e+03	0.000000e+00
1.99526231000e+05	6.769036e+03	-1.732216e+02	6.769036e+03	0.000000e+00
2.11348904000e+05	6.766640e+03	-1.712893e+02	6.766640e+03	0.000000e+00
2.23872114000e+05	6.764173e+03	-1.703060e+02	6.764173e+03	0.000000e+00
2.37137371000e+05	6.761879e+03	-1.686006e+02	6.761879e+03	0.000000e+00
2.51188643000e+05	6.759552e+03	-1.666034e+02	6.759552e+03	0.000000e+00
2.66072506000e+05	6.757954e+03	-1.676867e+02	6.757954e+03	0.000000e+00
2.81838293000e+05	6.755312e+03	-1.672561e+02	6.755312e+03	0.000000e+00
2.98538262000e+05	6.753816e+03	-1.677155e+02	6.753816e+03	0.000000e+00
3.16227766000e+05	6.751783e+03	-1.688354e+02	6.751783e+03	0.000000e+00
3.34965439000e+05	6.750271e+03	-1.692317e+02	6.750271e+03	0.000000e+00
3.54813389000e+05	6.747790e+03	-1.718085e+02	6.747790e+03	0.000000e+00
3.75837404000e+05	6.746125e+03	-1.733846e+02	6.746125e+03	0.000000e+00
3.98107171000e+05	6.744172e+03	-1.761826e+02	6.744172e+03	0.000000e+00
4.21696503000e+05	6.742153e+03	-1.797589e+02	6.742153e+03	0.000000e+00
4.46683592000e+05	6.740519e+03	-1.828567e+02	6.740519e+03	0.000000e+00
4.73151259000e+05	6.738162e+03	-1.864250e+02	6.738162e+03	0.000000e+00
5.01187234000e+05	6.736702e+03	-1.907511e+02	6.736702e+03	0.000000e+00
5.30884444000e+05	6.734921e+03	-1.950710e+02	6.734921e+03	0.000000e+00
5.62341325000e+05	6.733126e+03	-2.005782e+02	6.733126e+03	0.000000e+00
5.95662144000e+05	6.731086e+03	-2.067243e+02	6.731086e+03	0.000000e+00
6.30957344000e+05	6.729089e+03	-2.130941e+02	6.729089e+03	0.000000e+00
6.68343918000e+05	6.727144e+03	-2.206519e+02	6.727144e+03	0.000000e+00
7.07945784000e+05	6.725377e+03	-2.277934e+02	6.725377e+03	0.000000e+00
7.49894209000e+05	6.723265e+03	-2.353788e+02	6.723265e+03	0.000000e+00
7.94328235000e+05	6.721337e+03	-2.444440e+02	6.721337e+03	0.000000e+00
8.41395142000e+05	6.719701e+03	-2.540125e+02	6.719701e+03	0.000000e+00
8.91250938000e+05	6.717294e+03	-2.651095e+02	6.717294e+03	0.000000e+00
9.44060876000e+05	6.714710e+03	-2.756075e+02	6.714710e+03	0.000000e+00
1.00000000000e+06	6.712576e+03	-2.873892e+02	6.712576e+03	0.000000e+00
1.05925372500e+06	6.710231e+03	-3.008077e+02	6.710231e+03	0.000000e+00
1.12201845400e+06	6.705785e+03	-3.128154e+02	6.705785e+03	0.000000e+00
1.18850222700e+06	6.703259e+03	-3.277151e+02	6.703259e+03	0.000000e+00
1.25892541200e+06	6.699789e+03	-3.426828e+02	6.699789e+03	0.000000e+00
1.33352143200e+06	6.696994e+03	-3.600540e+02	6.696994e+03	0.000000e+00
1.41253754500e+06	6.693522e+03	-3.764553e+02	6.693522e+03	0.000000e+00
1.49623565600e+06	6.689436e+03	-3.947328e+02	6.689436e+03	0.000000e+00
1.58489319200e+06	6.685731e+03	-4.144026e+02	6.685731e+03	0.000000e+00
1.67880401800e+06	6.681625e+03	-4.355673e+02	6.681625e+03	0.000000e+00
1.77827941000e+06	6.677016e+03	-4.570505e+02	6.677016e+03	0.000000e+00
1.88364908900e+06	6.671887e+03	-4.807735e+02	6.671887e+03	0.000000e+00
1.99526231500e+06	6.666535e+03	-5.054894e+02	6.666535e+03	0.000000e+00
2.11348904000e+06	6.660621e+03	-5.314304e+02	6.660621e+03	0.000000e+00
2.23872113900e+06	6.654494e+03	-5.588676e+02	6.654494e+03	0.000000e+00
2.37137370600e+06	6.647389e+03	-5.877109e+02	6.647389e+03	0.000000e+00
2.51188643200e+06	6.639717e+03	-6.187241e+02	6.639717e+03	0.000000e+00
2.66072506000e+06	6.631083e+03	-6.515045e+02	6.631083e+03	0.000000e+00
2.81838293100e+06	6.622316e+03	-6.858793e+02	6.622316e+03	0.000000e+00
2.98538261900e+06	6.612233e+03	-7.221475e+02	6.612233e+03	0.000000e+00
3.16227766000e+06	6.601235e+03	-7.607224e+02	6.601235e+03	0.000000e+00
3.34965439200e+06	6.589042e+03	-8.009882e+02	6.589042e+03	0.000000e+00
3.54813389200e+06	6.576191e+03	-8.432083e+02	6.576191e+03	0.000000e+00
3.75837404300e+06	6.561331e+03	-8.884081e+02	6.561331e+03	0.000000e+00
3.98107170600e+06	6.545257e+03	-9.351100e+02	6.545257e+03	0.000000e+00
4.21696503400e+06	6.527529e+03	-9.846337e+02	6.527529e+03	0.000000e+00
4.46683592200e+06	6.508582e+03	-1.036172e+03	6.508582e+03	0.000000e+00
4.73151259000e+06	6.487150e+03	-1.090978e+03	6.487150e+03	0.000000e+00
5.01187233600e+06	6.463472e+03	-1.147895e+03	6.463472e+03	0.000000e+00
5.30884444200e+06	6.437354e+03	-1.207453e+03	6.437354e+03	0.000000e+00
5.62341325200e+06	6.408923e+03	-1.269588e+03	6.408923e+03	0.000000e+00
5.95662143500e+06	6.377313e+03	-1.334425e+03	6.377313e+03	0.000000e+00
6.30957344500e+06	6.342603e+03	-1.402548e+03	6.342603e+03	0.000000e+00
6.68343917600e+06	6.304525e+03	-1.471382e+03	6.304525e+03	0.000000e+00
7.07945784400e+06	6.262989e+03	-1.543963e+03	6.262989e+03	0.000000e+00
7.49894209300e+06	6.217440e+03	-1.619302e+03	6.217440e+03	0.000000e+00
7.94328234700e+06	6.169277e+03	-1.696860e+03	6.169277e+03	0.000000e+00
8.41395141600e+06	6.117227e+03	-1.777200e+03	6.117227e+03	0.000000e+00
8.91250938100e+06	6.061730e+03	-1.861930e+03	6.061730e+03	0.000000e+00
9.44060876300e+06	6.002844e+03	-1.953180e+03	6.002844e+03	0.000000e+00
