Bottle Number:0
11/15/2017 11:25:44 AM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,8071.37477613,-6452.32752993
1059.254,8024.70598501,-6122.91837142
1122.018,7980.66622362,-5818.7691858
1188.502,7938.95930926,-5533.05559359
1258.925,7899.33922187,-5263.36189807
1333.521,7861.71885251,-5007.87152378
1412.538,7825.84798401,-4765.7180459
1496.236,7791.7170725,-4536.01704582
1584.893,7759.0945863,-4317.65802948
1678.804,7727.9875012,-4110.3798233
1778.279,7698.31008074,-3913.4936953
1883.649,7669.95477854,-3726.33976536
1995.262,7642.92135124,-3548.57134314
2113.489,7617.00109308,-3379.57723129
2238.721,7592.20266042,-3218.89142586
2371.374,7568.35561552,-3066.16936102
2511.886,7545.48772085,-2921.01836839
2660.725,7523.47370275,-2783.13282268
2818.383,7502.2917383,-2652.25949358
2985.383,7481.88511291,-2528.14337189
3162.278,7462.19339856,-2410.24576954
3349.654,7443.18145372,-2298.45828856
3548.134,7424.77783404,-2192.27873082
3758.374,7406.91307091,-2091.51302047
3981.072,7389.543597,-1996.06107545
4216.965,7372.62834399,-1905.5476857
4466.836,7356.06808741,-1819.83835626
4731.513,7339.85807341,-1738.65464548
5011.872,7323.95452004,-1661.69667498
5308.844,7308.28135601,-1588.74964687
5623.413,7292.87615282,-1519.64726298
5956.621,7277.63498313,-1454.1326282
6309.573,7262.51506314,-1392.11204981
6683.439,7247.57118495,-1333.40668008
7079.458,7232.77412437,-1277.83525564
7498.942,7217.99771983,-1225.12214218
7943.282,7203.3374334,-1175.06310484
8413.951,7188.73991615,-1127.5267749
8912.509,7174.14952106,-1082.36429315
9440.609,7159.65727306,-1039.37806201
10000,7145.20775465,-998.500780543
10592.537,7130.79453965,-959.651306345
11220.185,7116.49004319,-922.536014594
11885.022,7102.30146708,-887.125472638
12589.254,7088.21646013,-853.256331224
13335.214,7074.25275243,-820.861858722
14125.375,7060.42958725,-789.75602334
14962.357,7046.80013993,-759.962230355
