Bottle Number:0
11/15/2017 1:34:45 PM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,8114.53928121,-6473.99388573
1059.254,8064.63010116,-6147.03985065
1122.018,8017.29403042,-5844.36101982
1188.502,7972.37647438,-5559.64557379
1258.925,7929.56889808,-5290.56592805
1333.521,7888.8919313,-5035.49926801
1412.538,7850.07561513,-4793.53693184
1496.236,7813.07459826,-4563.86106562
1584.893,7777.66191763,-4345.42889858
1678.804,7743.94361794,-4138.0312736
1778.279,7711.72656566,-3940.90088097
1883.649,7680.95863733,-3753.43770696
1995.262,7651.56324836,-3575.29627151
2113.489,7623.50803537,-3405.86285574
2238.721,7596.61545546,-3244.68373669
2371.374,7570.75695844,-3091.44303974
2511.886,7545.98986797,-2945.76717153
2660.725,7522.20801151,-2807.30072939
2818.383,7499.37406328,-2675.7784374
2985.383,7477.40257309,-2550.98703522
3162.278,7456.25595088,-2432.37280821
3349.654,7435.86705032,-2319.8875284
3548.134,7416.19259238,-2212.99467067
3758.374,7397.09829153,-2111.4961427
3981.072,7378.6676588,-2015.25988547
4216.965,7360.70163139,-1924.0469673
4466.836,7343.16797597,-1837.56389829
4731.513,7326.0744287,-1755.60049629
5011.872,7309.37640207,-1677.84205119
5308.844,7293.01275552,-1604.21878641
5623.413,7276.88679185,-1534.31930647
5956.621,7261.04054685,-1468.1051135
6309.573,7245.36746014,-1405.37353115
6683.439,7229.96401228,-1345.93817621
7079.458,7214.68985805,-1289.65680172
7498.942,7199.54928488,-1236.28336192
7943.282,7184.51811597,-1185.61419674
8413.951,7169.63175948,-1137.42760648
8912.509,7154.76619946,-1091.6486462
9440.609,7140.02690391,-1048.09558969
10000,7125.35628727,-1006.62523068
10592.537,7110.81766608,-967.235338658
11220.185,7096.36628336,-929.643107066
11885.022,7082.01768581,-893.732660502
12589.254,7067.82997823,-859.387439508
13335.214,7053.81788039,-826.529459807
14125.375,7039.94656349,-795.075979735
14962.357,7026.24949557,-764.863013817
15848.932,7012.8023511,-735.829984816
16788.04,6999.54918467,-707.977898199
17782.794,6986.57119788,-681.148654831
18836.491,6973.87805873,-655.336584811
19952.623,6961.50997823,-630.447296448
21134.89,6949.42133835,-606.567071729
22387.211,6937.72204032,-583.51138257
23713.737,6926.35587446,-561.294364929
25118.864,6915.32799323,-539.878753156
26607.251,6904.69851894,-519.225086813
28183.829,6894.45771432,-499.281610476
29853.826,6884.57852898,-480.101713249
31622.777,6875.09823754,-461.595169813
33496.544,6866.01143384,-443.780225131
35481.339,6857.27857086,-426.626820487
37583.74,6848.93785252,-410.166377265
39810.717,6840.98884987,-394.308837139
42169.65,6833.36776016,-379.070944917
44668.359,6826.10728464,-364.479224253
47315.126,6819.15464204,-350.486067673
50118.723,6812.57305616,-337.079448887
53088.444,6806.24396047,-324.260890024
56234.133,6800.23051443,-311.997294329
59566.214,6794.50958835,-300.29237467
