4294A REV1.11
"DATE:     36 -100"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+04	1.029905e+04	0.000000e+00
1.07521690000e+04	1.028155e+04	0.000000e+00
1.15609130000e+04	1.026251e+04	0.000000e+00
1.24304880000e+04	1.024747e+04	0.000000e+00
1.33654710000e+04	1.023047e+04	0.000000e+00
1.43707790000e+04	1.021908e+04	0.000000e+00
1.54517040000e+04	1.020584e+04	0.000000e+00
1.66139320000e+04	1.019169e+04	0.000000e+00
1.78635800000e+04	1.017940e+04	0.000000e+00
1.92072220000e+04	1.017041e+04	0.000000e+00
2.06519290000e+04	1.015922e+04	0.000000e+00
2.22053020000e+04	1.015054e+04	0.000000e+00
2.38755150000e+04	1.014191e+04	0.000000e+00
2.56713570000e+04	1.013405e+04	0.000000e+00
2.76022750000e+04	1.012745e+04	0.000000e+00
2.96784320000e+04	1.011934e+04	0.000000e+00
3.19107500000e+04	1.011586e+04	0.000000e+00
3.43109760000e+04	1.010715e+04	0.000000e+00
3.68917400000e+04	1.010287e+04	0.000000e+00
3.96666200000e+04	1.009930e+04	0.000000e+00
4.26502180000e+04	1.009398e+04	0.000000e+00
4.58582340000e+04	1.008988e+04	0.000000e+00
4.93075460000e+04	1.008658e+04	0.000000e+00
5.30163040000e+04	1.008212e+04	0.000000e+00
5.70040240000e+04	1.007926e+04	0.000000e+00
6.12916870000e+04	1.007659e+04	0.000000e+00
6.59018550000e+04	1.007226e+04	0.000000e+00
7.08587850000e+04	1.007031e+04	0.000000e+00
7.61885600000e+04	1.006823e+04	0.000000e+00
8.19192230000e+04	1.006512e+04	0.000000e+00
8.80809300000e+04	1.006301e+04	0.000000e+00
9.47061000000e+04	1.005935e+04	0.000000e+00
1.01829595000e+05	1.005806e+04	0.000000e+00
1.09488897000e+05	1.005581e+04	0.000000e+00
1.17724307000e+05	1.005426e+04	0.000000e+00
1.26579159000e+05	1.005292e+04	0.000000e+00
1.36100045000e+05	1.005084e+04	0.000000e+00
1.46337062000e+05	1.004883e+04	0.000000e+00
1.57344075000e+05	1.004850e+04	0.000000e+00
1.69179001000e+05	1.004620e+04	0.000000e+00
1.81904113000e+05	1.004525e+04	0.000000e+00
1.95586368000e+05	1.004419e+04	0.000000e+00
2.10297759000e+05	1.004187e+04	0.000000e+00
2.26115695000e+05	1.004078e+04	0.000000e+00
2.43123406000e+05	1.003967e+04	0.000000e+00
2.61410384000e+05	1.003710e+04	0.000000e+00
2.81072850000e+05	1.003746e+04	0.000000e+00
3.02214266000e+05	1.003252e+04	0.000000e+00
3.24945872000e+05	1.003275e+04	0.000000e+00
3.49387277000e+05	1.003132e+04	0.000000e+00
3.75667089000e+05	1.002943e+04	0.000000e+00
4.03923585000e+05	1.002644e+04	0.000000e+00
4.34305446000e+05	1.002420e+04	0.000000e+00
4.66972535000e+05	1.002178e+04	0.000000e+00
5.02096740000e+05	1.001979e+04	0.000000e+00
5.39862877000e+05	1.001618e+04	0.000000e+00
5.80469663000e+05	1.001245e+04	0.000000e+00
6.24130765000e+05	1.000957e+04	0.000000e+00
6.71075917000e+05	1.000495e+04	0.000000e+00
7.21552136000e+05	1.000086e+04	0.000000e+00
7.75825017000e+05	9.995863e+03	0.000000e+00
8.34180133000e+05	9.990203e+03	0.000000e+00
8.96924538000e+05	9.984584e+03	0.000000e+00
9.64388379000e+05	9.976627e+03	0.000000e+00
1.03692663800e+06	9.968600e+03	0.000000e+00
1.11492099700e+06	9.956887e+03	0.000000e+00
1.19878184600e+06	9.945930e+03	0.000000e+00
1.28895044400e+06	9.933611e+03	0.000000e+00
1.38590124000e+06	9.920316e+03	0.000000e+00
1.49014437100e+06	9.904217e+03	0.000000e+00
1.60222834100e+06	9.886090e+03	0.000000e+00
1.72274291500e+06	9.866527e+03	0.000000e+00
1.85232221600e+06	9.843088e+03	0.000000e+00
1.99164806400e+06	9.815344e+03	0.000000e+00
2.14145356400e+06	9.785965e+03	0.000000e+00
2.30252696200e+06	9.752826e+03	0.000000e+00
2.47571579500e+06	9.714209e+03	0.000000e+00
2.66193134600e+06	9.669938e+03	0.000000e+00
2.86215344500e+06	9.619461e+03	0.000000e+00
3.07743562100e+06	9.563266e+03	0.000000e+00
3.30891064400e+06	9.499309e+03	0.000000e+00
3.55779649000e+06	9.426887e+03	0.000000e+00
3.82540274700e+06	9.344578e+03	0.000000e+00
4.11313750300e+06	9.252221e+03	0.000000e+00
4.42251476300e+06	9.148219e+03	0.000000e+00
4.75516240700e+06	9.031828e+03	0.000000e+00
5.11283075900e+06	8.901242e+03	0.000000e+00
5.49740180000e+06	8.757068e+03	0.000000e+00
5.91089906400e+06	8.596078e+03	0.000000e+00
6.35549829100e+06	8.418373e+03	0.000000e+00
6.83353887300e+06	8.226420e+03	0.000000e+00
7.34753616300e+06	8.016425e+03	0.000000e+00
7.90019471200e+06	7.777254e+03	0.000000e+00
8.49442249800e+06	7.513913e+03	0.000000e+00
9.13334622800e+06	7.245038e+03	0.000000e+00
9.82032779100e+06	6.960955e+03	0.000000e+00
1.05589819440e+07	6.658722e+03	0.000000e+00
1.13531953390e+07	6.345626e+03	0.000000e+00
1.22071469660e+07	6.019609e+03	0.000000e+00
1.31253301470e+07	5.630377e+03	0.000000e+00
1.41125761780e+07	5.300651e+03	0.000000e+00
1.51740797490e+07	5.136467e+03	0.000000e+00
1.63154262770e+07	4.763519e+03	0.000000e+00
1.75426213000e+07	4.408654e+03	0.000000e+00
1.88621220710e+07	4.089461e+03	0.000000e+00
2.02808715380e+07	3.772832e+03	0.000000e+00
2.18063348750e+07	3.459481e+03	0.000000e+00
2.34465387640e+07	3.164821e+03	0.000000e+00
2.52101136280e+07	2.884377e+03	0.000000e+00
2.71063390440e+07	2.618376e+03	0.000000e+00
2.91451925680e+07	2.366467e+03	0.000000e+00
3.13374022390e+07	2.136002e+03	0.000000e+00
3.36945030220e+07	1.925891e+03	0.000000e+00
3.62288975090e+07	1.728682e+03	0.000000e+00
3.89539211740e+07	1.547458e+03	0.000000e+00
4.18839125450e+07	1.383357e+03	0.000000e+00
4.50342886450e+07	1.229669e+03	0.000000e+00
4.84216261230e+07	1.091467e+03	0.000000e+00
5.20637484660e+07	9.654609e+02	0.000000e+00
5.59798197910e+07	8.481864e+02	0.000000e+00
6.01904456780e+07	7.400216e+02	0.000000e+00
6.47177815940e+07	6.509779e+02	0.000000e+00
6.95856494710e+07	5.695813e+02	0.000000e+00
7.48196630510e+07	4.942458e+02	0.000000e+00
8.04473626630e+07	4.285945e+02	0.000000e+00
8.64983601300e+07	3.741995e+02	0.000000e+00
9.30044945850e+07	3.295084e+02	0.000000e+00
1.00000000000e+08	2.918593e+02	0.000000e+00


"TRACE: B"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+04	-6.506504e+02	0.000000e+00
1.07521690000e+04	-6.207549e+02	0.000000e+00
1.15609130000e+04	-5.887061e+02	0.000000e+00
1.24304880000e+04	-5.608842e+02	0.000000e+00
1.33654710000e+04	-5.332645e+02	0.000000e+00
1.43707790000e+04	-5.054817e+02	0.000000e+00
1.54517040000e+04	-4.832471e+02	0.000000e+00
1.66139320000e+04	-4.564940e+02	0.000000e+00
1.78635800000e+04	-4.335734e+02	0.000000e+00
1.92072220000e+04	-4.134810e+02	0.000000e+00
2.06519290000e+04	-3.925079e+02	0.000000e+00
2.22053020000e+04	-3.740117e+02	0.000000e+00
2.38755150000e+04	-3.546351e+02	0.000000e+00
2.56713570000e+04	-3.349818e+02	0.000000e+00
2.76022750000e+04	-3.191530e+02	0.000000e+00
2.96784320000e+04	-3.038884e+02	0.000000e+00
3.19107500000e+04	-2.895331e+02	0.000000e+00
3.43109760000e+04	-2.742464e+02	0.000000e+00
3.68917400000e+04	-2.630134e+02	0.000000e+00
3.96666200000e+04	-2.515999e+02	0.000000e+00
4.26502180000e+04	-2.419489e+02	0.000000e+00
4.58582340000e+04	-2.314951e+02	0.000000e+00
4.93075460000e+04	-2.196133e+02	0.000000e+00
5.30163040000e+04	-2.141096e+02	0.000000e+00
5.70040240000e+04	-2.040032e+02	0.000000e+00
6.12916870000e+04	-1.973339e+02	0.000000e+00
6.59018550000e+04	-1.935781e+02	0.000000e+00
7.08587850000e+04	-1.908514e+02	0.000000e+00
7.61885600000e+04	-1.856315e+02	0.000000e+00
8.19192230000e+04	-1.824811e+02	0.000000e+00
8.80809300000e+04	-1.796471e+02	0.000000e+00
9.47061000000e+04	-1.764836e+02	0.000000e+00
1.01829595000e+05	-1.713256e+02	0.000000e+00
1.09488897000e+05	-1.753895e+02	0.000000e+00
1.17724307000e+05	-1.750393e+02	0.000000e+00
1.26579159000e+05	-1.754922e+02	0.000000e+00
1.36100045000e+05	-1.785417e+02	0.000000e+00
1.46337062000e+05	-1.794273e+02	0.000000e+00
1.57344075000e+05	-1.826961e+02	0.000000e+00
1.69179001000e+05	-1.877197e+02	0.000000e+00
1.81904113000e+05	-1.931213e+02	0.000000e+00
1.95586368000e+05	-1.982899e+02	0.000000e+00
2.10297759000e+05	-2.057471e+02	0.000000e+00
2.26115695000e+05	-2.162829e+02	0.000000e+00
2.43123406000e+05	-2.211250e+02	0.000000e+00
2.61410384000e+05	-2.352571e+02	0.000000e+00
2.81072850000e+05	-2.463834e+02	0.000000e+00
3.02214266000e+05	-2.570158e+02	0.000000e+00
3.24945872000e+05	-2.701224e+02	0.000000e+00
3.49387277000e+05	-2.834053e+02	0.000000e+00
3.75667089000e+05	-3.005482e+02	0.000000e+00
4.03923585000e+05	-3.169127e+02	0.000000e+00
4.34305446000e+05	-3.357754e+02	0.000000e+00
4.66972535000e+05	-3.586738e+02	0.000000e+00
5.02096740000e+05	-3.796594e+02	0.000000e+00
5.39862877000e+05	-4.036516e+02	0.000000e+00
5.80469663000e+05	-4.295905e+02	0.000000e+00
6.24130765000e+05	-4.588651e+02	0.000000e+00
6.71075917000e+05	-4.892596e+02	0.000000e+00
7.21552136000e+05	-5.209370e+02	0.000000e+00
7.75825017000e+05	-5.569551e+02	0.000000e+00
8.34180133000e+05	-5.962605e+02	0.000000e+00
8.96924538000e+05	-6.367869e+02	0.000000e+00
9.64388379000e+05	-6.803320e+02	0.000000e+00
1.03692663800e+06	-7.289557e+02	0.000000e+00
1.11492099700e+06	-7.815297e+02	0.000000e+00
1.19878184600e+06	-8.362642e+02	0.000000e+00
1.28895044400e+06	-8.955780e+02	0.000000e+00
1.38590124000e+06	-9.587328e+02	0.000000e+00
1.49014437100e+06	-1.024414e+03	0.000000e+00
1.60222834100e+06	-1.095519e+03	0.000000e+00
1.72274291500e+06	-1.172625e+03	0.000000e+00
1.85232221600e+06	-1.254708e+03	0.000000e+00
1.99164806400e+06	-1.340683e+03	0.000000e+00
2.14145356400e+06	-1.434148e+03	0.000000e+00
2.30252696200e+06	-1.532858e+03	0.000000e+00
2.47571579500e+06	-1.638294e+03	0.000000e+00
2.66193134600e+06	-1.749309e+03	0.000000e+00
2.86215344500e+06	-1.868159e+03	0.000000e+00
3.07743562100e+06	-1.990972e+03	0.000000e+00
3.30891064400e+06	-2.121770e+03	0.000000e+00
3.55779649000e+06	-2.259818e+03	0.000000e+00
3.82540274700e+06	-2.403276e+03	0.000000e+00
4.11313750300e+06	-2.553617e+03	0.000000e+00
4.42251476300e+06	-2.709234e+03	0.000000e+00
4.75516240700e+06	-2.869254e+03	0.000000e+00
5.11283075900e+06	-3.034395e+03	0.000000e+00
5.49740180000e+06	-3.202567e+03	0.000000e+00
5.91089906400e+06	-3.372613e+03	0.000000e+00
6.35549829100e+06	-3.542878e+03	0.000000e+00
6.83353887300e+06	-3.712619e+03	0.000000e+00
7.34753616300e+06	-3.886397e+03	0.000000e+00
7.90019471200e+06	-4.054663e+03	0.000000e+00
