4294A REV1.11
"DATE: Jun  6 2017"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	1.436844e+04	0.000000e+00
1.09488900000e+03	1.423052e+04	0.000000e+00
1.19878200000e+03	1.410270e+04	0.000000e+00
1.31253300000e+03	1.398399e+04	0.000000e+00
1.43707800000e+03	1.387484e+04	0.000000e+00
1.57344100000e+03	1.377368e+04	0.000000e+00
1.72274300000e+03	1.368414e+04	0.000000e+00
1.88621200000e+03	1.360092e+04	0.000000e+00
2.06519300000e+03	1.352232e+04	0.000000e+00
2.26115700000e+03	1.345176e+04	0.000000e+00
2.47571600000e+03	1.338740e+04	0.000000e+00
2.71063400000e+03	1.332666e+04	0.000000e+00
2.96784300000e+03	1.327101e+04	0.000000e+00
3.24945900000e+03	1.321972e+04	0.000000e+00
3.55779600000e+03	1.317214e+04	0.000000e+00
3.89539200000e+03	1.312792e+04	0.000000e+00
4.26502200000e+03	1.308550e+04	0.000000e+00
4.66972500000e+03	1.304689e+04	0.000000e+00
5.11283100000e+03	1.300881e+04	0.000000e+00
5.59798200000e+03	1.297104e+04	0.000000e+00
6.12916900000e+03	1.293793e+04	0.000000e+00
6.71075900000e+03	1.290526e+04	0.000000e+00
7.34753600000e+03	1.287169e+04	0.000000e+00
8.04473600000e+03	1.284009e+04	0.000000e+00
8.80809300000e+03	1.280746e+04	0.000000e+00
9.64388400000e+03	1.277444e+04	0.000000e+00
1.05589820000e+04	1.274368e+04	0.000000e+00
1.15609130000e+04	1.271566e+04	0.000000e+00
1.26579160000e+04	1.268388e+04	0.000000e+00
1.38590120000e+04	1.265488e+04	0.000000e+00
1.51740800000e+04	1.262425e+04	0.000000e+00
1.66139320000e+04	1.259136e+04	0.000000e+00
1.81904110000e+04	1.256479e+04	0.000000e+00
1.99164810000e+04	1.253440e+04	0.000000e+00
2.18063350000e+04	1.250685e+04	0.000000e+00
2.38755150000e+04	1.247925e+04	0.000000e+00
2.61410380000e+04	1.245464e+04	0.000000e+00
2.86215340000e+04	1.243109e+04	0.000000e+00
3.13374020000e+04	1.240887e+04	0.000000e+00
3.43109760000e+04	1.238738e+04	0.000000e+00
3.75667090000e+04	1.236582e+04	0.000000e+00
4.11313750000e+04	1.234666e+04	0.000000e+00
4.50342890000e+04	1.232951e+04	0.000000e+00
4.93075460000e+04	1.231315e+04	0.000000e+00
5.39862880000e+04	1.229822e+04	0.000000e+00
5.91089910000e+04	1.228397e+04	0.000000e+00
6.47177820000e+04	1.227003e+04	0.000000e+00
7.08587850000e+04	1.225978e+04	0.000000e+00
7.75825020000e+04	1.224712e+04	0.000000e+00
8.49442250000e+04	1.223605e+04	0.000000e+00
9.30044950000e+04	1.222711e+04	0.000000e+00
1.01829595000e+05	1.221834e+04	0.000000e+00
1.11492100000e+05	1.221054e+04	0.000000e+00
1.22071470000e+05	1.220206e+04	0.000000e+00
1.33654705000e+05	1.219468e+04	0.000000e+00
1.46337062000e+05	1.218831e+04	0.000000e+00
1.60222834000e+05	1.218201e+04	0.000000e+00
1.75426213000e+05	1.217620e+04	0.000000e+00
1.92072225000e+05	1.217093e+04	0.000000e+00
2.10297759000e+05	1.216550e+04	0.000000e+00
2.30252696000e+05	1.216114e+04	0.000000e+00
2.52101136000e+05	1.215517e+04	0.000000e+00
2.76022752000e+05	1.215085e+04	0.000000e+00
3.02214266000e+05	1.214577e+04	0.000000e+00
3.30891064000e+05	1.214155e+04	0.000000e+00
3.62288975000e+05	1.213653e+04	0.000000e+00
3.96666201000e+05	1.213193e+04	0.000000e+00
4.34305446000e+05	1.212673e+04	0.000000e+00
4.75516241000e+05	1.212079e+04	0.000000e+00
5.20637485000e+05	1.211670e+04	0.000000e+00
5.70040237000e+05	1.211002e+04	0.000000e+00
6.24130765000e+05	1.210487e+04	0.000000e+00
6.83353887000e+05	1.209714e+04	0.000000e+00
7.48196631000e+05	1.209091e+04	0.000000e+00
8.19192234000e+05	1.208334e+04	0.000000e+00
8.96924538000e+05	1.207454e+04	0.000000e+00
9.82032779000e+05	1.206395e+04	0.000000e+00
1.07521685300e+06	1.205284e+04	0.000000e+00
1.17724306800e+06	1.203563e+04	0.000000e+00
1.28895044400e+06	1.201962e+04	0.000000e+00
1.41125761800e+06	1.200180e+04	0.000000e+00
1.54517039300e+06	1.197952e+04	0.000000e+00
1.69179001200e+06	1.195550e+04	0.000000e+00
1.85232221600e+06	1.192582e+04	0.000000e+00
2.02808715400e+06	1.189063e+04	0.000000e+00
2.22053024500e+06	1.185179e+04	0.000000e+00
2.43123406200e+06	1.180595e+04	0.000000e+00
2.66193134600e+06	1.175076e+04	0.000000e+00
2.91451925700e+06	1.168674e+04	0.000000e+00
3.19107497300e+06	1.161159e+04	0.000000e+00
3.49387277500e+06	1.152431e+04	0.000000e+00
3.82540274700e+06	1.142151e+04	0.000000e+00
4.18839125400e+06	1.130309e+04	0.000000e+00
4.58582336600e+06	1.116565e+04	0.000000e+00
5.02096740000e+06	1.100677e+04	0.000000e+00
5.49740180000e+06	1.082229e+04	0.000000e+00
6.01904456800e+06	1.061256e+04	0.000000e+00
6.59018547800e+06	1.037539e+04	0.000000e+00
7.21552135800e+06	1.010991e+04	0.000000e+00
7.90019471200e+06	9.807355e+03	0.000000e+00
8.64983601300e+06	9.481379e+03	0.000000e+00
9.47061000100e+06	9.132844e+03	0.000000e+00
1.03692663830e+07	8.629510e+03	0.000000e+00
1.13531953390e+07	8.181328e+03	0.000000e+00
1.24304882960e+07	7.709731e+03	0.000000e+00
1.36100044660e+07	7.217960e+03	0.000000e+00
1.49014437050e+07	6.707819e+03	0.000000e+00
1.63154262770e+07	6.474831e+03	0.000000e+00
1.78635801920e+07	5.969896e+03	0.000000e+00
1.95586368300e+07	5.467894e+03	0.000000e+00
2.14145356390e+07	4.979696e+03	0.000000e+00
2.34465387640e+07	4.503635e+03	0.000000e+00
2.56713565630e+07	4.050204e+03	0.000000e+00
2.81072850210e+07	3.629663e+03	0.000000e+00
3.07743562090e+07	3.229179e+03	0.000000e+00
3.36945030220e+07	2.863000e+03	0.000000e+00
3.68917395440e+07	2.526044e+03	0.000000e+00
4.03923585320e+07	2.215607e+03	0.000000e+00
4.42251476320e+07	1.935803e+03	0.000000e+00
4.84216261230e+07	1.684706e+03	0.000000e+00
5.30163041160e+07	1.459298e+03	0.000000e+00
5.80469663480e+07	1.260534e+03	0.000000e+00
6.35549829140e+07	1.083139e+03	0.000000e+00
6.95856494710e+07	9.249556e+02	0.000000e+00
7.61885597370e+07	7.859099e+02	0.000000e+00
8.34180133250e+07	6.640404e+02	0.000000e+00
9.13334622820e+07	5.584365e+02	0.000000e+00
1.00000000000e+08	4.645669e+02	0.000000e+00


"TRACE: B"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	-1.373462e+04	0.000000e+00
1.09488900000e+03	-1.264202e+04	0.000000e+00
1.19878200000e+03	-1.166154e+04	0.000000e+00
1.31253300000e+03	-1.076573e+04	0.000000e+00
1.43707800000e+03	-9.940367e+03	0.000000e+00
1.57344100000e+03	-9.181906e+03	0.000000e+00
1.72274300000e+03	-8.478309e+03	0.000000e+00
1.88621200000e+03	-7.830852e+03	0.000000e+00
2.06519300000e+03	-7.230715e+03	0.000000e+00
2.26115700000e+03	-6.679170e+03	0.000000e+00
2.47571600000e+03	-6.169871e+03	0.000000e+00
2.71063400000e+03	-5.699792e+03	0.000000e+00
2.96784300000e+03	-5.265011e+03	0.000000e+00
3.24945900000e+03	-4.861395e+03	0.000000e+00
3.55779600000e+03	-4.493949e+03	0.000000e+00
3.89539200000e+03	-4.153960e+03	0.000000e+00
4.26502200000e+03	-3.844578e+03	0.000000e+00
4.66972500000e+03	-3.556589e+03	0.000000e+00
5.11283100000e+03	-3.295091e+03	0.000000e+00
5.59798200000e+03	-3.051575e+03	0.000000e+00
6.12916900000e+03	-2.828358e+03	0.000000e+00
6.71075900000e+03	-2.625708e+03	0.000000e+00
7.34753600000e+03	-2.439646e+03	0.000000e+00
8.04473600000e+03	-2.268910e+03	0.000000e+00
8.80809300000e+03	-2.113890e+03	0.000000e+00
9.64388400000e+03	-1.968625e+03	0.000000e+00
1.05589820000e+04	-1.834442e+03	0.000000e+00
1.15609130000e+04	-1.711863e+03	0.000000e+00
1.26579160000e+04	-1.599600e+03	0.000000e+00
1.38590120000e+04	-1.497256e+03	0.000000e+00
1.51740800000e+04	-1.400160e+03	0.000000e+00
1.66139320000e+04	-1.316374e+03	0.000000e+00
1.81904110000e+04	-1.230366e+03	0.000000e+00
1.99164810000e+04	-1.154379e+03	0.000000e+00
2.18063350000e+04	-1.081182e+03	0.000000e+00
2.38755150000e+04	-1.015395e+03	0.000000e+00
2.61410380000e+04	-9.507161e+02	0.000000e+00
2.86215340000e+04	-8.921157e+02	0.000000e+00
3.13374020000e+04	-8.396379e+02	0.000000e+00
3.43109760000e+04	-7.881274e+02	0.000000e+00
3.75667090000e+04	-7.394314e+02	0.000000e+00
4.11313750000e+04	-6.961797e+02	0.000000e+00
4.50342890000e+04	-6.544414e+02	0.000000e+00
4.93075460000e+04	-6.141855e+02	0.000000e+00
5.39862880000e+04	-5.799592e+02	0.000000e+00
5.91089910000e+04	-5.470623e+02	0.000000e+00
6.47177820000e+04	-5.195947e+02	0.000000e+00
7.08587850000e+04	-4.889504e+02	0.000000e+00
7.75825020000e+04	-4.665200e+02	0.000000e+00
8.49442250000e+04	-4.414583e+02	0.000000e+00
9.30044950000e+04	-4.244971e+02	0.000000e+00
1.01829595000e+05	-4.052616e+02	0.000000e+00
1.11492100000e+05	-3.939949e+02	0.000000e+00
1.22071470000e+05	-3.771426e+02	0.000000e+00
1.33654705000e+05	-3.667434e+02	0.000000e+00
1.46337062000e+05	-3.601167e+02	0.000000e+00
1.60222834000e+05	-3.523558e+02	0.000000e+00
1.75426213000e+05	-3.472035e+02	0.000000e+00
1.92072225000e+05	-3.457302e+02	0.000000e+00
2.10297759000e+05	-3.460680e+02	0.000000e+00
2.30252696000e+05	-3.490815e+02	0.000000e+00
2.52101136000e+05	-3.518307e+02	0.000000e+00
2.76022752000e+05	-3.619933e+02	0.000000e+00
3.02214266000e+05	-3.697841e+02	0.000000e+00
3.30891064000e+05	-3.794091e+02	0.000000e+00
3.62288975000e+05	-3.943090e+02	0.000000e+00
3.96666201000e+05	-4.128779e+02	0.000000e+00
4.34305446000e+05	-4.326030e+02	0.000000e+00
4.75516241000e+05	-4.583834e+02	0.000000e+00
5.20637485000e+05	-4.814640e+02	0.000000e+00
5.70040237000e+05	-5.127015e+02	0.000000e+00
6.24130765000e+05	-5.473206e+02	0.000000e+00
6.83353887000e+05	-5.873772e+02	0.000000e+00
7.48196631000e+05	-6.271743e+02	0.000000e+00
8.19192234000e+05	-6.752834e+02	0.000000e+00
8.96924538000e+05	-7.288469e+02	0.000000e+00
9.82032779000e+05	-7.859546e+02	0.000000e+00
1.07521685300e+06	-8.505815e+02	0.000000e+00
1.17724306800e+06	-9.191089e+02	0.000000e+00
1.28895044400e+06	-9.967471e+02	0.000000e+00
1.41125761800e+06	-1.081038e+03	0.000000e+00
1.54517039300e+06	-1.170365e+03	0.000000e+00
1.69179001200e+06	-1.270818e+03	0.000000e+00
1.85232221600e+06	-1.380628e+03	0.000000e+00
2.02808715400e+06	-1.497904e+03	0.000000e+00
2.22053024500e+06	-1.627746e+03	0.000000e+00
2.43123406200e+06	-1.766688e+03	0.000000e+00
2.66193134600e+06	-1.916269e+03	0.000000e+00
2.91451925700e+06	-2.078564e+03	0.000000e+00
3.19107497300e+06	-2.252166e+03	0.000000e+00
3.49387277500e+06	-2.439367e+03	0.000000e+00
3.82540274700e+06	-2.637264e+03	0.000000e+00
4.18839125400e+06	-2.848097e+03	0.000000e+00
4.58582336600e+06	-3.069420e+03	0.000000e+00
5.02096740000e+06	-3.301435e+03	0.000000e+00
5.49740180000e+06	-3.542435e+03	0.000000e+00
6.01904456800e+06	-3.789806e+03	0.000000e+00
6.59018547800e+06	-4.040969e+03	0.000000e+00
7.21552135800e+06	-4.295972e+03	0.000000e+00
7.90019471200e+06	-4.545370e+03	0.000000e+00
8.64983601300e+06	-4.791651e+03	0.000000e+00
9.47061000100e+06	-5.048658e+03	0.000000e+00
1.03692663830e+07	-5.299140e+03	0.000000e+00
1.13531953390e+07	-5.438402e+03	0.000000e+00
1.24304882960e+07	-5.567604e+03	0.000000e+00
1.36100044660e+07	-5.666451e+03	0.000000e+00
1.49014437050e+07	-5.727854e+03	0.000000e+00
1.63154262770e+07	-5.777496e+03	0.000000e+00
1.78635801920e+07	-5.778293e+03	0.000000e+00
1.95586368300e+07	-5.736561e+03	0.000000e+00
2.14145356390e+07	-5.650505e+03	0.000000e+00
2.34465387640e+07	-5.532622e+03	0.000000e+00
2.56713565630e+07	-5.385963e+03	0.000000e+00
2.81072850210e+07	-5.204890e+03	0.000000e+00
3.07743562090e+07	-5.006087e+03	0.000000e+00
3.36945030220e+07	-4.790188e+03	0.000000e+00
3.68917395440e+07	-4.562127e+03	0.000000e+00
4.03923585320e+07	-4.326916e+03	0.000000e+00
4.42251476320e+07	-4.086123e+03	0.000000e+00
4.84216261230e+07	-3.841112e+03	0.000000e+00
5.30163041160e+07	-3.598488e+03	0.000000e+00
5.80469663480e+07	-3.357636e+03	0.000000e+00
6.35549829140e+07	-3.123246e+03	0.000000e+00
6.95856494710e+07	-2.897265e+03	0.000000e+00
7.61885597370e+07	-2.677730e+03	0.000000e+00
8.34180133250e+07	-2.464838e+03	0.000000e+00
9.13334622820e+07	-2.263921e+03	0.000000e+00
1.00000000000e+08	-2.072938e+03	0.000000e+00
