Bottle Number:0
12/22/2017 12:22:10 PM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,11152.3458454,-2823.97091217
1094.889,11085.5931777,-2649.81329616
1198.782,11021.8459143,-2489.19490283
1312.533,10960.5706063,-2340.64068857
1437.078,10901.6120297,-2202.96114902
1573.441,10844.5125504,-2075.46447292
1722.743,10789.3777318,-1957.41780136
1886.212,10735.9090807,-1847.65191304
2065.193,10683.8771996,-1745.84822056
2261.157,10633.2911086,-1651.20332787
2475.716,10583.6853806,-1562.9431584
2710.634,10535.1598017,-1480.65569191
2967.843,10487.7411049,-1403.78869957
3249.459,10441.2786894,-1331.77877876
3557.796,10395.930396,-1263.99941764
3895.392,10351.5793245,-1199.98782114
4265.022,10308.3072447,-1139.40401738
4669.725,10266.2182353,-1082.05451933
5112.831,10225.3346475,-1027.32747005
5597.982,10185.794838,-974.977184192
6129.169,10147.6424768,-924.821619182
6710.759,10111.1034494,-876.895111215
7347.536,10076.1844155,-830.990447404
8044.736,10042.9412006,-786.816838799
8808.093,10011.3564998,-744.213446113
9643.884,9981.54607657,-703.309250272
10558.982,9953.5738937,-664.103423429
11560.913,9927.32243485,-626.570146259
12657.916,9902.86577617,-590.628393136
13859.012,9880.08541855,-556.235349808
15174.08,9858.97075313,-523.349105386
16613.932,9839.41123412,-492.064999063
18190.411,9821.41260886,-462.314270014
19916.481,9804.88652891,-434.090356881
21806.335,9789.70422411,-407.523062282
23875.515,9775.86765893,-382.439420044
26141.038,9763.1748441,-358.835930135
28621.534,9751.68150332,-336.654024338
31337.402,9741.183394,-315.891167367
34310.976,9731.78412108,-296.513421529
37566.709,9723.20504178,-278.486414706
41131.375,9715.50800657,-261.813347283
45034.289,9708.59561055,-246.480007183
49307.546,9702.34481354,-232.346880574
53986.288,9696.6719286,-219.485104983
59108.991,9691.59707526,-207.930841217
64717.782,9687.01261062,-197.465326337
70858.785,9682.98872254,-188.254455482
77582.502,9679.32565613,-180.109518476
84944.225,9676.06756361,-173.212920508
93004.495,9673.07407594,-167.293567243
101829.595,9670.34487228,-162.699991602
111492.1,9667.85686064,-159.004703087
122071.47,9665.63478074,-156.596554437
133654.705,9663.61999102,-155.105822219
146337.062,9661.66803966,-154.740747543
160222.834,9659.94785213,-155.509849676
175426.213,9658.2249232,-157.37342066
192072.225,9656.65505861,-160.416990842
210297.759,9655.05738386,-164.568377873
230252.696,9653.52359016,-169.786803545
252101.136,9651.9968122,-176.49605631
276022.752,9650.51178212,-184.405423552
302214.266,9648.93635408,-193.783205006
330891.064,9647.31805383,-204.548614201
362288.975,9645.72035297,-216.965267519
396666.201,9643.9997572,-231.082941681
434305.446,9641.98064017,-246.956789507
475516.241,9640.11465758,-264.662358345
520637.485,9638.12114311,-284.699038802
570040.237,9636.08377576,-307.085020665
624130.765,9633.51187689,-331.618405998
683353.887,9630.53713473,-358.612558587
748196.631,9626.78283003,-388.160102258
819192.234,9622.63881047,-420.400826586
896924.538,9617.66145516,-455.751127689
982032.779,9611.27530389,-494.896669718
1075216.853,9605.12762346,-538.440644698
1177243.068,9596.92191301,-585.043803909
1288950.444,9589.20837193,-636.84633534
1411257.618,9578.72576765,-693.149178547
1545170.393,9566.70845535,-753.002858091
1691790.012,9548.88369917,-819.261971864
1852322.216,9532.6512493,-892.476476763
2028087.154,9518.39791906,-973.052354873
2220530.245,9494.9611549,-1058.34012902
2431234.062,9470.42360374,-1152.4555328
2661931.346,9438.4751306,-1256.19625874
2914519.257,9401.92545142,-1369.93532669
3191074.973,9361.79285942,-1484.81514671
3493872.775,9310.61479938,-1614.54745712
3825402.747,9249.8451747,-1750.24805118
4188391.254,9187.75093684,-1898.66034068
4585823.366,9106.13357197,-2054.85674427
5020967.4,9016.70657345,-2217.4802867
5497401.8,8912.65160164,-2393.90900137
6019044.568,8789.000806,-2576.38771192
6590185.478,8643.72792349,-2766.64480999
7215521.358,8484.82922154,-2962.42167603
7900194.712,8300.01530831,-3166.30458171
8649836.013,8090.67114424,-3365.20926692
9470610.001,7857.44458769,-3567.3461572
10369266.383,7592.24127802,-3759.18737154
11353195.339,7305.4042404,-3939.69400675
12430488.296,6986.35280526,-4109.84833383
13610004.466,6645.76031242,-4258.83537947
14901443.705,6279.54705567,-4387.2634726
16315426.277,6066.87034587,-4424.58642087
17863580.192,5677.04343383,-4506.69420572
19558636.83,5285.03775292,-4550.18672201
21414535.639,4886.38179061,-4568.42736817
23446538.764,4487.04144621,-4555.90104741
25671356.563,4086.79858088,-4529.76620669
28107285.021,3687.82496649,-4451.89917684
30774356.209,3258.13207953,-4307.72296782
33694503.022,2949.53853401,-4147.72866659
36891739.544,2600.51510035,-4003.87116694
40392358.532,2314.87535354,-3791.45000147
44225147.632,2058.19987358,-3606.35602408
48421626.123,1815.71046143,-3413.52896733
53016304.116,1599.65933586,-3218.13299762
58046966.348,1403.96128482,-3023.78658497
63554982.914,1227.42426306,-2831.87520418
69585649.471,1067.89199258,-2640.80375385
76188559.737,927.090068274,-2453.54944413
83418013.325,801.213180551,-2273.44136056
91333462.282,688.495723601,-2097.90549557
