Bottle Number:0
01/06/2018 11:10:15 AM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,33904.2982373,-13143.1270085
1094.889,33699.3438871,-12206.8985703
1198.782,33506.2905692,-11350.2882331
1312.533,33324.288153,-10561.2041564
1437.078,33151.7897115,-9831.77816741
1573.441,32986.9383219,-9158.04480687
1722.743,32829.6058881,-8536.81315838
1886.212,32679.2778384,-7960.46436851
2065.193,32534.5761859,-7428.60431021
2261.157,32396.4923562,-6936.65611398
2475.716,32261.7194629,-6480.91736287
2710.634,32131.7248795,-6059.42561037
2967.843,32005.8873355,-5669.48467425
3249.459,31883.7335232,-5307.88832045
3557.796,31766.0053642,-4971.93451914
3895.392,31651.0088598,-4660.10800026
4265.022,31540.5590481,-4369.75159735
4669.725,31433.3570258,-4100.09394038
5112.831,31329.3148888,-3848.30774184
5597.982,31229.4157022,-3612.92043531
6129.169,31133.3119054,-3393.09699377
6710.759,31040.9223954,-3187.57544161
7347.536,30952.6518833,-2995.67476336
8044.736,30868.4422986,-2815.00296826
8808.093,30788.7255791,-2645.86935467
9643.884,30712.2593356,-2486.82435316
10558.982,30640.3717629,-2338.61112548
11560.913,30571.7736056,-2199.23672805
12657.916,30507.96091,-2068.0403503
13859.012,30447.3201533,-1946.67403857
15174.08,30391.0210619,-1832.09348489
16613.932,30338.2067453,-1725.14704974
18190.411,30288.5277956,-1625.92929217
19916.481,30242.5487097,-1533.46461471
21806.335,30199.6850176,-1447.19158189
23875.515,30160.132946,-1368.93021229
26141.038,30122.5231394,-1295.63066059
28621.534,30088.5131326,-1229.16708395
31337.402,30056.7286378,-1168.04720127
34310.976,30027.0780507,-1112.98411748
37566.709,29999.9222236,-1063.26396574
41131.375,29974.6104043,-1019.40178693
45034.289,29951.5662064,-980.2148762
49307.546,29930.0110612,-947.007355456
53986.288,29909.1752641,-918.759853806
59108.991,29890.2849517,-896.029703651
64717.782,29872.4142581,-878.191318127
70858.785,29856.1672582,-865.57468524
77582.502,29840.5800861,-858.451216399
84944.225,29825.806973,-856.425683367
93004.495,29811.8771043,-859.378563468
101829.595,29798.8039856,-869.016018485
111492.1,29785.9709382,-884.033117155
122071.47,29773.0915945,-904.844918663
133654.705,29760.7199208,-932.312224036
146337.062,29748.1751802,-965.616598512
160222.834,29736.3940233,-1005.8225197
175426.213,29723.8078103,-1052.82237915
192072.225,29711.0853862,-1107.58910619
210297.759,29697.6699168,-1170.11155625
230252.696,29683.4656799,-1241.16764914
252101.136,29668.7303119,-1322.17602956
276022.752,29652.4580498,-1411.28691336
302214.266,29634.7554369,-1512.1598451
330891.064,29615.1567397,-1623.75402866
362288.975,29594.1835549,-1747.5074001
396666.201,29569.7598696,-1884.59607826
434305.446,29541.9241408,-2035.14598404
475516.241,29510.9505063,-2202.30692361
520637.485,29475.8039887,-2386.43596082
570040.237,29435.7995583,-2588.05878174
624130.765,29387.5186873,-2807.60538272
683353.887,29331.7505202,-3048.31783045
748196.631,29265.2654879,-3309.84222056
819192.234,29187.6720692,-3594.02679917
896924.538,29096.9453034,-3902.70012004
982032.779,28987.0268645,-4238.14492922
1075216.853,28863.0072041,-4604.63633508
1177243.068,28713.3415253,-4994.79829719
1288950.444,28543.5023648,-5419.15360154
1411257.618,28340.7948727,-5873.01328761
1545170.393,28076.4749065,-6361.0667403
1691790.012,27842.6528762,-6891.0950011
1852322.216,27527.1668928,-7440.60770844
2028087.154,27104.92005,-7993.44244641
2220530.245,26681.9607941,-8598.1139277
2431234.062,26198.4311963,-9211.16255067
2661931.346,25636.9728463,-9847.45436777
2914519.257,24973.427777,-10487.2204171
3191074.973,24245.6593228,-11120.2694672
3493872.775,23419.5530305,-11724.1907505
3825402.747,22518.6412696,-12307.0565372
4188391.254,21534.0941809,-12819.6285112
4585823.366,20462.9081374,-13287.0817997
5020967.4,19329.8919754,-13675.0341736
5497401.8,18131.1142334,-13979.9640821
6019044.568,16890.026222,-14200.8579609
6590185.478,15644.6666502,-14292.2449598
7215521.358,14378.4203041,-14310.4751341
7900194.712,13113.4036556,-14193.9973942
8649836.013,11887.5327437,-13988.2334939
9470610.001,10713.2837108,-13669.6094884
10369266.383,9590.2023427,-13279.6705506
11353195.339,8533.91717143,-12825.4119694
12430488.296,7557.67823335,-12309.3703909
13610004.466,6655.41360495,-11752.92045
14901443.705,5829.51126266,-11169.8893207
16315426.277,5464.08601429,-10826.710854
17863580.192,4774.93860965,-10233.2483267
19558636.83,4156.63748298,-9656.7846615
21414535.639,3560.93514184,-9085.49543758
23446538.764,3023.44900568,-8451.20011812
25671356.563,2577.72202274,-7847.87853734
28107285.021,2218.40778293,-7254.19789104
30774356.209,1922.8301244,-6700.54400928
33694503.022,1667.7152031,-6193.59029681
36891739.544,1434.48302915,-5732.6657516
40392358.532,1222.95894177,-5284.93652633
44225147.632,1046.99350858,-4847.7865932
48421626.123,903.485470834,-4459.88961255
53016304.116,776.048791614,-4099.04916657
58046966.348,663.168529818,-3759.66589768
63554982.914,562.9651763,-3444.6142077
69585649.471,478.584577876,-3138.75560413
76188559.737,410.090674267,-2868.83852936
83418013.325,350.369006216,-2614.21875417
91333462.282,295.029770237,-2375.78540344
