Bottle Number:0
01/06/2018 1:13:16 PM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,33469.6826387,-11551.3784576
1094.889,33271.5609092,-10753.2469603
1198.782,33084.0120919,-10021.153971
1312.533,32905.0200583,-9346.32490859
1437.078,32733.9264089,-8721.92509356
1573.441,32569.0186217,-8145.13346806
1722.743,32411.2719766,-7611.47720933
1886.212,32259.3251716,-7116.14405546
2065.193,32111.9646241,-6658.51673062
2261.157,31971.867012,-6233.49350455
2475.716,31834.5463664,-5839.05315219
2710.634,31702.2367133,-5473.64481265
2967.843,31573.8986223,-5134.14705409
3249.459,31449.930024,-4818.84628009
3557.796,31329.6932604,-4524.90695925
3895.392,31213.8869968,-4251.14536678
4265.022,31101.9630516,-3995.443913
4669.725,30993.7015296,-3757.47964991
5112.831,30889.2973717,-3534.47325813
5597.982,30788.8638648,-3325.08819074
6129.169,30692.3288614,-3128.73109412
6710.759,30599.6850878,-2945.49371626
7347.536,30511.8285212,-2772.58343377
8044.736,30427.5368502,-2610.79391869
8808.093,30347.6031829,-2457.86928718
9643.884,30271.6433317,-2314.17110452
10558.982,30200.1225834,-2179.15867332
11560.913,30132.6005003,-2051.96110521
12657.916,30068.8189068,-1932.83763081
13859.012,30009.2643524,-1821.12641237
15174.08,29953.7997226,-1715.96345356
16613.932,29901.9720896,-1618.35619497
18190.411,29853.6208028,-1526.11035128
19916.481,29808.4823916,-1440.85033572
21806.335,29766.8451413,-1362.6158714
23875.515,29728.2153632,-1289.76460109
26141.038,29692.4509324,-1223.06941913
28621.534,29659.260494,-1162.04655741
31337.402,29628.7714648,-1106.59377365
34310.976,29599.8562229,-1056.29013979
37566.709,29573.6641877,-1010.98909541
41131.375,29549.5335213,-970.792935873
45034.289,29525.7392633,-936.909374642
49307.546,29505.1110451,-906.860796761
53986.288,29484.3396937,-882.116340156
59108.991,29465.6217431,-862.596645164
64717.782,29447.7887881,-847.333778725
70858.785,29430.9193562,-837.853653291
77582.502,29415.4722978,-832.575809081
84944.225,29399.9102429,-832.555200861
93004.495,29385.0697631,-837.581277884
101829.595,29370.8333947,-848.652126126
111492.1,29357.2726146,-864.345119651
122071.47,29343.8061927,-885.836977079
133654.705,29330.6640526,-913.390833995
146337.062,29317.6171378,-946.493210057
160222.834,29304.4898284,-986.470815463
175426.213,29291.5712045,-1032.69035491
192072.225,29277.7048417,-1086.58410893
210297.759,29263.3963145,-1147.60426414
230252.696,29248.3528197,-1216.77909754
252101.136,29233.053766,-1295.11038768
276022.752,29216.4606057,-1382.34237436
302214.266,29197.8794741,-1480.08979292
330891.064,29178.1683435,-1588.8702272
362288.975,29156.5888779,-1708.91545726
396666.201,29132.608575,-1841.90789392
434305.446,29105.0883673,-1988.59603527
475516.241,29073.9336169,-2149.80542654
520637.485,29039.4785805,-2328.35820566
570040.237,28999.977511,-2524.14934292
624130.765,28952.7973822,-2737.19769017
683353.887,28898.178206,-2971.12182813
748196.631,28833.6190793,-3224.05688408
819192.234,28758.5697128,-3500.42654957
896924.538,28670.3191239,-3799.56066458
982032.779,28564.44539,-4125.03780971
1075216.853,28444.2742593,-4480.08320952
1177243.068,28300.0742553,-4859.50888614
1288950.444,28137.0909284,-5272.35051039
1411257.618,27941.4440657,-5712.99177428
1545170.393,27711.0897328,-6190.94899606
1691790.012,27420.3965632,-6697.75888631
1852322.216,27137.077809,-7219.57068714
2028087.154,26752.7058765,-7799.20064373
2220530.245,26368.7271336,-8357.65776826
2431234.062,25893.4577807,-8979.97251819
2661931.346,25353.5323386,-9600.0437323
2914519.257,24706.2787419,-10221.636608
3191074.973,23980.7194717,-10833.3019774
3493872.775,23221.1797822,-11438.8626679
3825402.747,22307.2412093,-12021.310845
4188391.254,21366.613885,-12535.7441036
4585823.366,20346.4737901,-12991.1089661
5020967.4,19223.8947371,-13425.7952168
5497401.8,18078.9609114,-13718.8804298
6019044.568,16855.7962386,-13951.4355476
6590185.478,15610.3830182,-14068.998819
7215521.358,14371.5654925,-14084.326184
7900194.712,13128.9141946,-14018.7624099
8649836.013,11918.5762165,-13805.9532611
9470610.001,10754.8094367,-13512.7222266
10369266.383,9635.06708271,-13146.6789384
11353195.339,8580.58943298,-12713.172882
12430488.296,7602.72495849,-12217.0362944
13610004.466,6701.2331159,-11672.5892297
14901443.705,5880.01277552,-11099.1399527
16315426.277,5507.35496785,-10759.109179
17863580.192,4819.34706848,-10180.2892605
19558636.83,4195.26601739,-9605.78953068
21414535.639,3594.90955234,-9044.55985451
23446538.764,3056.00562402,-8422.05477033
25671356.563,2611.21973518,-7820.07098029
28107285.021,2246.45226798,-7234.65963326
30774356.209,1950.34304993,-6682.24811277
33694503.022,1687.77294782,-6186.01321306
36891739.544,1454.25417487,-5721.8504012
40392358.532,1241.16873918,-5280.49434999
44225147.632,1060.38383912,-4843.36963467
48421626.123,915.443498677,-4454.80965929
53016304.116,785.641637998,-4095.02021507
58046966.348,671.742918086,-3757.14829543
63554982.914,568.519556496,-3443.69900635
69585649.471,483.601728294,-3137.82867991
76188559.737,414.711128491,-2868.03451409
83418013.325,354.979572786,-2613.92534559
91333462.282,297.746192383,-2374.15716312
