4294A REV1.11
"DATE:     42 -100"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	3.540382e+04	0.000000e+00
1.09488900000e+03	3.518841e+04	0.000000e+00
1.19878200000e+03	3.498648e+04	0.000000e+00
1.31253300000e+03	3.479655e+04	0.000000e+00
1.43707800000e+03	3.461802e+04	0.000000e+00
1.57344100000e+03	3.445351e+04	0.000000e+00
1.72274300000e+03	3.429156e+04	0.000000e+00
1.88621200000e+03	3.414214e+04	0.000000e+00
2.06519300000e+03	3.399938e+04	0.000000e+00
2.26115700000e+03	3.385542e+04	0.000000e+00
2.47571600000e+03	3.371790e+04	0.000000e+00
2.71063400000e+03	3.358466e+04	0.000000e+00
2.96784300000e+03	3.345713e+04	0.000000e+00
3.24945900000e+03	3.333239e+04	0.000000e+00
3.55779600000e+03	3.320535e+04	0.000000e+00
3.89539200000e+03	3.308090e+04	0.000000e+00
4.26502200000e+03	3.296028e+04	0.000000e+00
4.66972500000e+03	3.283781e+04	0.000000e+00
5.11283100000e+03	3.271945e+04	0.000000e+00
5.59798200000e+03	3.260916e+04	0.000000e+00
6.12916900000e+03	3.250177e+04	0.000000e+00
6.71075900000e+03	3.239426e+04	0.000000e+00
7.34753600000e+03	3.230234e+04	0.000000e+00
8.04473600000e+03	3.220237e+04	0.000000e+00
8.80809300000e+03	3.210969e+04	0.000000e+00
9.64388400000e+03	3.202326e+04	0.000000e+00
1.05589820000e+04	3.194107e+04	0.000000e+00
1.15609130000e+04	3.186101e+04	0.000000e+00
1.26579160000e+04	3.179476e+04	0.000000e+00
1.38590120000e+04	3.172770e+04	0.000000e+00
1.51740800000e+04	3.166373e+04	0.000000e+00
1.66139320000e+04	3.160604e+04	0.000000e+00
1.81904110000e+04	3.155465e+04	0.000000e+00
1.99164810000e+04	3.150849e+04	0.000000e+00
2.18063350000e+04	3.146003e+04	0.000000e+00
2.38755150000e+04	3.141472e+04	0.000000e+00
2.61410380000e+04	3.137626e+04	0.000000e+00
2.86215340000e+04	3.134509e+04	0.000000e+00
3.13374020000e+04	3.131312e+04	0.000000e+00
3.43109760000e+04	3.128583e+04	0.000000e+00
3.75667090000e+04	3.125634e+04	0.000000e+00
4.11313750000e+04	3.123552e+04	0.000000e+00
4.50342890000e+04	3.119838e+04	0.000000e+00
4.93075460000e+04	3.118619e+04	0.000000e+00
5.39862880000e+04	3.116834e+04	0.000000e+00
5.91089910000e+04	3.115348e+04	0.000000e+00
6.47177820000e+04	3.113515e+04	0.000000e+00
7.08587850000e+04	3.111891e+04	0.000000e+00
7.75825020000e+04	3.110004e+04	0.000000e+00
8.49442250000e+04	3.108809e+04	0.000000e+00
9.30044950000e+04	3.107377e+04	0.000000e+00
1.01829595000e+05	3.105595e+04	0.000000e+00
1.11492100000e+05	3.104720e+04	0.000000e+00
1.22071470000e+05	3.103716e+04	0.000000e+00
1.33654705000e+05	3.101541e+04	0.000000e+00
1.46337062000e+05	3.100934e+04	0.000000e+00
1.60222834000e+05	3.099452e+04	0.000000e+00
1.75426213000e+05	3.098664e+04	0.000000e+00
1.92072225000e+05	3.097209e+04	0.000000e+00
2.10297759000e+05	3.095769e+04	0.000000e+00
2.30252696000e+05	3.094267e+04	0.000000e+00
2.52101136000e+05	3.092761e+04	0.000000e+00
2.76022752000e+05	3.090900e+04	0.000000e+00
3.02214266000e+05	3.088423e+04	0.000000e+00
3.30891064000e+05	3.086297e+04	0.000000e+00
3.62288975000e+05	3.083521e+04	0.000000e+00
3.96666201000e+05	3.080298e+04	0.000000e+00
4.34305446000e+05	3.077264e+04	0.000000e+00
4.75516241000e+05	3.072586e+04	0.000000e+00
5.20637485000e+05	3.067765e+04	0.000000e+00
5.70040237000e+05	3.062358e+04	0.000000e+00
6.24130765000e+05	3.055896e+04	0.000000e+00
6.83353887000e+05	3.047899e+04	0.000000e+00
7.48196631000e+05	3.039091e+04	0.000000e+00
8.19192234000e+05	3.028244e+04	0.000000e+00
8.96924538000e+05	3.016723e+04	0.000000e+00
9.82032779000e+05	3.000548e+04	0.000000e+00
1.07521685300e+06	2.982692e+04	0.000000e+00
1.17724306800e+06	2.961187e+04	0.000000e+00
1.28895044400e+06	2.936798e+04	0.000000e+00
1.41125761800e+06	2.907839e+04	0.000000e+00
1.54517039300e+06	2.875186e+04	0.000000e+00
1.69179001200e+06	2.836282e+04	0.000000e+00
1.85232221600e+06	2.791555e+04	0.000000e+00
2.02808715400e+06	2.740130e+04	0.000000e+00
2.22053024500e+06	2.680805e+04	0.000000e+00
2.43123406200e+06	2.613730e+04	0.000000e+00
2.66193134600e+06	2.537905e+04	0.000000e+00
2.91451925700e+06	2.453297e+04	0.000000e+00
3.19107497300e+06	2.359579e+04	0.000000e+00
3.49387277500e+06	2.257221e+04	0.000000e+00
3.82540274700e+06	2.146152e+04	0.000000e+00
4.18839125400e+06	2.028310e+04	0.000000e+00
4.58582336600e+06	1.903665e+04	0.000000e+00
5.02096740000e+06	1.774011e+04	0.000000e+00
5.49740180000e+06	1.642413e+04	0.000000e+00
6.01904456800e+06	1.510022e+04	0.000000e+00
6.59018547800e+06	1.378666e+04	0.000000e+00
7.21552135800e+06	1.249789e+04	0.000000e+00
7.90019471200e+06	1.123502e+04	0.000000e+00
8.64983601300e+06	1.002489e+04	0.000000e+00
9.47061000100e+06	8.891852e+03	0.000000e+00
1.03692663830e+07	7.880633e+03	0.000000e+00
1.13531953390e+07	6.943480e+03	0.000000e+00
1.24304882960e+07	6.086822e+03	0.000000e+00
1.36100044660e+07	5.257920e+03	0.000000e+00
1.49014437050e+07	4.589355e+03	0.000000e+00
1.63154262770e+07	4.201498e+03	0.000000e+00
1.78635801920e+07	3.683232e+03	0.000000e+00
1.95586368300e+07	3.191712e+03	0.000000e+00
2.14145356390e+07	2.757021e+03	0.000000e+00
2.34465387640e+07	2.363564e+03	0.000000e+00
2.56713565630e+07	2.021332e+03	0.000000e+00
2.81072850210e+07	1.685367e+03	0.000000e+00
3.07743562090e+07	1.459757e+03	0.000000e+00
3.36945030220e+07	1.237207e+03	0.000000e+00
3.68917395440e+07	1.052061e+03	0.000000e+00
4.03923585320e+07	8.918824e+02	0.000000e+00
4.42251476320e+07	7.486775e+02	0.000000e+00
4.84216261230e+07	6.211443e+02	0.000000e+00
5.30163041160e+07	5.145789e+02	0.000000e+00
5.80469663480e+07	4.131747e+02	0.000000e+00
6.35549829140e+07	3.401783e+02	0.000000e+00
6.95856494710e+07	2.765356e+02	0.000000e+00
7.61885597370e+07	2.240178e+02	0.000000e+00
8.34180133250e+07	1.806799e+02	0.000000e+00
9.13334622820e+07	1.510747e+02	0.000000e+00
1.00000000000e+08	1.311967e+02	0.000000e+00


"TRACE: B"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	-1.708741e+04	0.000000e+00
1.09488900000e+03	-1.580071e+04	0.000000e+00
1.19878200000e+03	-1.465545e+04	0.000000e+00
1.31253300000e+03	-1.359599e+04	0.000000e+00
1.43707800000e+03	-1.262077e+04	0.000000e+00
1.57344100000e+03	-1.172066e+04	0.000000e+00
1.72274300000e+03	-1.089866e+04	0.000000e+00
1.88621200000e+03	-1.013327e+04	0.000000e+00
2.06519300000e+03	-9.428814e+03	0.000000e+00
2.26115700000e+03	-8.783646e+03	0.000000e+00
2.47571600000e+03	-8.186605e+03	0.000000e+00
2.71063400000e+03	-7.637438e+03	0.000000e+00
2.96784300000e+03	-7.129135e+03	0.000000e+00
3.24945900000e+03	-6.665916e+03	0.000000e+00
3.55779600000e+03	-6.230258e+03	0.000000e+00
3.89539200000e+03	-5.828688e+03	0.000000e+00
4.26502200000e+03	-5.449279e+03	0.000000e+00
4.66972500000e+03	-5.111439e+03	0.000000e+00
5.11283100000e+03	-4.788299e+03	0.000000e+00
5.59798200000e+03	-4.485125e+03	0.000000e+00
6.12916900000e+03	-4.212180e+03	0.000000e+00
6.71075900000e+03	-3.940756e+03	0.000000e+00
7.34753600000e+03	-3.694993e+03	0.000000e+00
8.04473600000e+03	-3.464428e+03	0.000000e+00
8.80809300000e+03	-3.244860e+03	0.000000e+00
9.64388400000e+03	-3.042169e+03	0.000000e+00
1.05589820000e+04	-2.859346e+03	0.000000e+00
1.15609130000e+04	-2.673914e+03	0.000000e+00
1.26579160000e+04	-2.514315e+03	0.000000e+00
1.38590120000e+04	-2.357016e+03	0.000000e+00
1.51740800000e+04	-2.203812e+03	0.000000e+00
1.66139320000e+04	-2.080163e+03	0.000000e+00
1.81904110000e+04	-1.942639e+03	0.000000e+00
