4294A REV1.11
"DATE: Jun 21 2017"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	2.973453e+04	0.000000e+00
1.09488900000e+03	2.959377e+04	0.000000e+00
1.19878200000e+03	2.945588e+04	0.000000e+00
1.31253300000e+03	2.932042e+04	0.000000e+00
1.43707800000e+03	2.918709e+04	0.000000e+00
1.57344100000e+03	2.906129e+04	0.000000e+00
1.72274300000e+03	2.894036e+04	0.000000e+00
1.88621200000e+03	2.881688e+04	0.000000e+00
2.06519300000e+03	2.869612e+04	0.000000e+00
2.26115700000e+03	2.857999e+04	0.000000e+00
2.47571600000e+03	2.846539e+04	0.000000e+00
2.71063400000e+03	2.835438e+04	0.000000e+00
2.96784300000e+03	2.824452e+04	0.000000e+00
3.24945900000e+03	2.813566e+04	0.000000e+00
3.55779600000e+03	2.803892e+04	0.000000e+00
3.89539200000e+03	2.793910e+04	0.000000e+00
4.26502200000e+03	2.784429e+04	0.000000e+00
4.66972500000e+03	2.775300e+04	0.000000e+00
5.11283100000e+03	2.766570e+04	0.000000e+00
5.59798200000e+03	2.758116e+04	0.000000e+00
6.12916900000e+03	2.750131e+04	0.000000e+00
6.71075900000e+03	2.743162e+04	0.000000e+00
7.34753600000e+03	2.736107e+04	0.000000e+00
8.04473600000e+03	2.729078e+04	0.000000e+00
8.80809300000e+03	2.722426e+04	0.000000e+00
9.64388400000e+03	2.716338e+04	0.000000e+00
1.05589820000e+04	2.710691e+04	0.000000e+00
1.15609130000e+04	2.706162e+04	0.000000e+00
1.26579160000e+04	2.702139e+04	0.000000e+00
1.38590120000e+04	2.697021e+04	0.000000e+00
1.51740800000e+04	2.693591e+04	0.000000e+00
1.66139320000e+04	2.689213e+04	0.000000e+00
1.81904110000e+04	2.686128e+04	0.000000e+00
1.99164810000e+04	2.682848e+04	0.000000e+00
2.18063350000e+04	2.679711e+04	0.000000e+00
2.38755150000e+04	2.677024e+04	0.000000e+00
2.61410380000e+04	2.674596e+04	0.000000e+00
2.86215340000e+04	2.672606e+04	0.000000e+00
3.13374020000e+04	2.670253e+04	0.000000e+00
3.43109760000e+04	2.668245e+04	0.000000e+00
3.75667090000e+04	2.666523e+04	0.000000e+00
4.11313750000e+04	2.664702e+04	0.000000e+00
4.50342890000e+04	2.662854e+04	0.000000e+00
4.93075460000e+04	2.661252e+04	0.000000e+00
5.39862880000e+04	2.659734e+04	0.000000e+00
5.91089910000e+04	2.658712e+04	0.000000e+00
6.47177820000e+04	2.657552e+04	0.000000e+00
7.08587850000e+04	2.656062e+04	0.000000e+00
7.75825020000e+04	2.654883e+04	0.000000e+00
8.49442250000e+04	2.653644e+04	0.000000e+00
9.30044950000e+04	2.652478e+04	0.000000e+00
1.01829595000e+05	2.651622e+04	0.000000e+00
1.11492100000e+05	2.650364e+04	0.000000e+00
1.22071470000e+05	2.649369e+04	0.000000e+00
1.33654705000e+05	2.648535e+04	0.000000e+00
1.46337062000e+05	2.647426e+04	0.000000e+00
1.60222834000e+05	2.646209e+04	0.000000e+00
1.75426213000e+05	2.645072e+04	0.000000e+00
1.92072225000e+05	2.643995e+04	0.000000e+00
2.10297759000e+05	2.642810e+04	0.000000e+00
2.30252696000e+05	2.641441e+04	0.000000e+00
2.52101136000e+05	2.640002e+04	0.000000e+00
2.76022752000e+05	2.638731e+04	0.000000e+00
3.02214266000e+05	2.637043e+04	0.000000e+00
3.30891064000e+05	2.635095e+04	0.000000e+00
3.62288975000e+05	2.633262e+04	0.000000e+00
3.96666201000e+05	2.631030e+04	0.000000e+00
4.34305446000e+05	2.628459e+04	0.000000e+00
4.75516241000e+05	2.625830e+04	0.000000e+00
5.20637485000e+05	2.622314e+04	0.000000e+00
5.70040237000e+05	2.618605e+04	0.000000e+00
6.24130765000e+05	2.614409e+04	0.000000e+00
6.83353887000e+05	2.608982e+04	0.000000e+00
7.48196631000e+05	2.603539e+04	0.000000e+00
8.19192234000e+05	2.596631e+04	0.000000e+00
8.96924538000e+05	2.588502e+04	0.000000e+00
9.82032779000e+05	2.579309e+04	0.000000e+00
1.07521685300e+06	2.568621e+04	0.000000e+00
1.17724306800e+06	2.554753e+04	0.000000e+00
1.28895044400e+06	2.539853e+04	0.000000e+00
1.41125761800e+06	2.521786e+04	0.000000e+00
1.54517039300e+06	2.501152e+04	0.000000e+00
1.69179001200e+06	2.477469e+04	0.000000e+00
1.85232221600e+06	2.449506e+04	0.000000e+00
2.02808715400e+06	2.416855e+04	0.000000e+00
2.22053024500e+06	2.379243e+04	0.000000e+00
2.43123406200e+06	2.336116e+04	0.000000e+00
2.66193134600e+06	2.286266e+04	0.000000e+00
2.91451925700e+06	2.230063e+04	0.000000e+00
3.19107497300e+06	2.167365e+04	0.000000e+00
3.49387277500e+06	2.096684e+04	0.000000e+00
3.82540274700e+06	2.018679e+04	0.000000e+00
4.18839125400e+06	1.933154e+04	0.000000e+00
4.58582336600e+06	1.840620e+04	0.000000e+00
5.02096740000e+06	1.741885e+04	0.000000e+00
5.49740180000e+06	1.637751e+04	0.000000e+00
6.01904456800e+06	1.528773e+04	0.000000e+00
6.59018547800e+06	1.416109e+04	0.000000e+00
7.21552135800e+06	1.304464e+04	0.000000e+00
7.90019471200e+06	1.193371e+04	0.000000e+00
8.64983601300e+06	1.077480e+04	0.000000e+00
9.47061000100e+06	9.673740e+03	0.000000e+00
1.03692663830e+07	8.688922e+03	0.000000e+00
1.13531953390e+07	7.746914e+03	0.000000e+00
1.24304882960e+07	6.852352e+03	0.000000e+00
1.36100044660e+07	6.036785e+03	0.000000e+00
1.49014437050e+07	5.293225e+03	0.000000e+00
1.63154262770e+07	4.914927e+03	0.000000e+00
1.78635801920e+07	4.295105e+03	0.000000e+00
1.95586368300e+07	3.741746e+03	0.000000e+00
2.14145356390e+07	3.254715e+03	0.000000e+00
2.34465387640e+07	2.817945e+03	0.000000e+00
2.56713565630e+07	2.389281e+03	0.000000e+00
2.81072850210e+07	2.087076e+03	0.000000e+00
3.07743562090e+07	1.797308e+03	0.000000e+00
3.36945030220e+07	1.543357e+03	0.000000e+00
3.68917395440e+07	1.316431e+03	0.000000e+00
4.03923585320e+07	1.123058e+03	0.000000e+00
4.42251476320e+07	9.582963e+02	0.000000e+00
4.84216261230e+07	8.138669e+02	0.000000e+00
5.30163041160e+07	6.909510e+02	0.000000e+00
5.80469663480e+07	5.831687e+02	0.000000e+00
6.35549829140e+07	4.872465e+02	0.000000e+00
6.95856494710e+07	4.131295e+02	0.000000e+00
7.61885597370e+07	3.455733e+02	0.000000e+00
8.34180133250e+07	2.879575e+02	0.000000e+00
9.13334622820e+07	2.351049e+02	0.000000e+00
1.00000000000e+08	1.888889e+02	0.000000e+00


"TRACE: B"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	-8.257193e+03	0.000000e+00
1.09488900000e+03	-7.698863e+03	0.000000e+00
1.19878200000e+03	-7.191732e+03	0.000000e+00
1.31253300000e+03	-6.727532e+03	0.000000e+00
1.43707800000e+03	-6.290562e+03	0.000000e+00
1.57344100000e+03	-5.901144e+03	0.000000e+00
1.72274300000e+03	-5.527077e+03	0.000000e+00
1.88621200000e+03	-5.186358e+03	0.000000e+00
2.06519300000e+03	-4.867797e+03	0.000000e+00
2.26115700000e+03	-4.575963e+03	0.000000e+00
2.47571600000e+03	-4.300257e+03	0.000000e+00
2.71063400000e+03	-4.047608e+03	0.000000e+00
2.96784300000e+03	-3.807326e+03	0.000000e+00
3.24945900000e+03	-3.574746e+03	0.000000e+00
3.55779600000e+03	-3.370086e+03	0.000000e+00
3.89539200000e+03	-3.171993e+03	0.000000e+00
4.26502200000e+03	-2.986666e+03	0.000000e+00
4.66972500000e+03	-2.819107e+03	0.000000e+00
5.11283100000e+03	-2.653309e+03	0.000000e+00
5.59798200000e+03	-2.497869e+03	0.000000e+00
6.12916900000e+03	-2.351988e+03	0.000000e+00
6.71075900000e+03	-2.213736e+03	0.000000e+00
7.34753600000e+03	-2.087706e+03	0.000000e+00
8.04473600000e+03	-1.959368e+03	0.000000e+00
8.80809300000e+03	-1.847420e+03	0.000000e+00
9.64388400000e+03	-1.730790e+03	0.000000e+00
1.05589820000e+04	-1.627987e+03	0.000000e+00
1.15609130000e+04	-1.532125e+03	0.000000e+00
1.26579160000e+04	-1.443311e+03	0.000000e+00
1.38590120000e+04	-1.356391e+03	0.000000e+00
1.51740800000e+04	-1.276548e+03	0.000000e+00
1.66139320000e+04	-1.209456e+03	0.000000e+00
1.81904110000e+04	-1.143222e+03	0.000000e+00
1.99164810000e+04	-1.076048e+03	0.000000e+00
2.18063350000e+04	-1.019431e+03	0.000000e+00
2.38755150000e+04	-9.635640e+02	0.000000e+00
2.61410380000e+04	-9.151101e+02	0.000000e+00
2.86215340000e+04	-8.708264e+02	0.000000e+00
3.13374020000e+04	-8.351589e+02	0.000000e+00
3.43109760000e+04	-8.006118e+02	0.000000e+00
3.75667090000e+04	-7.737578e+02	0.000000e+00
4.11313750000e+04	-7.426116e+02	0.000000e+00
4.50342890000e+04	-7.233765e+02	0.000000e+00
4.93075460000e+04	-6.998579e+02	0.000000e+00
5.39862880000e+04	-6.887307e+02	0.000000e+00
5.91089910000e+04	-6.788088e+02	0.000000e+00
6.47177820000e+04	-6.729397e+02	0.000000e+00
7.08587850000e+04	-6.696395e+02	0.000000e+00
7.75825020000e+04	-6.719722e+02	0.000000e+00
8.49442250000e+04	-6.747114e+02	0.000000e+00
9.30044950000e+04	-6.900710e+02	0.000000e+00
1.01829595000e+05	-7.001050e+02	0.000000e+00
1.11492100000e+05	-7.277842e+02	0.000000e+00
1.22071470000e+05	-7.465098e+02	0.000000e+00
1.33654705000e+05	-7.775640e+02	0.000000e+00
1.46337062000e+05	-8.152429e+02	0.000000e+00
1.60222834000e+05	-8.474165e+02	0.000000e+00
1.75426213000e+05	-8.962649e+02	0.000000e+00
1.92072225000e+05	-9.505659e+02	0.000000e+00
2.10297759000e+05	-1.007156e+03	0.000000e+00
2.30252696000e+05	-1.073313e+03	0.000000e+00
2.52101136000e+05	-1.140345e+03	0.000000e+00
2.76022752000e+05	-1.229593e+03	0.000000e+00
3.02214266000e+05	-1.318598e+03	0.000000e+00
3.30891064000e+05	-1.417676e+03	0.000000e+00
3.62288975000e+05	-1.527334e+03	0.000000e+00
3.96666201000e+05	-1.651919e+03	0.000000e+00
4.34305446000e+05	-1.783103e+03	0.000000e+00
4.75516241000e+05	-1.936328e+03	0.000000e+00
5.20637485000e+05	-2.090888e+03	0.000000e+00
5.70040237000e+05	-2.267071e+03	0.000000e+00
6.24130765000e+05	-2.456291e+03	0.000000e+00
6.83353887000e+05	-2.671702e+03	0.000000e+00
7.48196631000e+05	-2.899923e+03	0.000000e+00
8.19192234000e+05	-3.149930e+03	0.000000e+00
8.96924538000e+05	-3.428732e+03	0.000000e+00
9.82032779000e+05	-3.716790e+03	0.000000e+00
1.07521685300e+06	-4.038130e+03	0.000000e+00
1.17724306800e+06	-4.382694e+03	0.000000e+00
1.28895044400e+06	-4.751255e+03	0.000000e+00
1.41125761800e+06	-5.148611e+03	0.000000e+00
1.54517039300e+06	-5.570861e+03	0.000000e+00
1.69179001200e+06	-6.025916e+03	0.000000e+00
1.85232221600e+06	-6.500041e+03	0.000000e+00
2.02808715400e+06	-7.000775e+03	0.000000e+00
2.22053024500e+06	-7.523525e+03	0.000000e+00
2.43123406200e+06	-8.065709e+03	0.000000e+00
2.66193134600e+06	-8.617539e+03	0.000000e+00
2.91451925700e+06	-9.177859e+03	0.000000e+00
3.19107497300e+06	-9.725660e+03	0.000000e+00
3.49387277500e+06	-1.026722e+04	0.000000e+00
3.82540274700e+06	-1.077867e+04	0.000000e+00
4.18839125400e+06	-1.125947e+04	0.000000e+00
4.58582336600e+06	-1.168580e+04	0.000000e+00
5.02096740000e+06	-1.205688e+04	0.000000e+00
5.49740180000e+06	-1.235377e+04	0.000000e+00
6.01904456800e+06	-1.256884e+04	0.000000e+00
6.59018547800e+06	-1.269069e+04	0.000000e+00
7.21552135800e+06	-1.270003e+04	0.000000e+00
7.90019471200e+06	-1.265610e+04	0.000000e+00
8.64983601300e+06	-1.253026e+04	0.000000e+00
9.47061000100e+06	-1.218258e+04	0.000000e+00
1.03692663830e+07	-1.183063e+04	0.000000e+00
1.13531953390e+07	-1.143304e+04	0.000000e+00
1.24304882960e+07	-1.097060e+04	0.000000e+00
1.36100044660e+07	-1.046801e+04	0.000000e+00
1.49014437050e+07	-9.924037e+03	0.000000e+00
1.63154262770e+07	-9.727330e+03	0.000000e+00
1.78635801920e+07	-9.184291e+03	0.000000e+00
1.95586368300e+07	-8.641953e+03	0.000000e+00
2.14145356390e+07	-8.099065e+03	0.000000e+00
2.34465387640e+07	-7.576763e+03	0.000000e+00
2.56713565630e+07	-7.083092e+03	0.000000e+00
2.81072850210e+07	-6.547728e+03	0.000000e+00
3.07743562090e+07	-6.082155e+03	0.000000e+00
3.36945030220e+07	-5.638558e+03	0.000000e+00
3.68917395440e+07	-5.211901e+03	0.000000e+00
4.03923585320e+07	-4.808042e+03	0.000000e+00
4.42251476320e+07	-4.427164e+03	0.000000e+00
4.84216261230e+07	-4.074381e+03	0.000000e+00
5.30163041160e+07	-3.744414e+03	0.000000e+00
5.80469663480e+07	-3.434457e+03	0.000000e+00
6.35549829140e+07	-3.140643e+03	0.000000e+00
6.95856494710e+07	-2.874540e+03	0.000000e+00
7.61885597370e+07	-2.624311e+03	0.000000e+00
8.34180133250e+07	-2.393454e+03	0.000000e+00
9.13334622820e+07	-2.179874e+03	0.000000e+00
1.00000000000e+08	-1.980584e+03	0.000000e+00
