4294A REV1.11
"DATE:     27 -100"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	2.174024e+04	0.000000e+00
1.09488900000e+03	2.156009e+04	0.000000e+00
1.19878200000e+03	2.138608e+04	0.000000e+00
1.31253300000e+03	2.122263e+04	0.000000e+00
1.43707800000e+03	2.107259e+04	0.000000e+00
1.57344100000e+03	2.093218e+04	0.000000e+00
1.72274300000e+03	2.080170e+04	0.000000e+00
1.88621200000e+03	2.068026e+04	0.000000e+00
2.06519300000e+03	2.056649e+04	0.000000e+00
2.26115700000e+03	2.045439e+04	0.000000e+00
2.47571600000e+03	2.034875e+04	0.000000e+00
2.71063400000e+03	2.024684e+04	0.000000e+00
2.96784300000e+03	2.015029e+04	0.000000e+00
3.24945900000e+03	2.005788e+04	0.000000e+00
3.55779600000e+03	1.996759e+04	0.000000e+00
3.89539200000e+03	1.987412e+04	0.000000e+00
4.26502200000e+03	1.978482e+04	0.000000e+00
4.66972500000e+03	1.970010e+04	0.000000e+00
5.11283100000e+03	1.961413e+04	0.000000e+00
5.59798200000e+03	1.952682e+04	0.000000e+00
6.12916900000e+03	1.944274e+04	0.000000e+00
6.71075900000e+03	1.936067e+04	0.000000e+00
7.34753600000e+03	1.927994e+04	0.000000e+00
8.04473600000e+03	1.920420e+04	0.000000e+00
8.80809300000e+03	1.912854e+04	0.000000e+00
9.64388400000e+03	1.905689e+04	0.000000e+00
1.05589820000e+04	1.898247e+04	0.000000e+00
1.15609130000e+04	1.891584e+04	0.000000e+00
1.26579160000e+04	1.884854e+04	0.000000e+00
1.38590120000e+04	1.878581e+04	0.000000e+00
1.51740800000e+04	1.872720e+04	0.000000e+00
1.66139320000e+04	1.867331e+04	0.000000e+00
1.81904110000e+04	1.861771e+04	0.000000e+00
1.99164810000e+04	1.857316e+04	0.000000e+00
2.18063350000e+04	1.853102e+04	0.000000e+00
2.38755150000e+04	1.848712e+04	0.000000e+00
2.61410380000e+04	1.844325e+04	0.000000e+00
2.86215340000e+04	1.840687e+04	0.000000e+00
3.13374020000e+04	1.837591e+04	0.000000e+00
3.43109760000e+04	1.834809e+04	0.000000e+00
3.75667090000e+04	1.831470e+04	0.000000e+00
4.11313750000e+04	1.828843e+04	0.000000e+00
4.50342890000e+04	1.826263e+04	0.000000e+00
4.93075460000e+04	1.824252e+04	0.000000e+00
5.39862880000e+04	1.822230e+04	0.000000e+00
5.91089910000e+04	1.820367e+04	0.000000e+00
6.47177820000e+04	1.818752e+04	0.000000e+00
7.08587850000e+04	1.816879e+04	0.000000e+00
7.75825020000e+04	1.815335e+04	0.000000e+00
8.49442250000e+04	1.813674e+04	0.000000e+00
9.30044950000e+04	1.812533e+04	0.000000e+00
1.01829595000e+05	1.810893e+04	0.000000e+00
1.11492100000e+05	1.809804e+04	0.000000e+00
1.22071470000e+05	1.808532e+04	0.000000e+00
1.33654705000e+05	1.807592e+04	0.000000e+00
1.46337062000e+05	1.806619e+04	0.000000e+00
1.60222834000e+05	1.805608e+04	0.000000e+00
1.75426213000e+05	1.804764e+04	0.000000e+00
1.92072225000e+05	1.804023e+04	0.000000e+00
2.10297759000e+05	1.803131e+04	0.000000e+00
2.30252696000e+05	1.802208e+04	0.000000e+00
2.52101136000e+05	1.801234e+04	0.000000e+00
2.76022752000e+05	1.800421e+04	0.000000e+00
3.02214266000e+05	1.799588e+04	0.000000e+00
3.30891064000e+05	1.798679e+04	0.000000e+00
3.62288975000e+05	1.797534e+04	0.000000e+00
3.96666201000e+05	1.796593e+04	0.000000e+00
4.34305446000e+05	1.795507e+04	0.000000e+00
4.75516241000e+05	1.794117e+04	0.000000e+00
5.20637485000e+05	1.792660e+04	0.000000e+00
5.70040237000e+05	1.791212e+04	0.000000e+00
6.24130765000e+05	1.789359e+04	0.000000e+00
6.83353887000e+05	1.787180e+04	0.000000e+00
7.48196631000e+05	1.784998e+04	0.000000e+00
8.19192234000e+05	1.782340e+04	0.000000e+00
8.96924538000e+05	1.778963e+04	0.000000e+00
9.82032779000e+05	1.775404e+04	0.000000e+00
1.07521685300e+06	1.771145e+04	0.000000e+00
1.17724306800e+06	1.765666e+04	0.000000e+00
1.28895044400e+06	1.759923e+04	0.000000e+00
1.41125761800e+06	1.752741e+04	0.000000e+00
1.54517039300e+06	1.744692e+04	0.000000e+00
1.69179001200e+06	1.734891e+04	0.000000e+00
1.85232221600e+06	1.724039e+04	0.000000e+00
2.02808715400e+06	1.710731e+04	0.000000e+00
2.22053024500e+06	1.695719e+04	0.000000e+00
2.43123406200e+06	1.677845e+04	0.000000e+00
2.66193134600e+06	1.656920e+04	0.000000e+00
2.91451925700e+06	1.632905e+04	0.000000e+00
3.19107497300e+06	1.605257e+04	0.000000e+00
3.49387277500e+06	1.573652e+04	0.000000e+00
3.82540274700e+06	1.537354e+04	0.000000e+00
4.18839125400e+06	1.496318e+04	0.000000e+00
4.58582336600e+06	1.450257e+04	0.000000e+00
5.02096740000e+06	1.399029e+04	0.000000e+00
5.49740180000e+06	1.342850e+04	0.000000e+00
6.01904456800e+06	1.281518e+04	0.000000e+00
6.59018547800e+06	1.215940e+04	0.000000e+00
7.21552135800e+06	1.146621e+04	0.000000e+00
7.90019471200e+06	1.070274e+04	0.000000e+00
8.64983601300e+06	9.940809e+03	0.000000e+00
9.47061000100e+06	9.176750e+03	0.000000e+00
1.03692663830e+07	8.409152e+03	0.000000e+00
1.13531953390e+07	7.658834e+03	0.000000e+00
1.24304882960e+07	6.900554e+03	0.000000e+00
1.36100044660e+07	6.127268e+03	0.000000e+00
1.49014437050e+07	5.486131e+03	0.000000e+00
1.63154262770e+07	5.101640e+03	0.000000e+00
1.78635801920e+07	4.529908e+03	0.000000e+00
1.95586368300e+07	4.008913e+03	0.000000e+00
2.14145356390e+07	3.527757e+03	0.000000e+00
2.34465387640e+07	3.090640e+03	0.000000e+00
2.56713565630e+07	2.690548e+03	0.000000e+00
2.81072850210e+07	2.338946e+03	0.000000e+00
3.07743562090e+07	2.013536e+03	0.000000e+00
3.36945030220e+07	1.743223e+03	0.000000e+00
3.68917395440e+07	1.497271e+03	0.000000e+00
4.03923585320e+07	1.283843e+03	0.000000e+00
4.42251476320e+07	1.093784e+03	0.000000e+00
4.84216261230e+07	9.282117e+02	0.000000e+00
5.30163041160e+07	7.817607e+02	0.000000e+00
5.80469663480e+07	6.488268e+02	0.000000e+00
6.35549829140e+07	5.363364e+02	0.000000e+00
6.95856494710e+07	4.500785e+02	0.000000e+00
7.61885597370e+07	3.720898e+02	0.000000e+00
8.34180133250e+07	3.053679e+02	0.000000e+00
9.13334622820e+07	2.578977e+02	0.000000e+00
1.00000000000e+08	2.223246e+02	0.000000e+00


"TRACE: B"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	-1.179250e+04	0.000000e+00
1.09488900000e+03	-1.091700e+04	0.000000e+00
1.19878200000e+03	-1.014139e+04	0.000000e+00
1.31253300000e+03	-9.428621e+03	0.000000e+00
1.43707800000e+03	-8.769562e+03	0.000000e+00
1.57344100000e+03	-8.164195e+03	0.000000e+00
