4294A REV1.11
"DATE: May 28 2017"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	1.803370e+04	0.000000e+00
1.09488900000e+03	1.797639e+04	0.000000e+00
1.19878200000e+03	1.791977e+04	0.000000e+00
1.31253300000e+03	1.786321e+04	0.000000e+00
1.43707800000e+03	1.780445e+04	0.000000e+00
1.57344100000e+03	1.774530e+04	0.000000e+00
1.72274300000e+03	1.768873e+04	0.000000e+00
1.88621200000e+03	1.762738e+04	0.000000e+00
2.06519300000e+03	1.756735e+04	0.000000e+00
2.26115700000e+03	1.750777e+04	0.000000e+00
2.47571600000e+03	1.744883e+04	0.000000e+00
2.71063400000e+03	1.738891e+04	0.000000e+00
2.96784300000e+03	1.733070e+04	0.000000e+00
3.24945900000e+03	1.727187e+04	0.000000e+00
3.55779600000e+03	1.721958e+04	0.000000e+00
3.89539200000e+03	1.716506e+04	0.000000e+00
4.26502200000e+03	1.711543e+04	0.000000e+00
4.66972500000e+03	1.706739e+04	0.000000e+00
5.11283100000e+03	1.702121e+04	0.000000e+00
5.59798200000e+03	1.697968e+04	0.000000e+00
6.12916900000e+03	1.694265e+04	0.000000e+00
6.71075900000e+03	1.690586e+04	0.000000e+00
7.34753600000e+03	1.687624e+04	0.000000e+00
8.04473600000e+03	1.684019e+04	0.000000e+00
8.80809300000e+03	1.681777e+04	0.000000e+00
9.64388400000e+03	1.678898e+04	0.000000e+00
1.05589820000e+04	1.676558e+04	0.000000e+00
1.15609130000e+04	1.674648e+04	0.000000e+00
1.26579160000e+04	1.672888e+04	0.000000e+00
1.38590120000e+04	1.671373e+04	0.000000e+00
1.51740800000e+04	1.669555e+04	0.000000e+00
1.66139320000e+04	1.668396e+04	0.000000e+00
1.81904110000e+04	1.667071e+04	0.000000e+00
1.99164810000e+04	1.666086e+04	0.000000e+00
2.18063350000e+04	1.664971e+04	0.000000e+00
