Bottle Number:0
12/13/2017 11:25:06 AM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,18757.5688842,-5641.31464295
1094.889,18690.2760294,-5238.95996327
1198.782,18625.0939778,-4871.39729878
1312.533,18561.4844818,-4535.16252474
1437.078,18498.8366999,-4227.04954754
1573.441,18436.6873811,-3945.17670016
1722.743,18375.2797198,-3687.20409715
1886.212,18314.0103369,-3450.15130269
2065.193,18252.396848,-3232.96203106
2261.157,18191.3903688,-3033.25393506
2475.716,18129.3257044,-2849.08139576
2710.634,18067.2574375,-2679.25630962
2967.843,18005.0326177,-2522.25128694
3249.459,17942.9396188,-2376.45872639
3557.796,17881.0976627,-2240.4046323
3895.392,17819.9692245,-2113.18065066
4265.022,17759.4190021,-1993.82144357
4669.725,17700.2637521,-1881.81742066
5112.831,17642.4132281,-1776.10035019
5597.982,17586.3316189,-1675.66739624
6129.169,17532.1789029,-1580.65949233
6710.759,17480.3834267,-1490.67940487
7347.536,17431.0023708,-1405.46504934
8044.736,17384.098135,-1324.73588178
8808.093,17339.5567283,-1247.82264353
9643.884,17297.8591976,-1174.86882092
10558.982,17258.508709,-1106.03782956
11560.913,17221.8511092,-1041.08226148
12657.916,17187.7785423,-979.908851858
13859.012,17155.7901211,-922.301952036
15174.08,17126.1550486,-867.880448267
16613.932,17098.7168232,-816.992239361
18190.411,17073.2010225,-769.412626885
19916.481,17049.5269744,-724.877598879
21806.335,17027.5829706,-683.763678676
23875.515,17007.2851993,-645.429745233
26141.038,16988.4161105,-610.177343013
28621.534,16970.8107819,-577.344049335
31337.402,16954.3726375,-547.402222272
34310.976,16939.2728194,-519.790555609
37566.709,16925.3283822,-494.750951872
41131.375,16912.0308681,-472.108283757
45034.289,16899.9591866,-451.582157955
49307.546,16888.4675259,-433.740724606
53986.288,16877.764872,-417.746010316
59108.991,16867.7357885,-403.92432553
64717.782,16858.3686188,-392.092656252
70858.785,16849.5150097,-382.647890686
77582.502,16841.0700083,-375.40104375
84944.225,16832.9414609,-370.306900698
93004.495,16826.013787,-366.900517912
101829.595,16819.0301019,-366.051308881
111492.1,16812.3562395,-367.276866505
122071.47,16806.1048368,-370.911763375
133654.705,16800.1009823,-376.802010128
146337.062,16794.1236026,-385.11014177
160222.834,16788.6370942,-395.96111447
175426.213,16783.1360243,-409.530728508
192072.225,16777.6757933,-425.899907097
210297.759,16772.0664556,-445.059967991
230252.696,16766.6971357,-467.342305446
252101.136,16761.0885062,-493.016600509
276022.752,16755.172857,-522.225838588
302214.266,16749.1509106,-555.239912985
330891.064,16742.6824554,-592.440322265
362288.975,16735.8645269,-633.894695031
396666.201,16728.4911321,-680.238212895
434305.446,16720.3437251,-731.727682179
475516.241,16711.5140327,-788.404158566
520637.485,16701.9308878,-851.515054774
570040.237,16691.685026,-921.088634538
624130.765,16678.9571606,-997.557251191
683353.887,16664.7384363,-1080.74850144
748196.631,16647.754328,-1172.1390526
819192.234,16628.2648624,-1271.22945595
896924.538,16605.4245785,-1379.59955454
982032.779,16577.2646763,-1498.7971379
1075216.853,16547.7107132,-1629.30049893
1177243.068,16510.4425255,-1769.94633701
1288950.444,16470.7789437,-1923.98725696
1411257.618,16421.9217539,-2090.8455468
1545170.393,16367.4470576,-2274.50946409
1691790.012,16298.0405203,-2468.21914287
1852322.216,16228.8484954,-2679.23541254
2028087.154,16129.2135383,-2906.70601031
2220530.245,16021.9182282,-3146.62395077
2431234.062,15910.823225,-3411.47427804
2661931.346,15757.7670374,-3697.88761862
2914519.257,15582.071927,-3998.62169871
3191074.973,15395.1599862,-4299.59856216
3493872.775,15167.8456369,-4630.99082698
3825402.747,14899.9135365,-4964.87364308
4188391.254,14602.1872768,-5310.14847687
4585823.366,14266.9559287,-5659.38282129
5020967.4,13893.7343198,-6002.5724427
5497401.8,13456.0080742,-6342.41400899
6019044.568,12984.779714,-6673.90929228
6590185.478,12457.5501972,-6986.49943303
7215521.358,11895.4150209,-7266.97399744
7900194.712,11291.3605064,-7506.63139238
8649836.013,10640.5176634,-7713.23681963
9470610.001,9973.60519033,-7861.46915374
10369266.383,9281.30117732,-7960.0256734
11353195.339,8577.80546399,-7998.14540577
12430488.296,7872.34506084,-7977.07452991
13610004.466,7176.3691387,-7897.47263801
14901443.705,6497.95612689,-7762.98985607
16315426.277,6143.26699244,-7639.19972684
17863580.192,5512.18298167,-7440.03233537
19558636.83,4929.88950473,-7203.12150305
21414535.639,4354.87413258,-6931.10383156
23446538.764,3849.61351714,-6622.70966313
25671356.563,3359.07637061,-6294.82120528
28107285.021,2953.06708001,-5948.63860151
30774356.209,2558.81776277,-5593.62300236
33694503.022,2226.3717604,-5286.26398793
36891739.544,1902.69204541,-4875.25002809
40392358.532,1678.86444816,-4544.55321225
44225147.632,1462.53970802,-4233.23739443
48421626.123,1263.77266521,-3925.36848808
53016304.116,1095.11418433,-3636.75041721
58046966.348,945.149394156,-3360.31605266
63554982.914,813.582185393,-3099.63193027
69585649.471,699.904583425,-2850.73193315
76188559.737,600.625888758,-2617.63777203
83418013.325,512.764132704,-2397.39153895
91333462.282,436.305787791,-2191.43954069
