Bottle Number:0
12/13/2017 2:12:55 PM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,19025.3098281,-5401.66070093
1094.889,18954.2271103,-5022.70471474
1198.782,18885.657735,-4676.126399
1312.533,18818.7063286,-4358.83168629
1437.078,18753.0648043,-4067.74451943
1573.441,18688.0165755,-3801.17721785
1722.743,18623.6393626,-3556.9842673
1886.212,18559.4159664,-3332.27516186
2065.193,18495.3416039,-3126.04456677
2261.157,18431.9702184,-2936.00072293
2475.716,18367.7345428,-2760.45610155
2710.634,18303.5881562,-2597.9538549
2967.843,18239.6932801,-2447.4012545
3249.459,18176.1625324,-2307.30291787
3557.796,18113.1459745,-2176.03690064
3895.392,18051.1863771,-2052.94940067
4265.022,17990.3465067,-1937.26294432
4669.725,17931.0432602,-1828.31021314
5112.831,17873.247472,-1725.0495511
5597.982,17817.5976933,-1627.18231893
6129.169,17764.14948,-1534.44975707
6710.759,17713.2862034,-1446.36591077
7347.536,17664.9386193,-1362.95580161
8044.736,17619.2445523,-1283.86963421
8808.093,17576.2668592,-1208.70842738
9643.884,17535.693784,-1137.24275838
10558.982,17498.0291554,-1070.13189629
11560.913,17462.9777285,-1006.71671752
12657.916,17430.0396852,-946.901957044
13859.012,17399.6835764,-890.711330708
15174.08,17371.4631219,-837.878312222
16613.932,17345.5003145,-788.331751283
18190.411,17321.2845931,-742.059290324
19916.481,17298.8363,-698.890961391
21806.335,17278.3418159,-658.953298877
23875.515,17258.9457472,-622.061304386
26141.038,17241.1728071,-587.990491805
28621.534,17224.8167843,-556.483337063
31337.402,17209.5786551,-527.678369609
34310.976,17195.5072156,-501.209167547
37566.709,17182.2819879,-477.279137306
41131.375,17170.2279656,-455.743651169
45034.289,17158.8188029,-436.462036369
49307.546,17148.2190664,-419.585443875
53986.288,17138.4308525,-404.604878186
59108.991,17129.0462186,-391.924884215
64717.782,17120.4543529,-381.160954313
70858.785,17112.4039451,-372.754311897
77582.502,17104.7341818,-366.466258111
84944.225,17097.7091565,-362.353987677
93004.495,17090.8089701,-360.222160714
101829.595,17084.6828606,-360.443435843
111492.1,17078.4154613,-363.121500366
122071.47,17072.5550362,-367.941197689
133654.705,17067.1330402,-375.112871316
146337.062,17061.6292876,-384.797425249
160222.834,17056.5333608,-397.122532887
175426.213,17051.2162871,-411.878745281
192072.225,17046.1352867,-429.698394717
210297.759,17040.8536624,-450.634138992
230252.696,17035.7524843,-474.313065576
252101.136,17030.0671352,-501.811830144
276022.752,17024.3558145,-532.79661265
302214.266,17018.3674417,-567.822106124
330891.064,17011.8690187,-606.970193549
362288.975,17004.9821928,-650.503770943
396666.201,16997.4505013,-699.078009056
434305.446,16989.0431454,-752.726377165
475516.241,16979.799822,-812.105855204
520637.485,16969.8412,-878.021976867
570040.237,16959.2796324,-950.421626897
624130.765,16945.8618061,-1030.06998603
683353.887,16930.9721924,-1116.50415338
748196.631,16912.8098616,-1211.36413922
819192.234,16892.3471581,-1314.38784681
896924.538,16868.0476618,-1426.61033149
982032.779,16838.7923623,-1549.89749305
1075216.853,16807.165212,-1685.36252488
1177243.068,16767.907006,-1830.7251295
1288950.444,16726.2569966,-1990.05906627
1411257.618,16674.4592688,-2162.4959961
1545170.393,16612.7473036,-2347.64000039
1691790.012,16537.9953448,-2554.64015777
1852322.216,16453.3687399,-2768.60354172
2028087.154,16364.3551418,-3009.39165584
2220530.245,16263.3721535,-3259.97403969
2431234.062,16130.7773871,-3527.71795764
2661931.346,15977.5151531,-3824.37361735
2914519.257,15803.3208938,-4117.40716144
3191074.973,15579.4144362,-4437.17097608
3493872.775,15354.1176838,-4769.50184001
3825402.747,15079.0794505,-5109.38999753
4188391.254,14769.6095173,-5462.09588816
4585823.366,14412.4540313,-5815.59004384
5020967.4,14019.8015015,-6170.99537307
5497401.8,13579.966684,-6508.17352001
6019044.568,13084.6218841,-6841.30663788
6590185.478,12555.039156,-7148.88636848
7215521.358,11967.9988151,-7426.86008103
7900194.712,11348.1633376,-7665.57041848
8649836.013,10689.0537268,-7859.21975013
9470610.001,9995.88140103,-8006.53453256
10369266.383,9294.28029279,-8096.86432827
11353195.339,8578.22229993,-8122.64431432
12430488.296,7864.40205156,-8088.94983468
13610004.466,7155.70767036,-7998.60600812
14901443.705,6477.69874884,-7851.48101146
16315426.277,6120.3924138,-7721.44672331
17863580.192,5487.15508911,-7513.06662735
19558636.83,4896.84458347,-7266.67005381
21414535.639,4327.49471956,-6983.71943933
23446538.764,3820.76425128,-6665.78961569
25671356.563,3330.62003371,-6339.67799035
28107285.021,2927.36494068,-5971.71203283
30774356.209,2526.71529953,-5616.34363712
33694503.022,2204.22994592,-5309.15053802
36891739.544,1880.85289876,-4888.41882152
40392358.532,1664.7390039,-4552.49692522
44225147.632,1446.98251545,-4243.10866217
48421626.123,1249.61054309,-3932.49523843
53016304.116,1084.03668207,-3642.84979088
58046966.348,935.749907125,-3365.32074361
63554982.914,805.930552813,-3102.79779216
69585649.471,693.770053056,-2854.02341083
76188559.737,595.286868776,-2620.48624018
83418013.325,508.136788311,-2399.5640882
91333462.282,431.842514109,-2193.73027404
