Bottle Number:0
11/10/2017 11:43:30 AM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,8759.44186503,-5415.67971134
1094.889,8691.41695071,-5008.35585612
1198.782,8628.52562206,-4639.69270476
1312.533,8569.79307204,-4302.02777795
1437.078,8514.73045864,-3991.44370668
1573.441,8462.7079578,-3705.37524034
1722.743,8413.43798363,-3442.15936196
1886.212,8366.63047128,-3199.37121491
2065.193,8321.90187374,-2975.54016929
2261.157,8278.99614196,-2768.96452247
2475.716,8237.42217165,-2578.63681939
2710.634,8197.13007917,-2402.82865495
2967.843,8157.93687875,-2240.81177834
3249.459,8119.78926958,-2091.16743961
3557.796,8082.60207775,-1952.82254772
3895.392,8046.17507263,-1824.79772566
4265.022,8010.57001518,-1706.27945295
4669.725,7975.71436285,-1596.44544352
5112.831,7941.69771365,-1494.46265487
5597.982,7908.50377516,-1399.40102315
6129.169,7876.21868047,-1310.98374062
6710.759,7844.90329274,-1228.53185092
7347.536,7814.64200378,-1151.69921621
8044.736,7785.43720695,-1079.74266729
8808.093,7757.30940424,-1012.27955536
9643.884,7730.37105247,-949.062454989
10558.982,7704.58520062,-889.746416237
11560.913,7680.03617656,-834.114232859
12657.916,7656.72674845,-781.828734716
13859.012,7634.58071093,-732.667778304
15174.08,7613.69351184,-686.424464963
16613.932,7594.05184595,-642.899746531
18190.411,7575.55517876,-601.94512592
19916.481,7558.24818985,-563.457253473
21806.335,7542.09213936,-527.342277296
23875.515,7527.05337556,-493.472565565
26141.038,7513.09112112,-461.659744757
28621.534,7500.14094216,-431.852107022
31337.402,7488.19715226,-403.894486746
34310.976,7477.18259504,-377.778822731
37566.709,7467.07235,-353.369125179
41131.375,7457.78113886,-330.659034099
45034.289,7449.26285663,-309.507810777
49307.546,7441.48234688,-289.928398291
53986.288,7434.2757502,-271.812457817
59108.991,7427.73405657,-255.06688975
64717.782,7421.74780635,-239.661032672
70858.785,7416.31730764,-225.574433606
77582.502,7411.308402,-212.779980284
84944.225,7406.70939316,-201.110305395
93004.495,7402.58568443,-190.682793951
101829.595,7398.71207379,-181.328129214
111492.1,7395.15495662,-173.0798559
122071.47,7391.89812664,-165.870527583
133654.705,7388.89246143,-159.669376288
146337.062,7386.13029689,-154.45801629
160222.834,7383.57041488,-150.214162069
175426.213,7381.14716508,-146.895297482
192072.225,7378.90392931,-144.573164872
210297.759,7376.70013728,-143.18204456
230252.696,7374.65302011,-142.609588241
252101.136,7372.74629228,-143.135246271
276022.752,7370.85091379,-144.588441093
302214.266,7369.04641432,-147.006884239
330891.064,7367.26198126,-150.493770053
362288.975,7365.5611568,-155.020096862
396666.201,7363.90252123,-160.69792188
434305.446,7362.12005226,-167.532594682
475516.241,7360.42785125,-175.537792732
520637.485,7358.85628382,-184.977085096
570040.237,7357.27297998,-196.004540696
624130.765,7355.50333232,-208.24809669
683353.887,7353.54149422,-221.976359714
748196.631,7351.26644216,-237.131226716
819192.234,7348.6896669,-253.960312311
896924.538,7345.82234552,-272.522333542
982032.779,7342.12785755,-293.302696949
1075216.853,7338.91685479,-316.852820632
1177243.068,7334.45447879,-341.942770262
1288950.444,7330.86387099,-370.228869673
1411257.618,7325.66291737,-401.090194059
1545170.393,7319.77710035,-436.041825621
1691790.012,7311.50138032,-471.055269516
1852322.216,7302.14191627,-512.168488886
2028087.154,7294.87686655,-556.925576925
2220530.245,7283.81553572,-605.765092885
2431234.062,7272.87588951,-659.129070883
2661931.346,7259.24450055,-717.20939609
2914519.257,7243.61894984,-781.181224417
3191074.973,7223.15074827,-846.325952744
3493872.775,7203.50128615,-921.200660846
3825402.747,7176.02714521,-1000.55219426
4188391.254,7146.99725666,-1086.83146916
4585823.366,7111.24644488,-1178.92967827
5020967.4,7071.72605435,-1278.42436972
5497401.8,7022.70764757,-1385.77852466
6019044.568,6968.45378955,-1499.83680209
6590185.478,6902.42349313,-1622.84831472
7215521.358,6827.01065801,-1748.63266461
7900194.712,6739.3375476,-1884.59530637
8649836.013,6638.55431451,-2025.76154525
9470610.001,6524.51001427,-2171.69330969
10369266.383,6392.09420953,-2321.77018055
11353195.339,6242.7624283,-2470.69718829
12430488.296,6073.20970382,-2622.72267031
13610004.466,5884.76627123,-2771.41400952
14901443.705,5674.68463718,-2914.01907191
16315426.277,5551.93277584,-2970.24399034
17863580.192,5313.69752289,-3096.7817241
19558636.83,5060.33807652,-3206.33249145
21414535.639,4781.19277347,-3306.30549189
23446538.764,4492.82193638,-3370.96745987
25671356.563,4187.89582761,-3421.36971617
28107285.021,3891.31656304,-3433.0657765
30774356.209,3582.97065712,-3434.13098502
33694503.022,3272.49263818,-3436.58537551
36891739.544,2954.68320618,-3333.77273576
40392358.532,2688.589136,-3247.14082537
44225147.632,2430.07806627,-3153.27966205
48421626.123,2178.37110599,-3039.4426628
53016304.116,1949.14584824,-2915.71096521
58046966.348,1735.70741918,-2782.03944439
63554982.914,1537.87470609,-2642.90896728
69585649.471,1356.76196014,-2497.55814248
76188559.737,1191.92637213,-2349.94834029
83418013.325,1038.59041231,-2200.21202317
91333462.282,902.497368917,-2052.77929613
