Bottle Number:0
11/10/2017 3:07:18 PM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,8622.98104028,-4535.29429583
1094.889,8563.80156419,-4202.212466
1198.782,8508.24045708,-3899.15518978
1312.533,8455.62662896,-3621.166488
1437.078,8405.60082175,-3365.4596489
1573.441,8357.65586072,-3130.01081785
1722.743,8311.59355831,-2913.43498527
1886.212,8267.27823068,-2713.73811251
2065.193,8224.33075588,-2529.68482017
2261.157,8182.66353857,-2359.88600317
2475.716,8141.90935992,-2203.19860447
2710.634,8102.05122508,-2058.42506623
2967.843,8063.0937371,-1924.71576509
3249.459,8024.96049713,-1800.98888014
3557.796,7987.60562113,-1686.27493902
3895.392,7951.06345571,-1579.80430567
4265.022,7915.37796108,-1480.85052623
4669.725,7880.54224942,-1388.81280982
5112.831,7846.60135939,-1302.93776825
5597.982,7813.66532437,-1222.60232657
6129.169,7781.74533295,-1147.42254088
6710.759,7750.97404888,-1077.08770215
7347.536,7721.39249164,-1011.19253016
8044.736,7693.02584406,-949.256219252
8808.093,7665.84962505,-890.928099819
9643.884,7639.98724805,-835.996388768
10558.982,7615.43035358,-784.330293024
11560.913,7592.19784351,-735.695470777
12657.916,7570.20562898,-689.872634248
13859.012,7549.59209824,-646.660099112
15174.08,7530.18214538,-605.937054608
16613.932,7512.01584487,-567.555343901
18190.411,7495.06716673,-531.414590115
19916.481,7479.33187033,-497.363450549
21806.335,7464.67203731,-465.495917209
23875.515,7451.08926582,-435.557984091
26141.038,7438.55825276,-407.486150719
28621.534,7426.9986306,-381.1211016
31337.402,7416.38585005,-356.496059899
34310.976,7406.57936726,-333.495309064
37566.709,7397.6531245,-312.014709377
41131.375,7389.44644274,-292.073168034
45034.289,7381.96735803,-273.528515155
49307.546,7375.11048013,-256.374587872
53986.288,7368.81398344,-240.538780165
59108.991,7363.12969332,-225.958943248
64717.782,7357.86242429,-212.57531669
70858.785,7353.13277441,-200.372693185
77582.502,7348.76161087,-189.293961886
84944.225,7344.78445925,-179.349233284
93004.495,7341.19909308,-170.404694792
101829.595,7337.83243711,-162.582486852
111492.1,7334.74283038,-155.656689668
122071.47,7331.92295019,-149.722625312
133654.705,7329.28650123,-144.697638787
146337.062,7326.86337606,-140.600158497
160222.834,7324.57933915,-137.358962432
175426.213,7322.46381746,-135.062662215
192072.225,7320.42912965,-133.607671906
210297.759,7318.4814527,-133.010211886
230252.696,7316.61264514,-133.257553386
252101.136,7314.85856967,-134.427937128
276022.752,7313.09291433,-136.569737002
302214.266,7311.38760456,-139.602205922
330891.064,7309.73560226,-143.63984733
362288.975,7308.13041276,-148.651406835
396666.201,7306.46197736,-154.851349368
434305.446,7304.77549025,-162.084298389
475516.241,7303.12248878,-170.411896164
520637.485,7301.48426991,-180.253310041
570040.237,7299.91550844,-191.529077017
624130.765,7298.12892146,-203.995109862
683353.887,7296.12566954,-217.925327221
748196.631,7293.77194176,-233.240048743
819192.234,7291.16973222,-250.147336558
896924.538,7288.23882839,-268.819178852
982032.779,7284.43691066,-289.628819955
1075216.853,7281.15346447,-313.151898037
1177243.068,7276.56761602,-338.111450221
1288950.444,7272.87819691,-366.273784154
1411257.618,7267.47624706,-396.933980425
1545170.393,7259.23346368,-433.787601259
1691790.012,7252.90607936,-468.521053385
1852322.216,7246.20504923,-506.599717018
2028087.154,7234.08435476,-551.86552857
2220530.245,7224.49424729,-599.370535383
2431234.062,7216.54359077,-651.642593834
2661931.346,7202.34304445,-710.294519183
2914519.257,7184.81751851,-772.672502838
3191074.973,7165.09522611,-837.869987201
3493872.775,7143.45920218,-910.863130859
3825402.747,7116.61903188,-987.128385605
4188391.254,7088.02968554,-1072.89460911
4585823.366,7052.74611374,-1163.88358583
5020967.4,7011.26039763,-1262.8657858
5497401.8,6965.19901594,-1368.17097726
6019044.568,6907.96975351,-1480.65825172
6590185.478,6846.11359309,-1599.70333715
7215521.358,6771.91308739,-1727.00558145
7900194.712,6686.40617091,-1859.11258863
8649836.013,6588.07406893,-1996.88816028
9470610.001,6474.69762097,-2141.80611941
10369266.383,6345.02773593,-2287.40816544
11353195.339,6198.2335887,-2437.54954907
12430488.296,6032.8377905,-2584.71743215
13610004.466,5845.93295422,-2733.64001239
14901443.705,5640.42575207,-2874.80737539
16315426.277,5519.48401445,-2930.64746096
17863580.192,5285.0722476,-3056.28692782
19558636.83,5037.85450312,-3165.74867596
21414535.639,4762.35355158,-3265.44306451
23446538.764,4478.1865524,-3331.59177687
25671356.563,4178.16539971,-3380.87180732
28107285.021,3884.93321462,-3397.07588565
30774356.209,3578.78986568,-3399.68237119
33694503.022,3272.27436575,-3403.77191426
36891739.544,2957.38979629,-3305.46432042
40392358.532,2692.15407857,-3222.91019253
44225147.632,2434.95091672,-3129.16228914
48421626.123,2185.67815077,-3019.214789
53016304.116,1957.36026381,-2896.91419861
58046966.348,1743.48207862,-2766.40097547
63554982.914,1546.02029114,-2630.20336285
69585649.471,1365.36356595,-2485.91753438
76188559.737,1200.30335268,-2340.4506239
83418013.325,1046.90005722,-2192.51932952
91333462.282,910.296261533,-2046.45931724
