4294A REV1.11
"DATE:      1 -100"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	9.153570e+03	0.000000e+00
1.05925400000e+03	9.083246e+03	0.000000e+00
1.12201800000e+03	9.017902e+03	0.000000e+00
1.18850200000e+03	8.955348e+03	0.000000e+00
1.25892500000e+03	8.897168e+03	0.000000e+00
1.33352100000e+03	8.840303e+03	0.000000e+00
1.41253800000e+03	8.787488e+03	0.000000e+00
1.49623600000e+03	8.737205e+03	0.000000e+00
1.58489300000e+03	8.689324e+03	0.000000e+00
1.67880400000e+03	8.643926e+03	0.000000e+00
1.77827900000e+03	8.600402e+03	0.000000e+00
1.88364900000e+03	8.559039e+03	0.000000e+00
1.99526200000e+03	8.519445e+03	0.000000e+00
2.11348900000e+03	8.482143e+03	0.000000e+00
2.23872100000e+03	8.445594e+03	0.000000e+00
2.37137400000e+03	8.410789e+03	0.000000e+00
2.51188600000e+03	8.378184e+03	0.000000e+00
2.66072500000e+03	8.346320e+03	0.000000e+00
2.81838300000e+03	8.316965e+03	0.000000e+00
2.98538300000e+03	8.288637e+03	0.000000e+00
3.16227800000e+03	8.259895e+03	0.000000e+00
3.34965400000e+03	8.234348e+03	0.000000e+00
3.54813400000e+03	8.208730e+03	0.000000e+00
3.75837400000e+03	8.182948e+03	0.000000e+00
3.98107200000e+03	8.158433e+03	0.000000e+00
4.21696500000e+03	8.136109e+03	0.000000e+00
4.46683600000e+03	8.114599e+03	0.000000e+00
4.73151300000e+03	8.092630e+03	0.000000e+00
5.01187200000e+03	8.071757e+03	0.000000e+00
5.30884400000e+03	8.051518e+03	0.000000e+00
5.62341300000e+03	8.030996e+03	0.000000e+00
5.95662100000e+03	8.012060e+03	0.000000e+00
6.30957300000e+03	7.994718e+03	0.000000e+00
6.68343900000e+03	7.975356e+03	0.000000e+00
7.07945800000e+03	7.957025e+03	0.000000e+00
7.49894200000e+03	7.940002e+03	0.000000e+00
7.94328200000e+03	7.923688e+03	0.000000e+00
8.41395100000e+03	7.907297e+03	0.000000e+00
8.91250900000e+03	7.890455e+03	0.000000e+00
9.44060900000e+03	7.874953e+03	0.000000e+00
1.00000000000e+04	7.857675e+03	0.000000e+00
1.05925370000e+04	7.843446e+03	0.000000e+00
1.12201850000e+04	7.827612e+03	0.000000e+00
1.18850220000e+04	7.812230e+03	0.000000e+00
1.25892540000e+04	7.798598e+03	0.000000e+00
1.33352140000e+04	7.782353e+03	0.000000e+00
1.41253750000e+04	7.769636e+03	0.000000e+00
1.49623570000e+04	7.754430e+03	0.000000e+00
1.58489320000e+04	7.741652e+03	0.000000e+00
1.67880400000e+04	7.728368e+03	0.000000e+00
1.77827940000e+04	7.715558e+03	0.000000e+00
1.88364910000e+04	7.703286e+03	0.000000e+00
1.99526230000e+04	7.690415e+03	0.000000e+00
2.11348900000e+04	7.678843e+03	0.000000e+00
2.23872110000e+04	7.669069e+03	0.000000e+00
2.37137370000e+04	7.657636e+03	0.000000e+00
2.51188640000e+04	7.647222e+03	0.000000e+00
2.66072510000e+04	7.637017e+03	0.000000e+00
2.81838290000e+04	7.627286e+03	0.000000e+00
2.98538260000e+04	7.617040e+03	0.000000e+00
3.16227770000e+04	7.608118e+03	0.000000e+00
3.34965440000e+04	7.600137e+03	0.000000e+00
3.54813390000e+04	7.591313e+03	0.000000e+00
3.75837400000e+04	7.583100e+03	0.000000e+00
3.98107170000e+04	7.574828e+03	0.000000e+00
4.21696500000e+04	7.568416e+03	0.000000e+00
4.46683590000e+04	7.560361e+03	0.000000e+00
4.73151260000e+04	7.554164e+03	0.000000e+00
5.01187230000e+04	7.547651e+03	0.000000e+00
5.30884440000e+04	7.541617e+03	0.000000e+00
5.62341330000e+04	7.536021e+03	0.000000e+00
5.95662140000e+04	7.529280e+03	0.000000e+00
6.30957340000e+04	7.524453e+03	0.000000e+00
6.68343920000e+04	7.519404e+03	0.000000e+00
7.07945780000e+04	7.515120e+03	0.000000e+00
7.49894210000e+04	7.509990e+03	0.000000e+00
7.94328230000e+04	7.504790e+03	0.000000e+00
8.41395140000e+04	7.500468e+03	0.000000e+00
8.91250940000e+04	7.496364e+03	0.000000e+00
9.44060880000e+04	7.492396e+03	0.000000e+00
1.00000000000e+05	7.488961e+03	0.000000e+00
1.05925373000e+05	7.485718e+03	0.000000e+00
1.12201845000e+05	7.481386e+03	0.000000e+00
1.18850223000e+05	7.478030e+03	0.000000e+00
1.25892541000e+05	7.476251e+03	0.000000e+00
1.33352143000e+05	7.472712e+03	0.000000e+00
1.41253754000e+05	7.469641e+03	0.000000e+00
1.49623566000e+05	7.467526e+03	0.000000e+00
1.58489319000e+05	7.464331e+03	0.000000e+00
1.67880402000e+05	7.462171e+03	0.000000e+00
1.77827941000e+05	7.459627e+03	0.000000e+00
1.88364909000e+05	7.457109e+03	0.000000e+00
1.99526231000e+05	7.455530e+03	0.000000e+00
2.11348904000e+05	7.453037e+03	0.000000e+00
2.23872114000e+05	7.450939e+03	0.000000e+00
2.37137371000e+05	7.449723e+03	0.000000e+00
2.51188643000e+05	7.446521e+03	0.000000e+00
2.66072506000e+05	7.445030e+03	0.000000e+00
2.81838293000e+05	7.443455e+03	0.000000e+00
2.98538262000e+05	7.441042e+03	0.000000e+00
3.16227766000e+05	7.438957e+03	0.000000e+00
3.34965439000e+05	7.437455e+03	0.000000e+00
3.54813389000e+05	7.435432e+03	0.000000e+00
3.75837404000e+05	7.433719e+03	0.000000e+00
3.98107171000e+05	7.432201e+03	0.000000e+00
4.21696503000e+05	7.431003e+03	0.000000e+00
4.46683592000e+05	7.428282e+03	0.000000e+00
4.73151259000e+05	7.426383e+03	0.000000e+00
5.01187234000e+05	7.425032e+03	0.000000e+00
5.30884444000e+05	7.422811e+03	0.000000e+00
5.62341325000e+05	7.420898e+03	0.000000e+00
5.95662144000e+05	7.418669e+03	0.000000e+00
6.30957344000e+05	7.417234e+03	0.000000e+00
6.68343918000e+05	7.414996e+03	0.000000e+00
7.07945784000e+05	7.413094e+03	0.000000e+00
7.49894209000e+05	7.411146e+03	0.000000e+00
7.94328235000e+05	7.408718e+03	0.000000e+00
8.41395142000e+05	7.406257e+03	0.000000e+00
8.91250938000e+05	7.403955e+03	0.000000e+00
9.44060876000e+05	7.401107e+03	0.000000e+00
1.00000000000e+06	7.398551e+03	0.000000e+00
1.05925372500e+06	7.394731e+03	0.000000e+00
1.12201845400e+06	7.390494e+03	0.000000e+00
1.18850222700e+06	7.387344e+03	0.000000e+00
1.25892541200e+06	7.382861e+03	0.000000e+00
1.33352143200e+06	7.378132e+03	0.000000e+00
1.41253754500e+06	7.374675e+03	0.000000e+00
1.49623565600e+06	7.368594e+03	0.000000e+00
1.58489319200e+06	7.363733e+03	0.000000e+00
