4294A REV1.11
"DATE: May  2 2017"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	6.862330e+03	0.000000e+00
1.05925400000e+03	6.841785e+03	0.000000e+00
1.12201800000e+03	6.822044e+03	0.000000e+00
1.18850200000e+03	6.802596e+03	0.000000e+00
1.25892500000e+03	6.783686e+03	0.000000e+00
1.33352100000e+03	6.765436e+03	0.000000e+00
1.41253800000e+03	6.746838e+03	0.000000e+00
1.49623600000e+03	6.728681e+03	0.000000e+00
1.58489300000e+03	6.711584e+03	0.000000e+00
1.67880400000e+03	6.694818e+03	0.000000e+00
1.77827900000e+03	6.677484e+03	0.000000e+00
1.88364900000e+03	6.660792e+03	0.000000e+00
1.99526200000e+03	6.643769e+03	0.000000e+00
2.11348900000e+03	6.627175e+03	0.000000e+00
2.23872100000e+03	6.610579e+03	0.000000e+00
2.37137400000e+03	6.593964e+03	0.000000e+00
2.51188600000e+03	6.577229e+03	0.000000e+00
2.66072500000e+03	6.560298e+03	0.000000e+00
2.81838300000e+03	6.543254e+03	0.000000e+00
2.98538300000e+03	6.526668e+03	0.000000e+00
3.16227800000e+03	6.509041e+03	0.000000e+00
3.34965400000e+03	6.491512e+03	0.000000e+00
3.54813400000e+03	6.474928e+03	0.000000e+00
3.75837400000e+03	6.457869e+03	0.000000e+00
3.98107200000e+03	6.441005e+03	0.000000e+00
4.21696500000e+03	6.425100e+03	0.000000e+00
4.46683600000e+03	6.407698e+03	0.000000e+00
4.73151300000e+03	6.391786e+03	0.000000e+00
5.01187200000e+03	6.374794e+03	0.000000e+00
5.30884400000e+03	6.358228e+03	0.000000e+00
5.62341300000e+03	6.342572e+03	0.000000e+00
5.95662100000e+03	6.326773e+03	0.000000e+00
6.30957300000e+03	6.310186e+03	0.000000e+00
6.68343900000e+03	6.296180e+03	0.000000e+00
7.07945800000e+03	6.280791e+03	0.000000e+00
7.49894200000e+03	6.266404e+03	0.000000e+00
7.94328200000e+03	6.253120e+03	0.000000e+00
8.41395100000e+03	6.239701e+03	0.000000e+00
8.91250900000e+03	6.226274e+03	0.000000e+00
9.44060900000e+03	6.213335e+03	0.000000e+00
1.00000000000e+04	6.201262e+03	0.000000e+00
1.05925370000e+04	6.189094e+03	0.000000e+00
1.12201850000e+04	6.177122e+03	0.000000e+00
1.18850220000e+04	6.166928e+03	0.000000e+00
1.25892540000e+04	6.157873e+03	0.000000e+00
1.33352140000e+04	6.147584e+03	0.000000e+00
1.41253750000e+04	6.138251e+03	0.000000e+00
1.49623570000e+04	6.129346e+03	0.000000e+00
1.58489320000e+04	6.121594e+03	0.000000e+00
1.67880400000e+04	6.112538e+03	0.000000e+00
1.77827940000e+04	6.104849e+03	0.000000e+00
1.88364910000e+04	6.097492e+03	0.000000e+00
