Bottle Number:0
11/17/2017 11:52:42 AM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,8580.95082203,-6804.67626872
1059.254,8529.42266402,-6455.99815854
1122.018,8481.65999969,-6137.09018744
1188.502,8436.59351139,-5838.29374912
1258.925,8393.85724719,-5556.45538878
1333.521,8353.25812512,-5289.45998747
1412.538,8314.58660428,-5036.59710756
1496.236,8277.75503989,-4796.56854764
1584.893,8242.44277402,-4568.51659533
1678.804,8208.74503651,-4351.93524613
1778.279,8176.52556626,-4146.159019
1883.649,8145.72166983,-3950.65884664
1995.262,8116.26678865,-3764.91931233
2113.489,8087.95667702,-3588.01736025
2238.721,8060.76858027,-3419.99272598
2371.374,8034.56832801,-3260.3622073
2511.886,8009.30420365,-3108.58349772
2660.725,7984.89573814,-2964.53743928
2818.383,7961.38640996,-2827.70425433
2985.383,7938.60906163,-2697.97778498
3162.278,7916.54145383,-2574.88061256
3349.654,7895.08375294,-2458.11251747
3548.134,7874.23858723,-2347.09433653
3758.374,7853.88340534,-2241.83455499
3981.072,7833.99688969,-2142.08873646
4216.965,7814.44898443,-2047.51806287
4466.836,7795.28676111,-1957.98873223
4731.513,7776.43448263,-1873.14872162
5011.872,7757.80632573,-1792.65359102
5308.844,7739.38514407,-1716.38144236
5623.413,7721.08992757,-1644.02422651
5956.621,7702.9887064,-1575.41573414
6309.573,7684.96478339,-1510.4025015
6683.439,7667.1123288,-1448.78206596
7079.458,7649.28881527,-1390.36885149
7498.942,7631.58018759,-1334.92522965
7943.282,7613.85919954,-1282.14746254
8413.951,7596.25117475,-1231.84643609
8912.509,7578.66308472,-1183.99949836
9440.609,7561.16290146,-1138.35325715
10000,7543.71543443,-1094.73824603
10592.537,7526.40593725,-1053.15714323
11220.185,7509.20397375,-1013.36632242
11885.022,7492.19665514,-975.23219902
12589.254,7475.32349955,-938.626770524
13335.214,7458.68237546,-903.430300218
14125.375,7442.31835277,-869.612350126
14962.357,7426.17538893,-837.075998186
15848.932,7410.41218427,-805.646754826
16788.04,7394.96386696,-775.391154638
17782.794,7379.85475401,-746.126084526
18836.491,7365.14712571,-717.887359834
19952.623,7350.87179529,-690.646782023
21134.89,7337.03828771,-664.360538334
22387.211,7323.66141576,-638.983264985
23713.737,7310.73992447,-614.412556816
25118.864,7298.29757437,-590.751815593
26607.251,7286.31843117,-567.862261467
28183.829,7274.82470022,-545.738217484
29853.826,7263.83474107,-524.452282555
31622.777,7253.30559168,-503.860484134
33496.544,7243.27849342,-484.039870354
35481.339,7233.69825063,-464.963789352
37583.74,7224.56514227,-446.586350246
39810.717,7215.89190874,-428.942173854
42169.65,7207.63637033,-411.953150444
44668.359,7199.80684507,-395.668221112
47315.126,7192.3608294,-380.078750661
50118.723,7185.34048507,-365.103102946
53088.444,7178.61353572,-350.814296194
56234.133,7172.26677385,-337.129482828
59566.214,7166.2738242,-324.069584799
63095.734,7160.62092565,-311.597031861
66834.392,7155.21734921,-299.769122794
70794.578,7150.17680769,-288.487285004
74989.421,7145.37209429,-277.822351844
79432.823,7140.81038395,-267.68356658
84139.514,7136.47829413,-258.098344497
89125.094,7132.45834703,-249.090843423
94406.088,7128.6043093,-240.577575926
100000,7124.91150847,-232.616199767
105925.373,7121.44048556,-225.103474166
112201.845,7118.18300976,-218.14131643
118850.223,7115.05932819,-211.619580137
125892.541,7112.13003898,-205.602749386
133352.143,7109.30579128,-200.034129256
141253.754,7106.65432315,-194.928484329
149623.566,7104.10760842,-190.262100775
158489.319,7101.72994553,-186.070591302
167880.402,7099.40564331,-182.28438937
177827.941,7097.22420477,-178.952418591
188364.909,7095.12720719,-176.04692774
199526.231,7093.10115958,-173.62396909
211348.904,7091.1296946,-171.554620549
223872.114,7089.27902409,-169.893540753
237137.371,7087.48356325,-168.698847852
251188.643,7085.76108355,-167.955238702
266072.506,7084.08113025,-167.630104723
281838.293,7082.46008259,-167.694516621
298538.262,7080.85586393,-168.2747752
316227.766,7079.34680526,-169.277289979
334965.439,7077.85185095,-170.749971851
354813.389,7076.39571987,-172.643123391
375837.404,7075.01592022,-175.048965672
398107.171,7073.58358075,-178.041343613
421696.503,7072.14668704,-181.428490965
446683.592,7070.78728713,-185.313600467
473151.259,7069.44687816,-189.719235666
501187.234,7068.11314496,-194.723805397
530884.444,7066.841805,-200.542765404
562341.325,7065.55282783,-206.774201183
595662.144,7064.24663283,-213.523060732
630957.344,7062.84733138,-220.998328492
668343.918,7061.40239769,-228.983848964
707945.784,7059.81086301,-237.593132199
749894.209,7058.12343135,-246.768091074
794328.235,7056.25119128,-256.740772187
841395.142,7054.42592801,-267.287074523
891250.938,7052.39394521,-278.654347126
944060.876,7049.89228429,-290.858074268
1000000,7047.40909557,-304.119153948
1059253.725,7045.31182947,-318.651238105
1122018.454,7042.56812077,-333.636112
1188502.227,7039.47466262,-349.372263955
1258925.412,7037.16474086,-366.707629757
1333521.432,7034.06952356,-385.035361971
1412537.545,7030.45270303,-404.347735217
1496235.656,7024.62690031,-423.684471293
1584893.192,7019.28442142,-448.217652441
1678804.018,7015.76236286,-469.563083881
1778279.41,7012.55532287,-493.041282295
1883649.089,7006.61843449,-518.659204227
1995262.315,7001.31515991,-547.590345239
2113489.04,6994.43760442,-576.169187135
2238721.139,6988.26832196,-607.746046584
2371373.706,6979.92944261,-641.415690308
2511886.432,6972.14331182,-673.555208162
2660725.06,6963.55496904,-711.264782546
2818382.931,6954.61430439,-749.671606972
2985382.619,6941.06856479,-789.51497587
3162277.66,6930.52570928,-832.098254234
3349654.392,6916.08915946,-875.919227696
3548133.892,6900.05667833,-925.013561374
3758374.043,6885.74150944,-974.653311598
3981071.706,6866.55779583,-1025.5898187
4216965.034,6846.11535502,-1080.18573605
4466835.922,6823.10649744,-1136.84965286
4731512.59,6798.91038324,-1197.26504239
5011872.336,6772.15565866,-1259.11340184
5308844.442,6742.74406469,-1325.83763379
5623413.252,6710.08566724,-1392.47647723
5956621.435,6673.77881489,-1463.87202689
6309573.445,6635.50272755,-1538.1870558
6683439.176,6593.09998591,-1613.71622241
7079457.844,6545.97787712,-1693.79264819
7498942.093,6492.82770528,-1774.92629817
7943282.347,6435.64878994,-1860.51535251
8413951.416,6372.30260259,-1945.47147298
8912509.381,6305.06722107,-2033.69886714
9440608.763,6230.21753303,-2123.75951005
10000000,6149.71832228,-2214.16709257
10592537.252,6060.94438304,-2307.683776
11220184.543,5966.13807719,-2398.70471095
11885022.274,5863.45681969,-2491.70756651
12589254.118,5754.77070481,-2583.76294303
13335214.322,5636.86505553,-2674.50849303
14125375.446,5508.56779361,-2759.67969175
14962356.561,5376.67153686,-2845.04388373
15848931.925,5325.74026712,-2859.44798124
16788040.181,5184.50212588,-2936.50842963
17782794.1,5034.3441127,-3010.03806384
18836490.895,4879.00514826,-3080.05944225
19952623.15,4709.20696077,-3143.98556573
21134890.398,4537.19444264,-3192.32837816
22387211.386,4362.82589562,-3234.6059248
23713737.057,4183.6704326,-3271.52949704
25118864.315,3991.35890028,-3301.7429911
26607250.598,3806.02400526,-3309.87927579
28183829.313,3624.03740403,-3315.61695576
29853826.189,3426.94049738,-3309.94384362
31622776.602,3249.93662611,-3291.50109019
33496543.916,3057.09941684,-3284.09958389
35481338.923,2862.25418475,-3225.54741808
37583740.429,2698.2698504,-3173.81750214
39810717.055,2532.9019006,-3121.14674671
42169650.343,2372.16796806,-3061.84049987
44668359.215,2216.86059387,-2999.37244453
47315125.896,2064.95586717,-2926.70631926
50118723.363,1923.32066516,-2850.37644509
53088444.423,1786.34057321,-2771.57605236
56234132.519,1656.96084778,-2688.6429685
59566214.353,1533.74600119,-2602.79567035
63095734.448,1417.33407073,-2516.36518162
66834391.757,1307.46522046,-2427.330701
70794578.438,1203.65108416,-2336.41882738
74989420.933,1106.37939127,-2244.43781578
79432823.472,1014.31415848,-2152.9847297
84139514.165,928.516263906,-2059.82595547
89125093.813,849.614443834,-1969.10220746
94406087.629,773.296369405,-1875.99569558
