Bottle Number:0
11/17/2017 3:53:17 PM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,8732.66229893,-6888.4360288
1059.254,8673.43461576,-6544.45110085
1122.018,8617.87866276,-6227.75958066
1188.502,8565.11676466,-5929.97426739
1258.925,8514.8701653,-5648.45606897
1333.521,8466.9179372,-5381.28142145
1412.538,8421.09089248,-5127.93433264
1496.236,8377.30407354,-4887.15412909
1584.893,8335.30863433,-4658.1770362
1678.804,8295.20567087,-4440.53529818
1778.279,8256.79262621,-4233.54683397
1883.649,8220.00601928,-4036.6103574
1995.262,8184.77540751,-3849.35409635
2113.489,8151.02819673,-3670.84446195
2238.721,8118.61329088,-3501.14788723
2371.374,8087.4144369,-3339.69258319
2511.886,8057.45587972,-3186.06088435
2660.725,8028.57311741,-3040.03236012
2818.383,8000.76371754,-2901.13587597
2985.383,7974.00455138,-2769.31142892
3162.278,7948.11685269,-2644.04364873
3349.654,7923.14214816,-2525.06265969
3548.134,7898.91455327,-2411.87586297
3758.374,7875.42836805,-2304.33217144
3981.072,7852.59055109,-2202.29895282
4216.965,7830.37585075,-2105.48945001
4466.836,7808.64180267,-2013.65819577
4731.513,7787.43968821,-1926.57488499
5011.872,7766.64606691,-1843.83051195
5308.844,7746.22042668,-1765.31617772
5623.413,7726.17338388,-1690.74576785
5956.621,7706.39066153,-1619.9980336
6309.573,7686.86861577,-1552.80329551
6683.439,7667.60579077,-1489.14786499
7079.458,7648.55680567,-1428.71504881
7498.942,7629.74340644,-1371.25552883
7943.282,7611.08367346,-1316.58000162
8413.951,7592.5696732,-1264.47042523
8912.509,7574.21858194,-1214.85870075
9440.609,7556.01204029,-1167.50101948
10000,7538.02350264,-1122.3131529
10592.537,7520.22235519,-1079.24225086
11220.185,7502.58338661,-1037.99925768
11885.022,7485.21085678,-998.522171633
12589.254,7468.04340131,-960.653720023
13335.214,7451.18779875,-924.27830598
14125.375,7434.57088328,-889.369151246
14962.357,7418.33367382,-855.789422314
15848.932,7402.40903372,-823.470872668
16788.04,7386.80470642,-792.31000713
17782.794,7371.64208419,-762.337482026
18836.491,7356.86054466,-733.380982392
19952.623,7342.52476955,-705.499312254
21134.89,7328.6082162,-678.654901614
22387.211,7315.1542408,-652.789645391
23713.737,7302.18249681,-627.810275808
25118.864,7289.6692801,-603.721299366
26607.251,7277.61599384,-580.508359403
28183.829,7266.04342242,-558.111111104
29853.826,7254.97249157,-536.573698365
31622.777,7244.31528395,-515.809095778
33496.544,7234.17668626,-495.830985584
35481.339,7224.43016653,-476.612147092
37583.74,7215.17354809,-458.182497979
39810.717,7206.3317041,-440.473932139
42169.65,7197.89676259,-423.509589945
44668.359,7189.89001679,-407.241124603
47315.126,7182.2204457,-391.661148657
50118.723,7174.9509052,-376.771710312
53088.444,7168.01838966,-362.564708217
56234.133,7161.37976463,-349.001754233
59566.214,7155.08102496,-336.087957838
63095.734,7149.11408381,-323.790687602
66834.392,7143.4108716,-312.093371834
70794.578,7137.98284268,-301.026125156
74989.421,7132.83275322,-290.52985507
79432.823,7127.85500171,-280.580741548
84139.514,7123.18165026,-271.255128881
89125.094,7118.71497486,-262.453483338
94406.088,7114.4297564,-254.220681835
100000,7110.27324509,-246.446376148
105925.373,7106.33795345,-239.246670329
112201.845,7102.54874242,-232.542878902
118850.223,7098.90297151,-226.308967801
125892.541,7095.44599008,-220.542857889
133352.143,7092.06203687,-215.267517417
141253.754,7088.81846926,-210.438627441
149623.566,7085.68086355,-206.052659456
158489.319,7082.64882529,-202.110281327
167880.402,7079.69933502,-198.631076615
177827.941,7076.83693095,-195.590232539
188364.909,7074.04082238,-192.958178689
199526.231,7071.3213275,-190.760010886
211348.904,7068.60026605,-188.986470402
223872.114,7065.99244701,-187.579952965
237137.371,7063.45157717,-186.605062505
251188.643,7060.91951456,-186.105516357
266072.506,7058.43561005,-185.978886381
281838.293,7055.96694838,-186.304992102
298538.262,7053.5382171,-187.060407605
316227.766,7051.16713641,-188.228168963
334965.439,7048.76679104,-189.851787769
354813.389,7046.45268703,-191.898866043
375837.404,7044.14538656,-194.431634067
398107.171,7041.80281165,-197.468452071
421696.503,7039.38711084,-200.942723807
446683.592,7037.05657912,-204.883424246
473151.259,7034.73463568,-209.30197291
501187.234,7032.47122603,-214.3248288
530884.444,7030.25279053,-220.08903022
562341.325,7027.97297132,-226.263321312
595662.144,7025.73307294,-232.950296506
630957.344,7023.30287749,-240.254556372
668343.918,7020.87429315,-248.1271668
707945.784,7018.30357751,-256.543783419
749894.209,7015.6321934,-265.532654204
794328.235,7012.88462226,-275.238531014
841395.142,7010.08352933,-285.521722636
