4294A REV1.11
"DATE:     56 -100"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	9.082369e+03	0.000000e+00
1.09488900000e+03	9.007844e+03	0.000000e+00
1.19878200000e+03	8.937934e+03	0.000000e+00
1.31253300000e+03	8.872133e+03	0.000000e+00
1.43707800000e+03	8.809510e+03	0.000000e+00
1.57344100000e+03	8.753207e+03	0.000000e+00
1.72274300000e+03	8.698406e+03	0.000000e+00
1.88621200000e+03	8.648234e+03	0.000000e+00
2.06519300000e+03	8.601121e+03	0.000000e+00
2.26115700000e+03	8.555381e+03	0.000000e+00
2.47571600000e+03	8.512094e+03	0.000000e+00
2.71063400000e+03	8.472391e+03	0.000000e+00
2.96784300000e+03	8.434219e+03	0.000000e+00
3.24945900000e+03	8.398520e+03	0.000000e+00
3.55779600000e+03	8.363246e+03	0.000000e+00
3.89539200000e+03	8.329051e+03	0.000000e+00
4.26502200000e+03	8.296121e+03	0.000000e+00
4.66972500000e+03	8.264330e+03	0.000000e+00
5.11283100000e+03	8.233064e+03	0.000000e+00
5.59798200000e+03	8.203877e+03	0.000000e+00
6.12916900000e+03	8.173529e+03	0.000000e+00
6.71075900000e+03	8.142942e+03	0.000000e+00
7.34753600000e+03	8.117521e+03	0.000000e+00
8.04473600000e+03	8.088985e+03	0.000000e+00
8.80809300000e+03	8.062262e+03	0.000000e+00
9.64388400000e+03	8.036539e+03	0.000000e+00
1.05589820000e+04	8.007786e+03	0.000000e+00
1.15609130000e+04	7.981840e+03	0.000000e+00
1.26579160000e+04	7.957442e+03	0.000000e+00
1.38590120000e+04	7.934027e+03	0.000000e+00
1.51740800000e+04	7.911708e+03	0.000000e+00
1.66139320000e+04	7.889651e+03	0.000000e+00
1.81904110000e+04	7.869088e+03	0.000000e+00
1.99164810000e+04	7.850768e+03	0.000000e+00
2.18063350000e+04	7.830961e+03	0.000000e+00
2.38755150000e+04	7.813580e+03	0.000000e+00
2.61410380000e+04	7.797806e+03	0.000000e+00
2.86215340000e+04	7.782817e+03	0.000000e+00
3.13374020000e+04	7.768672e+03	0.000000e+00
3.43109760000e+04	7.755991e+03	0.000000e+00
3.75667090000e+04	7.743373e+03	0.000000e+00
4.11313750000e+04	7.733862e+03	0.000000e+00
4.50342890000e+04	7.722876e+03	0.000000e+00
4.93075460000e+04	7.713406e+03	0.000000e+00
5.39862880000e+04	7.706066e+03	0.000000e+00
5.91089910000e+04	7.698232e+03	0.000000e+00
6.47177820000e+04	7.691683e+03	0.000000e+00
7.08587850000e+04	7.684186e+03	0.000000e+00
7.75825020000e+04	7.677532e+03	0.000000e+00
8.49442250000e+04	7.672160e+03	0.000000e+00
9.30044950000e+04	7.666805e+03	0.000000e+00
1.01829595000e+05	7.661655e+03	0.000000e+00
1.11492100000e+05	7.657508e+03	0.000000e+00
1.22071470000e+05	7.652886e+03	0.000000e+00
1.33654705000e+05	7.649397e+03	0.000000e+00
1.46337062000e+05	7.645993e+03	0.000000e+00
1.60222834000e+05	7.641993e+03	0.000000e+00
1.75426213000e+05	7.639055e+03	0.000000e+00
1.92072225000e+05	7.635399e+03	0.000000e+00
2.10297759000e+05	7.632820e+03	0.000000e+00
2.30252696000e+05	7.630088e+03	0.000000e+00
2.52101136000e+05	7.627070e+03	0.000000e+00
2.76022752000e+05	7.623524e+03	0.000000e+00
3.02214266000e+05	7.621316e+03	0.000000e+00
3.30891064000e+05	7.618135e+03	0.000000e+00
3.62288975000e+05	7.615344e+03	0.000000e+00
3.96666201000e+05	7.612604e+03	0.000000e+00
4.34305446000e+05	7.609039e+03	0.000000e+00
4.75516241000e+05	7.606487e+03	0.000000e+00
5.20637485000e+05	7.602840e+03	0.000000e+00
5.70040237000e+05	7.599687e+03	0.000000e+00
6.24130765000e+05	7.596117e+03	0.000000e+00
6.83353887000e+05	7.591819e+03	0.000000e+00
7.48196631000e+05	7.588068e+03	0.000000e+00
8.19192234000e+05	7.583966e+03	0.000000e+00
8.96924538000e+05	7.578835e+03	0.000000e+00
9.82032779000e+05	7.573120e+03	0.000000e+00
1.07521685300e+06	7.566241e+03	0.000000e+00
