4294A REV1.11
"DATE:     56 -100"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	9.170742e+03	0.000000e+00
1.09488900000e+03	9.105975e+03	0.000000e+00
1.19878200000e+03	9.044789e+03	0.000000e+00
1.31253300000e+03	8.988658e+03	0.000000e+00
1.43707800000e+03	8.935711e+03	0.000000e+00
1.57344100000e+03	8.886375e+03	0.000000e+00
1.72274300000e+03	8.840012e+03	0.000000e+00
1.88621200000e+03	8.796965e+03	0.000000e+00
2.06519300000e+03	8.756922e+03	0.000000e+00
2.26115700000e+03	8.717631e+03	0.000000e+00
2.47571600000e+03	8.682070e+03	0.000000e+00
2.71063400000e+03	8.647551e+03	0.000000e+00
2.96784300000e+03	8.616701e+03	0.000000e+00
3.24945900000e+03	8.587227e+03	0.000000e+00
3.55779600000e+03	8.557883e+03	0.000000e+00
3.89539200000e+03	8.531035e+03	0.000000e+00
4.26502200000e+03	8.504539e+03	0.000000e+00
4.66972500000e+03	8.480980e+03	0.000000e+00
5.11283100000e+03	8.455816e+03	0.000000e+00
5.59798200000e+03	8.436754e+03	0.000000e+00
6.12916900000e+03	8.413961e+03	0.000000e+00
6.71075900000e+03	8.393904e+03	0.000000e+00
7.34753600000e+03	8.375695e+03	0.000000e+00
8.04473600000e+03	8.358617e+03	0.000000e+00
8.80809300000e+03	8.340277e+03	0.000000e+00
9.64388400000e+03	8.323398e+03	0.000000e+00
1.05589820000e+04	8.306988e+03	0.000000e+00
1.15609130000e+04	8.291926e+03	0.000000e+00
1.26579160000e+04	8.278088e+03	0.000000e+00
1.38590120000e+04	8.263217e+03	0.000000e+00
1.51740800000e+04	8.251895e+03	0.000000e+00
1.66139320000e+04	8.237906e+03	0.000000e+00
1.81904110000e+04	8.225803e+03	0.000000e+00
1.99164810000e+04	8.213547e+03	0.000000e+00
2.18063350000e+04	8.203461e+03	0.000000e+00
2.38755150000e+04	8.191629e+03	0.000000e+00
2.61410380000e+04	8.181567e+03	0.000000e+00
2.86215340000e+04	8.171468e+03	0.000000e+00
3.13374020000e+04	8.164060e+03	0.000000e+00
3.43109760000e+04	8.154307e+03	0.000000e+00
3.75667090000e+04	8.144797e+03	0.000000e+00
4.11313750000e+04	8.135440e+03	0.000000e+00
4.50342890000e+04	8.127144e+03	0.000000e+00
4.93075460000e+04	8.121935e+03	0.000000e+00
5.39862880000e+04	8.114230e+03	0.000000e+00
5.91089910000e+04	8.107330e+03	0.000000e+00
6.47177820000e+04	8.101329e+03	0.000000e+00
7.08587850000e+04	8.093938e+03	0.000000e+00
7.75825020000e+04	8.087935e+03	0.000000e+00
8.49442250000e+04	8.081533e+03	0.000000e+00
9.30044950000e+04	8.076324e+03	0.000000e+00
1.01829595000e+05	8.070427e+03	0.000000e+00
1.11492100000e+05	8.064518e+03	0.000000e+00
1.22071470000e+05	8.060439e+03	0.000000e+00
1.33654705000e+05	8.055756e+03	0.000000e+00
1.46337062000e+05	8.051971e+03	0.000000e+00
1.60222834000e+05	8.047582e+03	0.000000e+00
1.75426213000e+05	8.043286e+03	0.000000e+00
1.92072225000e+05	8.039895e+03	0.000000e+00
2.10297759000e+05	8.036895e+03	0.000000e+00
2.30252696000e+05	8.033910e+03	0.000000e+00
2.52101136000e+05	8.030616e+03	0.000000e+00
2.76022752000e+05	8.027798e+03	0.000000e+00
3.02214266000e+05	8.025380e+03	0.000000e+00
3.30891064000e+05	8.021996e+03	0.000000e+00
