4294A REV1.11
"DATE:     56 -100"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	9.891812e+03	0.000000e+00
1.09488900000e+03	9.807982e+03	0.000000e+00
1.19878200000e+03	9.728523e+03	0.000000e+00
1.31253300000e+03	9.654436e+03	0.000000e+00
1.43707800000e+03	9.587438e+03	0.000000e+00
1.57344100000e+03	9.524848e+03	0.000000e+00
1.72274300000e+03	9.466688e+03	0.000000e+00
1.88621200000e+03	9.414715e+03	0.000000e+00
2.06519300000e+03	9.365502e+03	0.000000e+00
2.26115700000e+03	9.317629e+03	0.000000e+00
2.47571600000e+03	9.273578e+03	0.000000e+00
2.71063400000e+03	9.232164e+03	0.000000e+00
2.96784300000e+03	9.194035e+03	0.000000e+00
3.24945900000e+03	9.157961e+03	0.000000e+00
3.55779600000e+03	9.123055e+03	0.000000e+00
3.89539200000e+03	9.086965e+03	0.000000e+00
4.26502200000e+03	9.053344e+03	0.000000e+00
4.66972500000e+03	9.019996e+03	0.000000e+00
5.11283100000e+03	8.987441e+03	0.000000e+00
5.59798200000e+03	8.955656e+03	0.000000e+00
6.12916900000e+03	8.923332e+03	0.000000e+00
6.71075900000e+03	8.892553e+03	0.000000e+00
7.34753600000e+03	8.861023e+03	0.000000e+00
8.04473600000e+03	8.832270e+03	0.000000e+00
8.80809300000e+03	8.801820e+03	0.000000e+00
9.64388400000e+03	8.774160e+03	0.000000e+00
1.05589820000e+04	8.739770e+03	0.000000e+00
1.15609130000e+04	8.710676e+03	0.000000e+00
1.26579160000e+04	8.682066e+03	0.000000e+00
1.38590120000e+04	8.654035e+03	0.000000e+00
1.51740800000e+04	8.625793e+03	0.000000e+00
1.66139320000e+04	8.599480e+03	0.000000e+00
1.81904110000e+04	8.573855e+03	0.000000e+00
1.99164810000e+04	8.549381e+03	0.000000e+00
2.18063350000e+04	8.525816e+03	0.000000e+00
2.38755150000e+04	8.504484e+03	0.000000e+00
2.61410380000e+04	8.484609e+03	0.000000e+00
2.86215340000e+04	8.464148e+03	0.000000e+00
3.13374020000e+04	8.446232e+03	0.000000e+00
3.43109760000e+04	8.429969e+03	0.000000e+00
3.75667090000e+04	8.413172e+03	0.000000e+00
4.11313750000e+04	8.398291e+03	0.000000e+00
4.50342890000e+04	8.384715e+03	0.000000e+00
4.93075460000e+04	8.371818e+03	0.000000e+00
5.39862880000e+04	8.360688e+03	0.000000e+00
5.91089910000e+04	8.350043e+03	0.000000e+00
6.47177820000e+04	8.339746e+03	0.000000e+00
7.08587850000e+04	8.331348e+03	0.000000e+00
7.75825020000e+04	8.321373e+03	0.000000e+00
8.49442250000e+04	8.312461e+03	0.000000e+00
9.30044950000e+04	8.306906e+03	0.000000e+00
1.01829595000e+05	8.299271e+03	0.000000e+00
1.11492100000e+05	8.293395e+03	0.000000e+00
1.22071470000e+05	8.288445e+03	0.000000e+00
1.33654705000e+05	8.282703e+03	0.000000e+00
1.46337062000e+05	8.277969e+03	0.000000e+00
1.60222834000e+05	8.273365e+03	0.000000e+00
1.75426213000e+05	8.269242e+03	0.000000e+00
1.92072225000e+05	8.266133e+03	0.000000e+00
2.10297759000e+05	8.262227e+03	0.000000e+00
2.30252696000e+05	8.259137e+03	0.000000e+00
2.52101136000e+05	8.256705e+03	0.000000e+00
2.76022752000e+05	8.252965e+03	0.000000e+00
3.02214266000e+05	8.249867e+03	0.000000e+00
3.30891064000e+05	8.248500e+03	0.000000e+00
3.62288975000e+05	8.244609e+03	0.000000e+00
3.96666201000e+05	8.241701e+03	0.000000e+00
4.34305446000e+05	8.238680e+03	0.000000e+00
4.75516241000e+05	8.236363e+03	0.000000e+00
5.20637485000e+05	8.233588e+03	0.000000e+00
5.70040237000e+05	8.230605e+03	0.000000e+00
6.24130765000e+05	8.227203e+03	0.000000e+00
6.83353887000e+05	8.224344e+03	0.000000e+00
7.48196631000e+05	8.221250e+03	0.000000e+00
8.19192234000e+05	8.216826e+03	0.000000e+00
8.96924538000e+05	8.212045e+03	0.000000e+00
9.82032779000e+05	8.207000e+03	0.000000e+00
1.07521685300e+06	8.200984e+03	0.000000e+00
1.17724306800e+06	8.191936e+03	0.000000e+00
1.28895044400e+06	8.183621e+03	0.000000e+00
1.41125761800e+06	8.173953e+03	0.000000e+00
1.54517039300e+06	8.163320e+03	0.000000e+00
1.69179001200e+06	8.149371e+03	0.000000e+00
1.85232221600e+06	8.134241e+03	0.000000e+00
2.02808715400e+06	8.114992e+03	0.000000e+00
2.22053024500e+06	8.093905e+03	0.000000e+00
2.43123406200e+06	8.067412e+03	0.000000e+00
2.66193134600e+06	8.036443e+03	0.000000e+00
2.91451925700e+06	7.999711e+03	0.000000e+00
3.19107497300e+06	7.956796e+03	0.000000e+00
3.49387277500e+06	7.906297e+03	0.000000e+00
3.82540274700e+06	7.845703e+03	0.000000e+00
4.18839125400e+06	7.775812e+03	0.000000e+00
4.58582336600e+06	7.693007e+03	0.000000e+00
5.02096740000e+06	7.596854e+03	0.000000e+00
5.49740180000e+06	7.485360e+03	0.000000e+00
6.01904456800e+06	7.356337e+03	0.000000e+00
6.59018547800e+06	7.208739e+03	0.000000e+00
7.21552135800e+06	7.042752e+03	0.000000e+00
7.90019471200e+06	6.845883e+03	0.000000e+00
8.64983601300e+06	6.619931e+03	0.000000e+00
9.47061000100e+06	6.378305e+03	0.000000e+00
1.03692663830e+07	6.111752e+03	0.000000e+00
1.13531953390e+07	5.819818e+03	0.000000e+00
1.24304882960e+07	5.514440e+03	0.000000e+00
1.36100044660e+07	5.158196e+03	0.000000e+00
1.49014437050e+07	4.813974e+03	0.000000e+00
1.63154262770e+07	4.578549e+03	0.000000e+00
1.78635801920e+07	4.196635e+03	0.000000e+00
1.95586368300e+07	3.852807e+03	0.000000e+00
2.14145356390e+07	3.504522e+03	0.000000e+00
2.34465387640e+07	3.164852e+03	0.000000e+00
2.56713565630e+07	2.841498e+03	0.000000e+00
2.81072850210e+07	2.532433e+03	0.000000e+00
3.07743562090e+07	2.240615e+03	0.000000e+00
3.36945030220e+07	1.980885e+03	0.000000e+00
3.68917395440e+07	1.737409e+03	0.000000e+00
4.03923585320e+07	1.517868e+03	0.000000e+00
4.42251476320e+07	1.312220e+03	0.000000e+00
4.84216261230e+07	1.135551e+03	0.000000e+00
5.30163041160e+07	9.803511e+02	0.000000e+00
5.80469663480e+07	8.405914e+02	0.000000e+00
6.35549829140e+07	7.172930e+02	0.000000e+00
6.95856494710e+07	6.073634e+02	0.000000e+00
7.61885597370e+07	5.104971e+02	0.000000e+00
8.34180133250e+07	4.294204e+02	0.000000e+00
9.13334622820e+07	3.643369e+02	0.000000e+00
1.00000000000e+08	3.122228e+02	0.000000e+00


"TRACE: B"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	-6.584852e+03	0.000000e+00
1.09488900000e+03	-6.079014e+03	0.000000e+00
1.19878200000e+03	-5.632412e+03	0.000000e+00
1.31253300000e+03	-5.223434e+03	0.000000e+00
1.43707800000e+03	-4.844383e+03	0.000000e+00
