4294A REV1.11
"DATE: Apr 23 2017"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	8.228902e+03	0.000000e+00
1.09488900000e+03	8.189006e+03	0.000000e+00
1.19878200000e+03	8.151262e+03	0.000000e+00
1.31253300000e+03	8.114443e+03	0.000000e+00
1.43707800000e+03	8.077272e+03	0.000000e+00
1.57344100000e+03	8.041494e+03	0.000000e+00
1.72274300000e+03	8.006952e+03	0.000000e+00
1.88621200000e+03	7.972202e+03	0.000000e+00
2.06519300000e+03	7.936322e+03	0.000000e+00
2.26115700000e+03	7.901686e+03	0.000000e+00
2.47571600000e+03	7.867008e+03	0.000000e+00
2.71063400000e+03	7.831874e+03	0.000000e+00
2.96784300000e+03	7.797067e+03	0.000000e+00
3.24945900000e+03	7.761904e+03	0.000000e+00
3.55779600000e+03	7.727099e+03	0.000000e+00
3.89539200000e+03	7.693040e+03	0.000000e+00
4.26502200000e+03	7.659951e+03	0.000000e+00
4.66972500000e+03	7.625740e+03	0.000000e+00
5.11283100000e+03	7.593751e+03	0.000000e+00
5.59798200000e+03	7.560601e+03	0.000000e+00
6.12916900000e+03	7.530391e+03	0.000000e+00
6.71075900000e+03	7.500353e+03	0.000000e+00
7.34753600000e+03	7.472247e+03	0.000000e+00
8.04473600000e+03	7.444741e+03	0.000000e+00
8.80809300000e+03	7.419813e+03	0.000000e+00
9.64388400000e+03	7.394031e+03	0.000000e+00
1.05589820000e+04	7.373315e+03	0.000000e+00
1.15609130000e+04	7.349852e+03	0.000000e+00
1.26579160000e+04	7.330376e+03	0.000000e+00
1.38590120000e+04	7.311279e+03	0.000000e+00
1.51740800000e+04	7.295256e+03	0.000000e+00
1.66139320000e+04	7.278181e+03	0.000000e+00
1.81904110000e+04	7.264462e+03	0.000000e+00
1.99164810000e+04	7.252630e+03	0.000000e+00
2.18063350000e+04	7.239815e+03	0.000000e+00
2.38755150000e+04	7.227790e+03	0.000000e+00
2.61410380000e+04	7.217560e+03	0.000000e+00
2.86215340000e+04	7.208168e+03	0.000000e+00
3.13374020000e+04	7.199864e+03	0.000000e+00
3.43109760000e+04	7.192021e+03	0.000000e+00
3.75667090000e+04	7.185164e+03	0.000000e+00
4.11313750000e+04	7.178732e+03	0.000000e+00
4.50342890000e+04	7.173085e+03	0.000000e+00
4.93075460000e+04	7.167627e+03	0.000000e+00
5.39862880000e+04	7.162572e+03	0.000000e+00
5.91089910000e+04	7.157687e+03	0.000000e+00
6.47177820000e+04	7.154615e+03	0.000000e+00
7.08587850000e+04	7.150379e+03	0.000000e+00
7.75825020000e+04	7.147649e+03	0.000000e+00
8.49442250000e+04	7.144311e+03	0.000000e+00
9.30044950000e+04	7.141151e+03	0.000000e+00
1.01829595000e+05	7.139156e+03	0.000000e+00
1.11492100000e+05	7.136620e+03	0.000000e+00
1.22071470000e+05	7.134548e+03	0.000000e+00
1.33654705000e+05	7.132255e+03	0.000000e+00
1.46337062000e+05	7.130440e+03	0.000000e+00
1.60222834000e+05	7.128934e+03	0.000000e+00
1.75426213000e+05	7.127539e+03	0.000000e+00
1.92072225000e+05	7.125974e+03	0.000000e+00
2.10297759000e+05	7.124913e+03	0.000000e+00
2.30252696000e+05	7.123547e+03	0.000000e+00
2.52101136000e+05	7.122081e+03	0.000000e+00
2.76022752000e+05	7.120671e+03	0.000000e+00
3.02214266000e+05	7.119638e+03	0.000000e+00
3.30891064000e+05	7.118262e+03	0.000000e+00
3.62288975000e+05	7.116790e+03	0.000000e+00
3.96666201000e+05	7.115468e+03	0.000000e+00
4.34305446000e+05	7.114488e+03	0.000000e+00
4.75516241000e+05	7.113480e+03	0.000000e+00
