4294A REV1.11
"DATE: Apr 23 2017"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	1.149411e+04	0.000000e+00
1.09488900000e+03	1.136093e+04	0.000000e+00
1.19878200000e+03	1.124259e+04	0.000000e+00
1.31253300000e+03	1.113432e+04	0.000000e+00
1.43707800000e+03	1.103218e+04	0.000000e+00
1.57344100000e+03	1.093766e+04	0.000000e+00
1.72274300000e+03	1.085031e+04	0.000000e+00
1.88621200000e+03	1.076746e+04	0.000000e+00
2.06519300000e+03	1.068898e+04	0.000000e+00
2.26115700000e+03	1.061591e+04	0.000000e+00
2.47571600000e+03	1.054759e+04	0.000000e+00
2.71063400000e+03	1.048125e+04	0.000000e+00
2.96784300000e+03	1.041960e+04	0.000000e+00
3.24945900000e+03	1.036112e+04	0.000000e+00
3.55779600000e+03	1.030578e+04	0.000000e+00
3.89539200000e+03	1.025418e+04	0.000000e+00
4.26502200000e+03	1.020485e+04	0.000000e+00
4.66972500000e+03	1.015809e+04	0.000000e+00
5.11283100000e+03	1.011246e+04	0.000000e+00
5.59798200000e+03	1.007065e+04	0.000000e+00
6.12916900000e+03	1.002946e+04	0.000000e+00
6.71075900000e+03	9.990471e+03	0.000000e+00
7.34753600000e+03	9.954619e+03	0.000000e+00
8.04473600000e+03	9.919195e+03	0.000000e+00
8.80809300000e+03	9.886312e+03	0.000000e+00
9.64388400000e+03	9.851420e+03	0.000000e+00
1.05589820000e+04	9.823279e+03	0.000000e+00
1.15609130000e+04	9.794910e+03	0.000000e+00
1.26579160000e+04	9.766279e+03	0.000000e+00
1.38590120000e+04	9.740596e+03	0.000000e+00
1.51740800000e+04	9.716627e+03	0.000000e+00
1.66139320000e+04	9.691508e+03	0.000000e+00
1.81904110000e+04	9.668672e+03	0.000000e+00
1.99164810000e+04	9.646631e+03	0.000000e+00
2.18063350000e+04	9.625793e+03	0.000000e+00
2.38755150000e+04	9.606512e+03	0.000000e+00
2.61410380000e+04	9.588551e+03	0.000000e+00
2.86215340000e+04	9.569848e+03	0.000000e+00
3.13374020000e+04	9.553018e+03	0.000000e+00
3.43109760000e+04	9.537322e+03	0.000000e+00
3.75667090000e+04	9.521883e+03	0.000000e+00
4.11313750000e+04	9.508336e+03	0.000000e+00
4.50342890000e+04	9.493758e+03	0.000000e+00
4.93075460000e+04	9.481342e+03	0.000000e+00
5.39862880000e+04	9.468682e+03	0.000000e+00
5.91089910000e+04	9.457342e+03	0.000000e+00
6.47177820000e+04	9.446766e+03	0.000000e+00
7.08587850000e+04	9.436570e+03	0.000000e+00
7.75825020000e+04	9.426965e+03	0.000000e+00
8.49442250000e+04	9.417090e+03	0.000000e+00
9.30044950000e+04	9.409061e+03	0.000000e+00
1.01829595000e+05	9.400867e+03	0.000000e+00
1.11492100000e+05	9.393949e+03	0.000000e+00
1.22071470000e+05	9.386307e+03	0.000000e+00
1.33654705000e+05	9.379916e+03	0.000000e+00
1.46337062000e+05	9.373896e+03	0.000000e+00
1.60222834000e+05	9.367582e+03	0.000000e+00
1.75426213000e+05	9.361363e+03	0.000000e+00
1.92072225000e+05	9.357148e+03	0.000000e+00
2.10297759000e+05	9.352066e+03	0.000000e+00
2.30252696000e+05	9.348244e+03	0.000000e+00
2.52101136000e+05	9.343176e+03	0.000000e+00
2.76022752000e+05	9.338875e+03	0.000000e+00
3.02214266000e+05	9.335090e+03	0.000000e+00
3.30891064000e+05	9.331641e+03	0.000000e+00
