4294A REV1.11
"DATE: Apr 23 2017"


"MEASURE PARAMETER: IMPEDANCE RESISTANCE - REACTANCE"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 128"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: 8"
"POINT AVERAGING: 4"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	8.995834e+03	0.000000e+00
1.09488900000e+03	8.948824e+03	0.000000e+00
1.19878200000e+03	8.904422e+03	0.000000e+00
1.31253300000e+03	8.861832e+03	0.000000e+00
1.43707800000e+03	8.820043e+03	0.000000e+00
1.57344100000e+03	8.779393e+03	0.000000e+00
1.72274300000e+03	8.740473e+03	0.000000e+00
1.88621200000e+03	8.701965e+03	0.000000e+00
2.06519300000e+03	8.664117e+03	0.000000e+00
2.26115700000e+03	8.626180e+03	0.000000e+00
2.47571600000e+03	8.588582e+03	0.000000e+00
2.71063400000e+03	8.550986e+03	0.000000e+00
2.96784300000e+03	8.513727e+03	0.000000e+00
3.24945900000e+03	8.476430e+03	0.000000e+00
3.55779600000e+03	8.439486e+03	0.000000e+00
3.89539200000e+03	8.403836e+03	0.000000e+00
4.26502200000e+03	8.368676e+03	0.000000e+00
4.66972500000e+03	8.332375e+03	0.000000e+00
5.11283100000e+03	8.297332e+03	0.000000e+00
5.59798200000e+03	8.262699e+03	0.000000e+00
6.12916900000e+03	8.229152e+03	0.000000e+00
6.71075900000e+03	8.195879e+03	0.000000e+00
7.34753600000e+03	8.165998e+03	0.000000e+00
8.04473600000e+03	8.133364e+03	0.000000e+00
8.80809300000e+03	8.106141e+03	0.000000e+00
9.64388400000e+03	8.076656e+03	0.000000e+00
1.05589820000e+04	8.049406e+03	0.000000e+00
1.15609130000e+04	8.024782e+03	0.000000e+00
1.26579160000e+04	8.000800e+03	0.000000e+00
1.38590120000e+04	7.978783e+03	0.000000e+00
1.51740800000e+04	7.959504e+03	0.000000e+00
