Bottle Number:0
11/08/2017 10:33:01 AM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,11517.833965,-11321.3635778
1094.889,11293.2403923,-10460.8235948
1198.782,11089.6676098,-9696.81895441
1312.533,10903.8706128,-8999.5310425
1437.078,10734.082879,-8357.42936516
1573.441,10578.59579,-7763.11107738
1722.743,10436.2303086,-7213.41837374
1886.212,10306.0560986,-6702.73370909
2065.193,10186.7383129,-6227.37880243
2261.157,10077.6492364,-5785.31515026
2475.716,9977.32221441,-5374.59151148
2710.634,9885.64498611,-4991.73374932
2967.843,9801.61711396,-4636.10056488
3249.459,9724.64782268,-4305.59432646
3557.796,9654.11253586,-3998.03710955
3895.392,9589.42247132,-3712.50963832
4265.022,9529.85852209,-3447.79145518
4669.725,9474.79257844,-3202.64804449
5112.831,9424.03078398,-2975.62984726
5597.982,9376.83002754,-2765.39276552
6129.169,9332.76537487,-2571.33527785
6710.759,9291.4903553,-2392.5409945
7347.536,9252.72977737,-2227.80146981
8044.736,9215.83266938,-2076.10230773
8808.093,9180.58472035,-1936.31994849
9643.884,9146.7291127,-1807.72046067
10558.982,9114.01507679,-1689.46237751
11560.913,9082.18221485,-1580.71853995
12657.916,9051.07864379,-1480.59062208
13859.012,9020.59177824,-1388.25328254
15174.08,8990.5000415,-1302.92560336
16613.932,8960.95640266,-1224.03252555
18190.411,8931.77520588,-1150.81803049
19916.481,8903.09084728,-1082.70335906
21806.335,8874.91212673,-1019.39601139
23875.515,8847.32701337,-960.14626228
26141.038,8820.49192805,-904.618133738
28621.534,8794.42929357,-852.48186191
31337.402,8769.36007746,-803.365344014
34310.976,8745.23588607,-757.148086736
37566.709,8722.245865,-713.537120525
41131.375,8700.39711714,-672.45552386
45034.289,8679.67951431,-633.732363952
49307.546,8660.20121834,-597.38213132
53986.288,8641.82766969,-563.205499432
59108.991,8624.56922181,-531.12687023
64717.782,8608.53749204,-501.126466062
70858.785,8593.61503382,-473.126023115
77582.502,8579.66049218,-447.143023935
84944.225,8566.64302115,-423.058581102
93004.495,8554.6186678,-400.757316871
101829.595,8543.31406048,-380.407814429
111492.1,8532.86594153,-361.742206965
122071.47,8523.09552508,-344.73067843
133654.705,8514.03299262,-329.424253193
146337.062,8505.58760517,-315.702520106
160222.834,8497.64050258,-303.499047438
175426.213,8490.28588581,-292.892078276
192072.225,8483.33088118,-283.814700298
210297.759,8476.84308216,-276.173792723
230252.696,8470.72304292,-269.964903129
252101.136,8464.98033815,-265.307168849
276022.752,8459.50220571,-262.154391336
302214.266,8454.34387117,-260.522466506
330891.064,8449.43822405,-260.471391344
362288.975,8444.81896349,-261.934630715
396666.201,8440.38121784,-265.19242888
434305.446,8436.10332178,-270.004092707
475516.241,8431.99420632,-276.649505569
520637.485,8428.15276969,-285.26554029
570040.237,8424.54601713,-295.921087746
624130.765,8420.66325774,-308.486912525
683353.887,8416.81753577,-323.122807189
748196.631,8412.57543095,-339.767298795
819192.234,8408.252222,-358.71564879
896924.538,8403.50261983,-380.047961692
982032.779,8397.79284005,-404.465619114
1075216.853,8392.78617841,-432.395672957
1177243.068,8386.23468956,-462.49397391
1288950.444,8380.71051751,-496.880465729
1411257.618,8373.2084789,-534.616284934
1545170.393,8361.76822931,-576.132702687
1691790.012,8352.11387267,-620.988566216
1852322.216,8343.75192123,-671.171473485
2028087.154,8332.7880319,-727.457114606
2220530.245,8317.41347769,-787.436684136
2431234.062,8301.80004111,-855.910622619
2661931.346,8283.65728407,-929.706115614
2914519.257,8261.0634946,-1007.40998107
3191074.973,8233.81782163,-1094.94082765
3493872.775,8200.87766943,-1187.39850082
3825402.747,8165.02656324,-1287.30450951
4188391.254,8122.05552761,-1395.72330935
4585823.366,8074.59566626,-1512.67236815
5020967.4,8017.05442466,-1636.96919728
5497401.8,7952.93303126,-1770.83026217
6019044.568,7874.61414229,-1911.44205781
6590185.478,7784.3302975,-2063.32250833
7215521.358,7679.77989841,-2221.35766994
7900194.712,7557.54480666,-2384.00906826
8649836.013,7421.06269916,-2552.12153102
9470610.001,7265.25510874,-2726.50054461
10369266.383,7085.22898924,-2902.84779056
11353195.339,6881.23591345,-3074.16432844
12430488.296,6657.87769027,-3242.62013278
13610004.466,6410.90940659,-3404.452104
14901443.705,6138.71237053,-3553.56363394
16315426.277,5982.87583868,-3607.3838525
17863580.192,5680.75244551,-3729.49053774
19558636.83,5364.24231971,-3829.77116489
21414535.639,5022.01374554,-3909.44582327
23446538.764,4675.09799774,-3948.03202167
25671356.563,4318.36566306,-3966.85601132
28107285.021,3975.34969028,-3946.95333136
30774356.209,3624.22897584,-3906.74952466
33694503.022,3275.75196373,-3871.93812934
36891739.544,2934.79071124,-3719.70020859
40392358.532,2652.72632156,-3593.06388945
44225147.632,2378.43234666,-3460.73428216
48421626.123,2117.72783714,-3312.44293237
53016304.116,1881.9117903,-3155.51134139
58046966.348,1664.48383931,-2992.78083623
63554982.914,1464.6582708,-2825.94295134
69585649.471,1284.37321431,-2656.39229882
76188559.737,1121.41268851,-2487.14850952
83418013.325,971.281472269,-2318.04148948
91333462.282,839.697514879,-2152.41990271
