Bottle Number:0
11/08/2017 3:29:16 PM
Frequency (Hz),Impedance(Ohms),Phase(Degrees)
1000,11558.0397446,-12179.0853284
1094.889,11331.864572,-11250.4861313
1198.782,11126.0351356,-10414.8073104
1312.533,10938.2114468,-9648.66903719
1437.078,10766.9743224,-8942.40290696
1573.441,10610.4751944,-8289.09893716
1722.743,10467.5784865,-7685.37179684
1886.212,10337.3478937,-7125.75142877
2065.193,10218.3935032,-6606.38464838
2261.157,10109.9097617,-6124.67268252
2475.716,10010.6504057,-5678.05162847
2710.634,9919.90151165,-5263.47832157
2967.843,9837.1270462,-4879.26619369
3249.459,9761.34814548,-4523.15608565
3557.796,9692.12958923,-4192.92742358
3895.392,9628.66208347,-3887.18186106
4265.022,9570.41452803,-3604.4226561
4669.725,9516.67882994,-3343.12571174
5112.831,9467.06498644,-3101.76277673
5597.982,9421.0539705,-2878.85209301
6129.169,9378.12318186,-2673.42591118
6710.759,9337.89722888,-2484.45477628
7347.536,9300.00727589,-2310.76582776
8044.736,9264.04992553,-2151.00704746
8808.093,9229.57319057,-2004.12292593
9643.884,9196.46732166,-1869.14653149
10558.982,9164.39367795,-1745.27836048
11560.913,9133.0518839,-1631.53020139
12657.916,9102.37454093,-1526.92700539
13859.012,9072.21565045,-1430.65188472
15174.08,9042.4484867,-1341.84953137
16613.932,9012.99263966,-1259.80652096
18190.411,8983.88403386,-1183.77232642
19916.481,8955.14501586,-1113.21264124
21806.335,8926.89165895,-1047.62020531
23875.515,8899.13927358,-986.325195224
26141.038,8872.09656434,-928.96194774
28621.534,8845.79146966,-875.051387371
31337.402,8820.32590487,-824.347959871
34310.976,8795.91033509,-776.623189097
37566.709,8772.5953836,-731.629502136
41131.375,8750.36894618,-689.228097284
45034.289,8729.36930322,-649.287602384
49307.546,8709.60224165,-611.741638658
53986.288,8690.92307986,-576.498310585
59108.991,8673.49229275,-543.424220515
64717.782,8657.26839699,-512.450970922
70858.785,8642.06814737,-483.593025195
77582.502,8628.00159682,-456.746232112
84944.225,8614.84902553,-431.904496245
93004.495,8602.72879878,-408.950860024
101829.595,8591.38288067,-387.950093599
111492.1,8580.84587748,-368.673242772
122071.47,8571.07440488,-351.160016806
133654.705,8561.96355967,-335.380718836
146337.062,8553.52582864,-321.283623716
160222.834,8545.614487,-308.747128018
175426.213,8538.21950898,-297.829047791
192072.225,8531.32516165,-288.491513194
210297.759,8524.79283256,-280.64469348
230252.696,8518.69498961,-274.273588709
252101.136,8512.97835189,-269.569873641
276022.752,8507.52273479,-266.329414493
302214.266,8502.3855825,-264.64370871
330891.064,8497.50351067,-264.579488101
362288.975,8492.86882112,-266.165876071
396666.201,8488.41042404,-269.480734467
434305.446,8484.07076654,-274.449505141
475516.241,8479.93363484,-281.159525344
520637.485,8476.03761455,-290.032394892
570040.237,8472.36055248,-300.910066673
624130.765,8468.37207096,-313.764117321
683353.887,8464.46861375,-328.662728486
748196.631,8460.00382511,-345.663002229
819192.234,8455.56339167,-364.924877158
896924.538,8450.70051902,-386.714209046
982032.779,8444.65504993,-411.512211191
1075216.853,8439.4687281,-439.907139353
1177243.068,8432.53564893,-470.569291525
1288950.444,8426.7269753,-505.410652419
1411257.618,8418.85884911,-543.672597844
1545170.393,8404.83437525,-585.637699429
1691790.012,8399.2243999,-635.065463704
1852322.216,8387.49072989,-684.962066646
2028087.154,8373.48771733,-737.547688596
2220530.245,8361.38304069,-800.972046965
2431234.062,8345.25652898,-866.139476202
2661931.346,8325.02449691,-941.648198458
2914519.257,8300.65091495,-1021.97101265
3191074.973,8274.04591124,-1109.18601709
3493872.775,8242.71187171,-1202.89737883
3825402.747,8201.48902411,-1305.32329243
4188391.254,8162.96232188,-1412.53569865
4585823.366,8110.82136823,-1531.91295317
5020967.4,8051.69420524,-1657.51597497
5497401.8,7984.12774991,-1791.80494647
6019044.568,7905.883446,-1930.3848166
6590185.478,7813.41874305,-2082.90347609
7215521.358,7704.76908223,-2240.48030239
7900194.712,7585.70673432,-2403.65802301
8649836.013,7443.05090331,-2573.51368199
9470610.001,7285.52542817,-2747.60154461
10369266.383,7104.92361044,-2918.82567383
11353195.339,6902.34209007,-3093.28032806
12430488.296,6675.47529489,-3261.51916338
13610004.466,6426.04985699,-3422.53712902
14901443.705,6152.52600454,-3570.94287346
16315426.277,5996.02719221,-3623.35538499
17863580.192,5694.43091846,-3744.7105021
19558636.83,5376.91559869,-3842.3904215
21414535.639,5033.70412462,-3923.33353227
23446538.764,4689.24454074,-3962.53104534
25671356.563,4329.99690538,-3979.97815031
28107285.021,3984.5383652,-3956.23305608
30774356.209,3636.40543688,-3917.87526281
33694503.022,3283.8970222,-3882.00104857
36891739.544,2944.22817038,-3729.73269027
40392358.532,2659.77182546,-3603.20203205
44225147.632,2386.73102948,-3469.79342669
48421626.123,2126.58196404,-3321.06682198
53016304.116,1889.9819184,-3164.78545165
58046966.348,1671.4256374,-3001.17345911
63554982.914,1471.82448021,-2834.23561608
69585649.471,1291.19039583,-2664.35727706
76188559.737,1127.59639594,-2494.88055594
83418013.325,977.175297229,-2325.69426004
91333462.282,844.20238459,-2160.09038962
